BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
17;Kanton St.Gallen;Gemeindefinanzen HRM1;null;null;93;Steuerfuss [Anz.];1998;112;Anz.;Anzahl;
17;Kanton St.Gallen;Gemeindefinanzen HRM1;null;null;93;Steuerfuss [Anz.];1999;115;Anz.;Anzahl;
17;Kanton St.Gallen;Gemeindefinanzen HRM1;null;null;93;Steuerfuss [Anz.];2000;115;Anz.;Anzahl;
17;Kanton St.Gallen;Gemeindefinanzen HRM1;null;null;93;Steuerfuss [Anz.];2001;115;Anz.;Anzahl;
17;Kanton St.Gallen;Gemeindefinanzen HRM1;null;null;93;Steuerfuss [Anz.];2002;112;Anz.;Anzahl;
17;Kanton St.Gallen;Gemeindefinanzen HRM1;null;null;93;Steuerfuss [Anz.];2003;112;Anz.;Anzahl;
17;Kanton St.Gallen;Gemeindefinanzen HRM1;null;null;93;Steuerfuss [Anz.];2004;115;Anz.;Anzahl;
17;Kanton St.Gallen;Gemeindefinanzen HRM1;null;null;93;Steuerfuss [Anz.];2005;115;Anz.;Anzahl;
17;Kanton St.Gallen;Gemeindefinanzen HRM1;null;null;93;Steuerfuss [Anz.];2006;115;Anz.;Anzahl;
17;Kanton St.Gallen;Gemeindefinanzen HRM1;null;null;93;Steuerfuss [Anz.];2007;115;Anz.;Anzahl;
17;Kanton St.Gallen;Gemeindefinanzen HRM1;null;null;93;Steuerfuss [Anz.];2008;105;Anz.;Anzahl;
17;Kanton St.Gallen;Gemeindefinanzen HRM1;null;null;93;Steuerfuss [Anz.];2009;95;Anz.;Anzahl;
17;Kanton St.Gallen;Gemeindefinanzen HRM1;null;null;93;Steuerfuss [Anz.];2010;95;Anz.;Anzahl;
17;Kanton St.Gallen;Gemeindefinanzen HRM1;null;null;93;Steuerfuss [Anz.];2011;95;Anz.;Anzahl;
17;Kanton St.Gallen;Gemeindefinanzen HRM1;null;null;93;Steuerfuss [Anz.];2012;105;Anz.;Anzahl;
17;Kanton St.Gallen;Gemeindefinanzen HRM1;null;null;93;Steuerfuss [Anz.];2013;115;Anz.;Anzahl;
17;Kanton St.Gallen;Gemeindefinanzen HRM1;null;null;93;Steuerfuss [Anz.];2014;115;Anz.;Anzahl;
17;Kanton St.Gallen;Gemeindefinanzen HRM1;null;null;93;Steuerfuss [Anz.];2015;115;Anz.;Anzahl;
17;Kanton St.Gallen;Gemeindefinanzen HRM1;null;null;93;Steuerfuss [Anz.];2016;115;Anz.;Anzahl;
17;Kanton St.Gallen;Gemeindefinanzen HRM1;null;null;93;Steuerfuss [Anz.];2017;115;Anz.;Anzahl;
17;Kanton St.Gallen;Gemeindefinanzen HRM1;null;null;93;Steuerfuss [Anz.];2018;115;Anz.;Anzahl;
17;Kanton St.Gallen;Gemeindefinanzen HRM1;null;null;93;Steuerfuss [Anz.];2019;115;Anz.;Anzahl;
