BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
17;Kanton St.Gallen;Arbeit und Unternehmen;Arbeitslosigkeit;null;278;Registrierte Stellensuchende [Anz.];2009;11934;Anz.;Anzahl;
17;Kanton St.Gallen;Arbeit und Unternehmen;Arbeitslosigkeit;null;278;Registrierte Stellensuchende [Anz.];2010;12331;Anz.;Anzahl;
17;Kanton St.Gallen;Arbeit und Unternehmen;Arbeitslosigkeit;null;278;Registrierte Stellensuchende [Anz.];2011;9509;Anz.;Anzahl;
17;Kanton St.Gallen;Arbeit und Unternehmen;Arbeitslosigkeit;null;278;Registrierte Stellensuchende [Anz.];2012;9974;Anz.;Anzahl;
17;Kanton St.Gallen;Arbeit und Unternehmen;Arbeitslosigkeit;null;278;Registrierte Stellensuchende [Anz.];2013;10427;Anz.;Anzahl;
17;Kanton St.Gallen;Arbeit und Unternehmen;Arbeitslosigkeit;null;278;Registrierte Stellensuchende [Anz.];2014;10334;Anz.;Anzahl;
17;Kanton St.Gallen;Arbeit und Unternehmen;Arbeitslosigkeit;null;278;Registrierte Stellensuchende [Anz.];2015;11066;Anz.;Anzahl;
17;Kanton St.Gallen;Arbeit und Unternehmen;Arbeitslosigkeit;null;278;Registrierte Stellensuchende [Anz.];2016;11549;Anz.;Anzahl;
17;Kanton St.Gallen;Arbeit und Unternehmen;Arbeitslosigkeit;null;278;Registrierte Stellensuchende [Anz.];2017;10939;Anz.;Anzahl;
17;Kanton St.Gallen;Arbeit und Unternehmen;Arbeitslosigkeit;null;278;Registrierte Stellensuchende [Anz.];2018;9841;Anz.;Anzahl;
17;Kanton St.Gallen;Arbeit und Unternehmen;Arbeitslosigkeit;null;278;Registrierte Stellensuchende [Anz.];2019;9719;Anz.;Anzahl;
17;Kanton St.Gallen;Arbeit und Unternehmen;Arbeitslosigkeit;null;278;Registrierte Stellensuchende [Anz.];2020;12787;Anz.;Anzahl;
17;Kanton St.Gallen;Arbeit und Unternehmen;Arbeitslosigkeit;null;278;Registrierte Stellensuchende [Anz.];2021;12774;Anz.;Anzahl;
17;Kanton St.Gallen;Arbeit und Unternehmen;Arbeitslosigkeit;null;278;Registrierte Stellensuchende [Anz.];2022;8578;Anz.;Anzahl;
17;Kanton St.Gallen;Arbeit und Unternehmen;Arbeitslosigkeit;null;413;Registrierte Stellensuchende (Vorjahresveränderung) [%];2010;3.3;%;Prozent;
17;Kanton St.Gallen;Arbeit und Unternehmen;Arbeitslosigkeit;null;413;Registrierte Stellensuchende (Vorjahresveränderung) [%];2011;-22.9;%;Prozent;
17;Kanton St.Gallen;Arbeit und Unternehmen;Arbeitslosigkeit;null;413;Registrierte Stellensuchende (Vorjahresveränderung) [%];2012;4.9;%;Prozent;
17;Kanton St.Gallen;Arbeit und Unternehmen;Arbeitslosigkeit;null;413;Registrierte Stellensuchende (Vorjahresveränderung) [%];2013;4.5;%;Prozent;
17;Kanton St.Gallen;Arbeit und Unternehmen;Arbeitslosigkeit;null;413;Registrierte Stellensuchende (Vorjahresveränderung) [%];2014;-0.9;%;Prozent;
17;Kanton St.Gallen;Arbeit und Unternehmen;Arbeitslosigkeit;null;413;Registrierte Stellensuchende (Vorjahresveränderung) [%];2015;7.1;%;Prozent;
17;Kanton St.Gallen;Arbeit und Unternehmen;Arbeitslosigkeit;null;413;Registrierte Stellensuchende (Vorjahresveränderung) [%];2016;4.4;%;Prozent;
17;Kanton St.Gallen;Arbeit und Unternehmen;Arbeitslosigkeit;null;413;Registrierte Stellensuchende (Vorjahresveränderung) [%];2017;-5.3;%;Prozent;
17;Kanton St.Gallen;Arbeit und Unternehmen;Arbeitslosigkeit;null;413;Registrierte Stellensuchende (Vorjahresveränderung) [%];2018;-10.0;%;Prozent;
17;Kanton St.Gallen;Arbeit und Unternehmen;Arbeitslosigkeit;null;413;Registrierte Stellensuchende (Vorjahresveränderung) [%];2019;-1.2;%;Prozent;
17;Kanton St.Gallen;Arbeit und Unternehmen;Arbeitslosigkeit;null;413;Registrierte Stellensuchende (Vorjahresveränderung) [%];2020;31.6;%;Prozent;
17;Kanton St.Gallen;Arbeit und Unternehmen;Arbeitslosigkeit;null;413;Registrierte Stellensuchende (Vorjahresveränderung) [%];2021;-0.1;%;Prozent;
17;Kanton St.Gallen;Arbeit und Unternehmen;Arbeitslosigkeit;null;413;Registrierte Stellensuchende (Vorjahresveränderung) [%];2022;-24.8;%;Prozent;
17;Kanton St.Gallen;Arbeit und Unternehmen;Arbeitslosigkeit;null;39;Registrierte Arbeitslose [Anz.];2009;8053;Anz.;Anzahl;
17;Kanton St.Gallen;Arbeit und Unternehmen;Arbeitslosigkeit;null;39;Registrierte Arbeitslose [Anz.];2010;8193;Anz.;Anzahl;
17;Kanton St.Gallen;Arbeit und Unternehmen;Arbeitslosigkeit;null;39;Registrierte Arbeitslose [Anz.];2011;5827;Anz.;Anzahl;
17;Kanton St.Gallen;Arbeit und Unternehmen;Arbeitslosigkeit;null;39;Registrierte Arbeitslose [Anz.];2012;6209;Anz.;Anzahl;
17;Kanton St.Gallen;Arbeit und Unternehmen;Arbeitslosigkeit;null;39;Registrierte Arbeitslose [Anz.];2013;6531;Anz.;Anzahl;
17;Kanton St.Gallen;Arbeit und Unternehmen;Arbeitslosigkeit;null;39;Registrierte Arbeitslose [Anz.];2014;6164;Anz.;Anzahl;
17;Kanton St.Gallen;Arbeit und Unternehmen;Arbeitslosigkeit;null;39;Registrierte Arbeitslose [Anz.];2015;6517;Anz.;Anzahl;
17;Kanton St.Gallen;Arbeit und Unternehmen;Arbeitslosigkeit;null;39;Registrierte Arbeitslose [Anz.];2016;6976;Anz.;Anzahl;
