BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;76;Bauinvestitionen [Mio.Fr.];1997;2165.2;Mio.Fr.;Millionen Franken;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;76;Bauinvestitionen [Mio.Fr.];1998;2049.8;Mio.Fr.;Millionen Franken;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;76;Bauinvestitionen [Mio.Fr.];1999;2044.5;Mio.Fr.;Millionen Franken;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;76;Bauinvestitionen [Mio.Fr.];2000;2150.3;Mio.Fr.;Millionen Franken;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;76;Bauinvestitionen [Mio.Fr.];2001;2565.2;Mio.Fr.;Millionen Franken;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;76;Bauinvestitionen [Mio.Fr.];2002;2185.7;Mio.Fr.;Millionen Franken;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;76;Bauinvestitionen [Mio.Fr.];2003;2205.8;Mio.Fr.;Millionen Franken;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;76;Bauinvestitionen [Mio.Fr.];2004;2252.1;Mio.Fr.;Millionen Franken;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;76;Bauinvestitionen [Mio.Fr.];2005;2362.7;Mio.Fr.;Millionen Franken;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;76;Bauinvestitionen [Mio.Fr.];2006;2318.2;Mio.Fr.;Millionen Franken;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;76;Bauinvestitionen [Mio.Fr.];2007;2653.7;Mio.Fr.;Millionen Franken;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;76;Bauinvestitionen [Mio.Fr.];2008;2691.3;Mio.Fr.;Millionen Franken;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;76;Bauinvestitionen [Mio.Fr.];2009;2498;Mio.Fr.;Millionen Franken;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;76;Bauinvestitionen [Mio.Fr.];2010;2676.9;Mio.Fr.;Millionen Franken;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;76;Bauinvestitionen [Mio.Fr.];2011;2759.1;Mio.Fr.;Millionen Franken;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;76;Bauinvestitionen [Mio.Fr.];2012;2899.9;Mio.Fr.;Millionen Franken;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;76;Bauinvestitionen [Mio.Fr.];2013;2782.3;Mio.Fr.;Millionen Franken;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;76;Bauinvestitionen [Mio.Fr.];2014;2590.3;Mio.Fr.;Millionen Franken;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;76;Bauinvestitionen [Mio.Fr.];2015;2636.5;Mio.Fr.;Millionen Franken;
17;Kanton St.Gallen;Bau und Immobilien;Bauinvestitionen;Bauinvestitionen;76;Bauinvestitionen [Mio.Fr.];2016;2739.1;Mio.Fr.;Millionen Franken;
