id;title;description;survey_document_id;created_at;updated_at;upvotes_count;downvotes_count;vote_average;all_comments_count;comments;attachments_bilder;bild;comments_inhalt
221;Energieverbrauchs-App;"<p>Mit dem Ausbau der ""Smart-Meter"" können die Stadtwerke den Energieverbrauch eines Haushaltes digital und zentral auslesen. Um zum Sparen zu animieren, wäre es daher sinnvoll eine App zu entwickeln wo jeder Haushalt seinen eigenen Verbrauch ablesen kann. Die App zeigt aber nicht nur den eigenen Verbrauch an, sondern vergleicht mit einem Zielwert sowie Werten anderer Bewohnern der Stadt in gleichen Wohnverhältnissen. (Beispiel: Rang Nr. 99/1000 Einzelhaushalten mit 3.5 Zimmer). So soll eine art ""Wettbewerb"" entstehen. Die energieeffizienteren Einwohner werden mit tieferen Prämien belohnt. (Bonus/Malus-System). Zudem wird künftig nur noch auf Wunsch und gegen Gebühr eine Papierabrechnung verschickt. Die Quartalsabrechnung sind auf der App ersichtlich und die Rechnung kann direkt über die App bezahlt werden. (Kreditkarte, Twint, Apple Pay etc..)  </p>";2564;2021-10-29T00:18:47+02:00;2021-10-29T00:18:47+02:00;0;0;0;0;;;;
208;Plattform für Energetische Sanierungen;<p>Viele Bauherren machen aufgrund der Unwirtschaftlichkeit keine energetische Sanierung.</p><p>Diese kann, z.B. in Bereich der Wärmeerzeugung oder Aussenisolation sein.</p><p>Meine Idee wäre eine Plattform zu entwickeln, wo sich die Bauherrn treffen und zusammen ein Packet für die unterschiedlichen Unternehmen anbieten.</p><p>Aufgrund der resultierenden höheren Bausummen kann der Unternehmer höhere Rabatte für die Bauherren gewähren.</p><p> Durch den niedrigeren Preis ist die Sanierung wirtschaftlicher und der Bauherr endscheidet sich eher für eine Sanierung, wo Reduktionen der Co2 Emissionen entstehen.</p>;2564;2021-10-26T21:44:49+02:00;2021-10-26T21:44:49+02:00;2;0;2;0;;;;
212;Energiemangagement;<p>Pro Betrieb, Standort oder Gebäude sollte eine Energiebuchhaltung geführt werden. Die Aufzeichnung des Nutzenergieverbrauches sollte nach Verwendungszweck sowie nach Betriebsteilen, Gebäude pro Standort, Nutzungszonen im Gebäude oder gemäss einer analogen Unterteilung erfolgen. Dazu ist es notwendig, die Aufteilung des Energieverbrauches nach Verwendungszweck zu kennen. Für die Erfassung und Aufteilung des Stromverbrauch sind Privatzähler erforderlich, für den Wärmeverbrauch Wärmezähler. Am idealsten ist es, diese Daten über das Gebäudeleitsystem und/oder ein separates Messsystem zu sammeln und in einer Energiemanagementsoftware zu speichern und auswerten.</p><p>Je detaillierter der Energieverbrauch aufgeteilt und bekannt ist, desto eher können Rückschlüsse auf Sparpotenziale gezogen und desto besser kann eine Erfolgskontrolle nach der Umsetzung von Massnahmen durchgeführt werden. Die aufgezeichneten Verläufe über einige Jahre der Kennzahlen zeigen auf, wie sich der Energieverbrauch über die Zeit verändert. Daraus lassen sich Einflüsse erkennen, beispielsweise ob eine neue Einrichtung, eine Veränderung der Betriebsführung und Instandhaltung (neue Prozesse), ein neuer Service-Provider oder eine technische/bauliche Massnahme Einfluss auf den Energieverbrauch hat (und welchen) oder nicht.</p><p>Dies ist der weg zu Null-CO2 Emissionen, da man weiss, wieviel verbraucht wird und den Verbrauch Optimieren kann.  Sowie sollte man wen möglich von den Fossilen Energieträgern weg kommen.  </p>;2564;2021-10-27T15:24:51+02:00;2021-10-27T15:24:51+02:00;1;0;1;0;;;;
194;CO2 Hotspots identifizieren;<p>Es gibt bekannte CO2-Hotspots, aber vermutlich auch unbekannte. </p><p>Um diese zu identifizieren würde ich die VBSG Busse mit fahrbaren Messinstrumenten ausstatten. Niemand verkehrt mit einer vergleichbaren Regelmässigkeit durch die gesamte Stadt. </p><p>So entsteht eine Belastungskarte mit regelmässigen Messwerten, mit der auch unbekannte CO2-Emissionsverursacher ermittelt werden können. Das nicht nur örtlich, sondern Dank des dichten Fahrplan auch über den Tag verteilt. </p><p>Die Daten können im OpenData Portal zur Verfügung gestellt werden und auch an einem Hackaton visualisiert und ausgewertet werden. </p><p>Bei Bedarf können auch weitere Messwerten erfasst werden, die u.U auch für das Amt für Umwelt interessant sind. </p><p><br /></p>;2564;2021-09-29T12:16:15+02:00;2021-09-29T12:16:15+02:00;5;2;3;0;;;;
224;chargeshare - Laden an privaten E-Auto Ladestationen;<p>175’000 Tonnen C02-eq pro Jahr werden in der Stadt St.Gallen durch die Mobilität freigesetzt. Dies ist ein beachtlicher Anteil. Um die Klimaneutralität zu erreichen, ist ein Umstieg auf Elektromobilität unumgänglich. Dies sieht auch das städtische Energiekonzept vor. </p><p>Die modernen E-Autos haben sich bewährt und setzen sich auf dem Markt durch. Die letzte Hürde ist die Ladestation. Für Hauseigentümer und Eigentümerinnen ist dies oft kein Problem, für Personen in Mietwohnungen oft eine komplizierte Angelegenheit. </p><p>Die neuste Generation der Elektrofahrzeuge sind nicht mehr auf tägliche Ladung angewiesen, weshalb die private Infrastruktur oft unbenutzt ist. Genau hier soll die Idee ansetzen. Mithilfe einer Plattform, welche App basiert ist, können private Ladestationen und E-Fahrzeug Besitzer und Besitzerinnen ohne eigene Ladestation vermittelt werden. </p><p>Besitzerinnen und Besitzer von Ladestationen können Ihre private Infrastruktur erfassen und angeben, wann die Ladestation zur Verfügung steht. Hier soll der Fokus nicht nur auf einmaliges Laden, sondern auf langfristige Arrangements gesetzt werden. Evtl. ist sogar ein Parkplatztausch möglich. E-Autofahrer ohne eigene Ladestation können mit der App eine geeignete Ladestation ermitteln und reservieren. </p><p>Ausserdem können Einwohner und Einwohnerinnen der Stadt auf der Plattform ihr Anliegen, wo eine Ladestation benötigt wird, eintragen und darüber diskutieren. So entsteht ein partizipatives Verfahren, um geeignete Orte für Ladestationen zu ermitteln, welche danach eine hohe Auslastung haben. Privatpersonen/Firmen können zielgerichtet Ihre Anlage freigeben oder die Stadt kann an solchen Orten öffentliche Ladesäulen aufbauen. So können die Ressourcen effizient eingesetzt werden. </p><p>Alle Prozesse wie partizipatives Verfahren, Vermittlung von Ladestationen, Reservation und Aktivierung des Ladeprozesses und Verrechnung soll über die App abgewickelt werden. Hierfür werden intelligente Ladestationen, welche mit der App kommunizieren können, benötigen. Die Mehrkosten können über den Energiefonds finanziert werden. Im Idealfall kann als Option eine Abrechnung der Ladung gleich über die Stromrechnung der SGSW abgewickelt werden (natürlich nur für bestehenden Kunden der SGSW möglich). Ein grosser Mehrwert der Abrechnung über die SGSW ist, dass die Nutzer und Nutzerinnen verifiziert sind und so die Personen, welche man auf sein privates Grundstück lässt, nicht anonym sind.</p>;2564;2021-10-29T14:20:49+02:00;2021-10-29T14:20:49+02:00;1;0;1;0;;;;
217;Graue Masse - grüne Stadt. Ein Bilanzierungstool für CO2 Ausstoss für die Stadt SG;"<p>Eine grosser Teil der CO2 verursachenden Emissionen liegen in der Erstellung von öffentlichen und privaten Bauwerken. </p><p>Möchte die Stadt oder Private Bauwerke wie Strassen, Leitungen, Hochbauten neu erstellen, greift sie damit in der Naturkreislauf ein. Oft zum Wohle aller - aber bis jetzt ohne die Möglichkeit, allfällige Auswirkungen auf den Klimahaushalt zu bilanzieren und Sparpotentiale systematisch zu erfassen und zu berücksichtigen. </p><p>Ein Bilanzierungstool für die ""graue Masse"" in der Stadt, sprich alle Kunstbauten, schafft einen Überblick über die bis jetzt verbaute Masse in der Stadt. Dazu müssen v.a. die öffentlichen Bauten als Bauwerke erfasst und die Masse an verbauten ""CO2"" aufgerechnet werden (Grundlage in einem GIS erstellen).</p><p>Aufgrund des C02-Budgets, welches sich die Stadt selber gibt, um ihre Klimaziele zu erreichen, kann sie die Erneurung von bestehenden eigenen Bauten planen und hat ebenfalls ein Mittel für die Bewilligungsfähigkeit von grösseren Bauten in der Hand. Falls das CO2-Budgt überstiegen wird, können Alternativen gesucht werden - damit trotz grauer Masse die grüne Stadt erhalten bleibt. </p><p><br /></p>";2564;2021-10-28T18:15:56+02:00;2021-10-28T18:15:56+02:00;1;0;1;0;;;;
202;Punkte sammeln / verwaltbar über App;<p>Aktivitäten und alles was man kauft oder nutzt wird mit Punkten versehen, nachhaltige und umweltschonende Produkte als Beispiel werden mit hohen Punkten versehen/belohnt, umweltbelastende Aktivitäten oder Produkte bis keine Punkte. Monatlich kommen die gesammelten Punkte einem zugute (Steuersenkung, Gutscheine, Preise etc.)</p>;2564;2021-10-21T16:10:33+02:00;2021-10-21T16:10:33+02:00;2;3;-1;3;"[{""id"": 68, ""user_id"": 53403, ""comment"": ""Freiheit und freier Wille bleiben beide erhalten. Es gäbe ja nur Belohnung für \""förderliches Verhalten\"" und keine Bestrafung in irgendeiner Form."", ""commentable_id"": 202, ""commentable_type"": ""App\\Models\\IdeaBoardEntry\\IdeaBoardEntry"", ""created_at"": ""2021-10-23 00:05:28"", ""updated_at"": ""2021-10-23 00:05:28"", ""deleted_at"": null, ""upvotes_count"": 0, ""downvotes_count"": 0, ""comments_count"": 0, ""isAdminComment"": false, ""user"": {""id"": 53403, ""nickname"": ""CJMqJsVl""}}, {""id"": 62, ""user_id"": 53436, ""comment"": ""Sozialpunktesystem nach chinesischem Vorbild? Ungute Assoziationen werden wach. Freiheit und Umweltschutz sollten beides Platz haben."", ""commentable_id"": 202, ""commentable_type"": ""App\\Models\\IdeaBoardEntry\\IdeaBoardEntry"", ""created_at"": ""2021-10-22 14:59:07"", ""updated_at"": ""2021-10-22 14:59:07"", ""deleted_at"": null, ""upvotes_count"": 0, ""downvotes_count"": 1, ""comments_count"": 1, ""isAdminComment"": false, ""user"": {""id"": 53436, ""nickname"": ""9PiigarS""}}, {""id"": 61, ""user_id"": 53403, ""comment"": ""coole Idee!"", ""commentable_id"": 202, ""commentable_type"": ""App\\Models\\IdeaBoardEntry\\IdeaBoardEntry"", ""created_at"": ""2021-10-21 18:39:27"", ""updated_at"": ""2021-10-21 18:39:27"", ""deleted_at"": null, ""upvotes_count"": 1, ""downvotes_count"": 0, ""comments_count"": 0, ""isAdminComment"": false, ""user"": {""id"": 53403, ""nickname"": ""CJMqJsVl""}}]";;;"Freiheit und freier Wille bleiben beide erhalten. Es gäbe ja nur Belohnung für ""förderliches Verhalten"" und keine Bestrafung in irgendeiner Form.;Sozialpunktesystem nach chinesischem Vorbild? Ungute Assoziationen werden wach. Freiheit und Umweltschutz sollten beides Platz haben.;coole Idee!"
219;Technisch evtl. noch nicht machtbar;<p>Weniger Fossile Fahrzeuge in der Stadt. Verkehr welcher aus Nachbargemeinden kommt z.B. Teufen mittels Tunnel unterleiten. Der damit gewonnene Platz nutzen für Grünflächen. Dächer der Stadt mit Solaranlagen bestücken. </p>;2564;2021-10-28T20:14:17+02:00;2021-10-28T20:14:17+02:00;0;1;-1;0;;;;
216;Stadtwander.sg - kurze Wege bedeuten Lebensqualität.;"<p><strong>Weshalb Stadtwandern - und was hat es mit Klimaschutz zu tun?</strong></p><p>Die emissionsärmste, klimaschoneste, sportlichste und schönste Art, sich fortzubewegen in St. Gallen, ist zu Fuss. Die Stadt bietet kurze Wege, viel zu ent-decken, kulturelle, geschichtliche und ökologische Vielfalt für BewohnerInnen und Touristen. </p><p>St.Gallen positioniert sich auch als Entdeckungsland für kurze und längere Stadtwanderungen für Geniesser, EntdeckerInnnen, Berufsleute, Kinder. Sie zeigt damit auf, wieviel Sinn es macht, langsamer unterwegs zu sein und damit an Lebensqualität zu gewinnen. Aus klimasicht schon dies Ressourcen und spart Co2 ein.</p><p><strong>Welche Digitalen Möglichkeiten gibt es?</strong></p><p>Die App Stadtwanderer.sg besteht verschiedenen Bestandteilen: </p><ul><li>Interaktive Karte mit thematischen Wanderungen (die thematischen Wanderungen gibt es schon und können noch erweitert werden)</li><li>Möglichkeit für Nutzer, selber neue Entdeckungsreisen inkl. Bildmaterial zu posten (neu)</li><li>Einen Distanz- bzw. Schritttracker (neu)</li><li>Möglichkeiten für Challenges für Gruppen und Firmen (z.B. ""gemeinsam wandern wir 1000 km bis ans Meer""), (neu)</li><li>Möglichkeit um Einladungen für gemeinsame Stadtspaziergänge zu verschicken, um andere zum Mitmachen zu motivieren (neu)</li><li>Sichtbarmachen von bestehenden, guten Rastmöglichkeiten im Grünen und in entsprechenden Gastronomiebetrieben (evtl. Vernetzung mit bestehenden digitalen Angeboten.</li></ul><p><br /></p><p><strong>Wer nutzt die App Stadtwanderer</strong></p><ul><li>Touristen</li><li>Berufsleute</li><li>Schulen</li><li>Unternehmen</li><li>Stadt</li><li>etc.</li></ul><p><br /></p><p><strong>Wer unterstützt Stadtwandern?</strong></p><p>-	Stadt </p><p>-	Private Sponsoren mit Interesse an Bewegung, Draussen etc. </p><p><strong>Erweiterungsmöglichkeiten</strong></p><p>Die App kann auch für Langsamverkehr wie z.B. Fahrradverkehr programmiert werden. </p><p><br /></p><p><br /></p>";2564;2021-10-28T18:04:32+02:00;2021-10-28T18:04:32+02:00;2;0;2;0;;"https://partizipieren.stadt.sg.ch/api/v1/storage/files/survey_data/v1pq3ukeajqs/storage/e55dcadf-f6e2-400d-8cab-307728ba6beb.jpg?signature=fa6d2610f75a395c8b93265a3a7cec9fc53a15fadc794a3d321eb404121aa382;https://partizipieren.stadt.sg.ch/api/v1/storage/files/survey_data/v1pq3ukeajqs/storage/66367a23-dee7-444b-8040-4f7d4245f59d.jpg?signature=3cc0c6aba5438843f7f706983f506ed7967a7c27637c9b3751c32400c4848f44;https://partizipieren.stadt.sg.ch/api/v1/storage/files/survey_data/v1pq3ukeajqs/storage/9fbc4378-54b7-42c5-9143-c96197fb8ca9.jpg?signature=a52dcf4ab542f9e98d233bc7bac69e23778ff3d8cfbced34ffd50f262878a2ba";https://daten.stadt.sg.ch/api/v2/catalog/datasets/ideensammlung-zur-city-challenge-2021-der-stadt-stgallen/files/fedb79b35fea7a86ceac2baf97c3b8b7;
195;Solarziegel auf die Dächer der Stadt;<p>Meyer Burger entwickelt neu Solarziegel. Die Stadt soll diese auf den Dächern der Innenstadt verwenden und damit ein sichtbares Zeichen für Klimaneutralität setzen. </p><p>Kontaktperson bei Meyer Burger ist: Gerardo.Pantalena@meyerburger.com</p>;2564;2021-10-06T11:42:46+02:00;2021-10-06T11:42:46+02:00;2;2;0;1;"[{""id"": 59, ""user_id"": 53242, ""comment"": ""... es gibt auch andere Hersteller von Solarziegeln, Werbung hat hier nichts zu suchen!"", ""commentable_id"": 195, ""commentable_type"": ""App\\Models\\IdeaBoardEntry\\IdeaBoardEntry"", ""created_at"": ""2021-10-19 09:40:01"", ""updated_at"": ""2021-10-19 09:40:01"", ""deleted_at"": null, ""upvotes_count"": 1, ""downvotes_count"": 0, ""comments_count"": 0, ""isAdminComment"": false, ""user"": {""id"": 53242, ""nickname"": ""v9KNdrCr""}}]";;;... es gibt auch andere Hersteller von Solarziegeln, Werbung hat hier nichts zu suchen!
