ID;Frage;Titel;Beschreibung HTML;Beschreibung Text;Survey ID;User ID;Created at;Updated at;Upvotes;Downvotes;Vote Average;Anzahl Kommentare;Kommentar 1;Kommentar 2;Bild URL;Bild
253;Was zeichnet St.Gallen aus?;Kauzige Stadt;<p>St.Gallen zeichnet sich durch die Anwohnerinnen aus - aber sie ist merh als das. Sie ist auch der verlorene Geist aller abgewanderten Menschen welche St.Gallen den Rücken kehren.</p>;St.Gallen zeichnet sich durch die Anwohnerinnen aus - aber sie ist merh als das. Sie ist auch der verlorene Geist aller abgewanderten Menschen welche St.Gallen den Rücken kehren.;3483;60648;2021-12-26T10:38:54+01:00;2021-12-26T10:38:54+01:00;3;1;2;0;;;;
254;Was fehlt in St.Gallen?;Diskurs;"<p>Die Kampagne der Standortförderung zeigt vor allem auch auf was der Stadt fehlt: Eine menschgemachte, nichtliberale Kampagne. Während die Standortkampagne eine von oben finanzierte, generische Kampagne ohne ""Echtheit"" ist fehlt der Stadt eine Kampagne von unten - Menschgemacht, intrinsisch motiviert (nicht wirtschaftlich motiviert). Während die Standortförderung fröhlich die neoliberalen sogenannten Errungenschaften hoch hält merkt sie nicht, dass das völlig gekünstelte Stossrichtungen und Slogans beinhaltet. Es fehlt eine Ausrichtung auf zukunftsgerichtete Themen, es fehlt lebendigkeit. Die Kampagne ist anbiedernd und man verweigert sich dem Diskurs - auch an dieser Stelle. Schlussendlich ist diese Kampagne zum scheitern verurteilt und nicht ernst zu nehmen, da sie auf den Konsum setzt, auf Gewinnoptimierung, auf gänzlich kapitalitische Werte. Ganz im Sinne des St.Galler Liberalismus, der vorherrschend ist. Weiche Faktoren werden ausser acht gelassen. </p>";"Die Kampagne der Standortförderung zeigt vor allem auch auf was der Stadt fehlt: Eine menschgemachte, nichtliberale Kampagne. Während die Standortkampagne eine von oben finanzierte, generische Kampagne ohne ""Echtheit"" ist fehlt der Stadt eine Kampagne von unten - Menschgemacht, intrinsisch motiviert (nicht wirtschaftlich motiviert). Während die Standortförderung fröhlich die neoliberalen sogenannten Errungenschaften hoch hält merkt sie nicht, dass das völlig gekünstelte Stossrichtungen und Slogans beinhaltet. Es fehlt eine Ausrichtung auf zukunftsgerichtete Themen, es fehlt lebendigkeit. Die Kampagne ist anbiedernd und man verweigert sich dem Diskurs - auch an dieser Stelle. Schlussendlich ist diese Kampagne zum scheitern verurteilt und nicht ernst zu nehmen, da sie auf den Konsum setzt, auf Gewinnoptimierung, auf gänzlich kapitalitische Werte. Ganz im Sinne des St.Galler Liberalismus, der vorherrschend ist. Weiche Faktoren werden ausser acht gelassen.";3484;60648;2021-12-26T10:44:50+01:00;2021-12-26T10:44:50+01:00;5;2;3;4;"Die ""Sankt-Aktion"" ist rein schon Sprachlich auf den deutschsprachigen Raum beschränkt und untauglich für den internationalen Tourismus. Ausserdem benutzt man für den Internet Auftritt eine .sg Internet-Domain (Singapur) was zwar orginell aussieht, jedoch falsch ist. Die Webseite ist auch nur auf Deutsch verfügbar, keine Landessprachen, kein Englisch.. wie soll man so denn Zuzüger gewinnen? Aus Mörschwil wird ja aufgrund der Sankt-Kampagne ja kaum jemand zuzügeln. 

Ich bin jetzt nicht unbedingt Zürich-Fan, aber wie die ihre ""Greater Zurich Area"" vermarkten - Weltklasse! Das Zitat vom ehemaligen Alphabet (Google) CEO: ""Investing in Zurich was the best decision we've ever made."" wirksam auf der Seite platziert - das Stampft die Sankt-Galler Aktion in Grund und Boden.";"Ich würde der Sankt-Aktion auch eine Alternative wünschen, sie ist mir zu abgehoben und gekünstelt witzig.
Besser fände ich eine Art Bürgerrat, der sich aus Menschen verschiedener Schichten, Generationen und Herkunftsländer zusammensetzt und unter kompetenter Moderation zu zukunftswichtigen Themen austauscht.";;
255;Wie soll St.Gallen in 20 Jahren wahrgenommen werden?;In 20 Jahren;<p>In 20 Jahren hat St.Gallen eine naturwissenschaftliche Fakultät welche die zukunftsreichteten Töchter und Söhne dieser Stadt motiviert hier zu bleiben und eine Stadt nachhaltig (im eigentlichen Sinne - nicht im liberalen Sinne) und voin unten mitgestalten. In 20 Jahren hat die Stadt keine Standortförderung mehr (ich hoffe fest, das wird bald früher der Fall sein) und dieses Geld wird ernsthaft sinnstiftend eingesetzt. In 20 Jahren (ebenfalls gerne früher) wird ein echter Diskurs geführt, kein Pseudo-Sankt-Diskurs.</p>;In 20 Jahren hat St.Gallen eine naturwissenschaftliche Fakultät welche die zukunftsreichteten Töchter und Söhne dieser Stadt motiviert hier zu bleiben und eine Stadt nachhaltig (im eigentlichen Sinne - nicht im liberalen Sinne) und voin unten mitgestalten. In 20 Jahren hat die Stadt keine Standortförderung mehr (ich hoffe fest, das wird bald früher der Fall sein) und dieses Geld wird ernsthaft sinnstiftend eingesetzt. In 20 Jahren (ebenfalls gerne früher) wird ein echter Diskurs geführt, kein Pseudo-Sankt-Diskurs.;3485;60648;2021-12-26T10:47:47+01:00;2021-12-26T10:47:47+01:00;4;1;3;1;"Also ich finde die Sankt-Kampagne ganz super. Das zentrale Namenselement der Stadt wird aufgenommen, es gibt einen Wiedererkennungswert. Als Neuzuzüger bzw. Rückkehrer nach 25 Jahren werde ich zum Beispiel sicher an der Sankt Hallo Veranstaltung teilnehmen. Freue mich jetzt schon.

Die naturwissenschaftliche Fakultät ist eine Top Idee. Eine top Uni haben wir. Die kann man gerne noch ausbauen.";;;
256;Was zeichnet St.Gallen aus?;urbanes Zentrum mit Lücken;<p>St. Gallen war mal meine Heimat als ich vor 30 Jahren aus Österreich über einen kurzen Zwischenstopp im Appenzell einwanderte. Inzwischen lebe ich aber auf dem Land weil mir die Stadt zu laut wurde. Heute kenne ich viele grosse Städte der Schweiz und St. Gallen ist mir fremd geworden. Schade. </p>;St. Gallen war mal meine Heimat als ich vor 30 Jahren aus Österreich über einen kurzen Zwischenstopp im Appenzell einwanderte. Inzwischen lebe ich aber auf dem Land weil mir die Stadt zu laut wurde. Heute kenne ich viele grosse Städte der Schweiz und St. Gallen ist mir fremd geworden. Schade.;3483;60649;2021-12-26T12:31:55+01:00;2021-12-26T12:31:55+01:00;2;3;-1;2;"Ich verstehe Sie @gkyXSMHl und @9gbjlMAp beide. Ich fände es schön, wenn wir St. Gallen so gestalten, dass wir ein urbanes Zentrum ohne Lücken haben. Ein Ort, der den Menschen einen guten Lebensraum bietet und gleichzeitig ""insgesamt sinnvoll"" ist. Damit meine ich eine Stadt, die Menschen persönlich ""anspricht"" (z.B. mit Kulturangeboten) und ruhigere Orte und Orte hat, die die Menschen selbst gestalten können. Gleichzeitig finde ich es wichtig, diese Orte zu vernetzen. Letzteres ist in St. Gallen (noch) nicht so ganz erhalten, vermutlich auch deshalb, da St. Gallen eine eher tiefe Bevölkerungsdichte hat. Es gibt natürlich auch Lichtblicke: Die Zwischennutzung im Areal Bach ist ein kleines Zentrum geworden und auch die Verbindung verschiedener Quartiere wird langsam (ja, leider langsam) diskutiert (S-Bahn, bessere Bus-Verbindungen, Veloschnellrouten und irgendwann vielleicht sogar wieder ein Tram).";Wenn Sie immer noch im ländlichen Appenzell leben, profitieren Sie doch trotzdem von der Stadt St. Gallen. Das ist ja eben auch das tolle an der Stadt St. Gallen - sie können in steuergünstigen, ruhigen und von Zentrumslasten befreiten Nachbarsgemeinden leben und trotzdem von der kulturellen Vielfalt der Stadt profitieren. Die ÖV-Verbindung von Niederteufen AR in die Stadt St. Gallen ist sogar besser als die Stadt-Interne Strecke Zil - Winkeln - das müsste schon zu denken geben!;;
257;Was fehlt in St.Gallen?;Elektromobilität und innovative Sharing-Projekte;<p>Die Stadt St. Gallen hat immer noch zu wenige Parkplätze für Besucher und ich sehe nicht, was sich die letzten 30 Jahre verändert hat. Es gibt viel zu wenige Ladestationen und dazu noch einen undurchschaubaren Mix an Sharing-Projekten ohne das man das Grosse und Ganze ins Auge nimmt. Der Verkehr ist Durchgangsverkehr ins Appenzellerland und von West nach Ost und umgekehrt, da kann man nicht mit der Aufhebung von Parkplätzen oder einem Sharing-Konzept mit E-Scootern dagegen angehen. Ein Umdenken findet erst dann statt, wenn die Gesamtlösung besser ist. </p>;Die Stadt St. Gallen hat immer noch zu wenige Parkplätze für Besucher und ich sehe nicht, was sich die letzten 30 Jahre verändert hat. Es gibt viel zu wenige Ladestationen und dazu noch einen undurchschaubaren Mix an Sharing-Projekten ohne das man das Grosse und Ganze ins Auge nimmt. Der Verkehr ist Durchgangsverkehr ins Appenzellerland und von West nach Ost und umgekehrt, da kann man nicht mit der Aufhebung von Parkplätzen oder einem Sharing-Konzept mit E-Scootern dagegen angehen. Ein Umdenken findet erst dann statt, wenn die Gesamtlösung besser ist.;3484;60649;2021-12-26T12:39:55+01:00;2021-12-26T12:39:55+01:00;1;0;1;2;Die E-Scooter sind spitze! Eine echte Bereicherung. Und es macht so Spass, sie zu fahren.;Der Durchgangsverkehr ins Appenzellerland ist wirklich Massiv und eine grosse Last! Wieso benutzen diese nicht den ÖV?;;
258;Was fehlt in St.Gallen?;Soziales Netz unter Arbeitskolleg:innen;<p>Mir fehlt das soziale Netzwerk in der Stadt komplett. Keiner meiner Arbeitskolleg:innen wohnt in der Stadt St. Gallen obwohl wir unseren Firmen-Hauptsitz hier in der Stadt haben. (Abteilung hat über 70 MA) Die meisten sind aus finanziellen Gründen weggezogen (Steuern, Immobilienkauf auf dem Land, Ruhe etc..). </p><p>Auch aus meinem Freundeskreis aus der Primar- und Sekundarschule ist die Abwanderung entweder auf die ländlichen Nachbargemeinden oder in eine Zürcher-Agglo extrem hoch. </p><p>Das mit dem soizialen Netzwerk ist echt schade und fehlt mir total in der Stadt St. Gallen.</p>;Mir fehlt das soziale Netzwerk in der Stadt komplett. Keiner meiner Arbeitskolleg:innen wohnt in der Stadt St. Gallen obwohl wir unseren Firmen-Hauptsitz hier in der Stadt haben. (Abteilung hat über 70 MA) Die meisten sind aus finanziellen Gründen weggezogen (Steuern, Immobilienkauf auf dem Land, Ruhe etc..).   Auch aus meinem Freundeskreis aus der Primar- und Sekundarschule ist die Abwanderung entweder auf die ländlichen Nachbargemeinden oder in eine Zürcher-Agglo extrem hoch.   Das mit dem soizialen Netzwerk ist echt schade und fehlt mir total in der Stadt St. Gallen.;3484;60650;2021-12-26T12:43:15+01:00;2021-12-26T12:43:15+01:00;5;0;5;1;"Ich komme dieses Jahr zurück. Werde das dann mal austesten. Ich plane als erstes einen kleinen regelmässigen Apero für Open-Source-Leute (Ableger von CH Open). In Zürich funktioniert das super mit teils 30 Teilnehmern. Bin gespannt, ob es in St.Gallen funktionieren kann. Gibt es aus diesem Bereich schon Clubs, Vereine, was auch immer?

Die Erfahrung zeigt doch, dass man es selber anpacken muss.";;;
259;Wie soll St.Gallen in 20 Jahren wahrgenommen werden?;Autofrei und Klimaneutral;<p>Eine Stadt mit der Topographie von St. Gallen wird in Zukunft nur überleben, wenn dem Klima sehr viel stärker Sorge getragen wird. Mehr als die Hälfte der Fläche von St. Gallen ist Hanglage, diese Hanglagen werden bei Starkregen zum Teil in Bewegung geraten und dagegen wird man kaum ein Mittel finden. Klimaschutz ist das einzige was uns retten kann, deshalb sollte die Stadt in 20 Jahren vollständig Klimaneutral agieren. </p>;Eine Stadt mit der Topographie von St. Gallen wird in Zukunft nur überleben, wenn dem Klima sehr viel stärker Sorge getragen wird. Mehr als die Hälfte der Fläche von St. Gallen ist Hanglage, diese Hanglagen werden bei Starkregen zum Teil in Bewegung geraten und dagegen wird man kaum ein Mittel finden. Klimaschutz ist das einzige was uns retten kann, deshalb sollte die Stadt in 20 Jahren vollständig Klimaneutral agieren.;3485;60649;2021-12-26T12:46:46+01:00;2021-12-26T12:46:46+01:00;4;1;3;0;;;;
260;Was fehlt in St.Gallen?;Hundespielwiese;"<p>Ich und meine Partnerin haben keine Kinder, sind jedoch begeisterte Besitzer eines Hundes. In der Stadt St. Gallen scheinen wir vermehrt ""vergessen"" und ""förig"" zu sein. Es gibt kaum mehr Freilauf Möglichkeiten, die in den letzten Jahren nicht zu Velo- / Trottinett usw.. Hotspots geworden sind. (z.B. Gaiserwaldweg und eigentlich allen Waldwege auf Stadtgebiet). Oft werden schöne Wiesen auch eifach überbaut bspw. Überbauung Waldacker oder der Neubau bim Coop Lerchenfeld.</p><p>Man hat massiv E-Bikes und ähnliche Fahrzeuge gefördert, den bisherigen Fussgängern und Hundebesitzern aber keinen zusätzlichen Raum ermöglicht. Ob im Wald spazieren funktioniert wenn einem ein E-Bike Fahrer mit 40km/h ohne bremsen oder klingeln entgegenkommt darf jeder für sich selbst beurteilen.</p><p>Als verheiratetes, kinderloses Paar tragen wir eine sehr hohe Steuerlast in der Stadt, wir fühlen uns am Beispiel ""Hund"" jedoch nicht wirklich Willkommen. Ich glaube wir sind auch nicht die Zielgruppe der städtischen Standortförderung. Schade!</p>";"Ich und meine Partnerin haben keine Kinder, sind jedoch begeisterte Besitzer eines Hundes. In der Stadt St. Gallen scheinen wir vermehrt ""vergessen"" und ""förig"" zu sein. Es gibt kaum mehr Freilauf Möglichkeiten, die in den letzten Jahren nicht zu Velo- / Trottinett usw.. Hotspots geworden sind. (z.B. Gaiserwaldweg und eigentlich allen Waldwege auf Stadtgebiet). Oft werden schöne Wiesen auch eifach überbaut bspw. Überbauung Waldacker oder der Neubau bim Coop Lerchenfeld.  Man hat massiv E-Bikes und ähnliche Fahrzeuge gefördert, den bisherigen Fussgängern und Hundebesitzern aber keinen zusätzlichen Raum ermöglicht. Ob im Wald spazieren funktioniert wenn einem ein E-Bike Fahrer mit 40km/h ohne bremsen oder klingeln entgegenkommt darf jeder für sich selbst beurteilen.  Als verheiratetes, kinderloses Paar tragen wir eine sehr hohe Steuerlast in der Stadt, wir fühlen uns am Beispiel ""Hund"" jedoch nicht wirklich Willkommen. Ich glaube wir sind auch nicht die Zielgruppe der städtischen Standortförderung. Schade!";3484;60650;2021-12-26T12:56:08+01:00;2021-12-26T12:56:08+01:00;5;1;4;0;;;;
261;Wie soll St.Gallen in 20 Jahren wahrgenommen werden?;St. Gallen muss seine Identität finden;<p>Ich bin in der Stadt geboren und aufgewachsen. Seit meinen frühsten Erinnerungen wir die Stadt St.Gallen mit der gescheiterten Stickerei-Industrie oder mit OLMA-OLMA-OLMA assoziiert. </p><p>Die Stickerei-Industrie ist für mich historisch gesehen etwas wichtiges - doch finde ich - sollte St. Gallen nach über 100 Jahren nicht mehr den vergangenen Errungenschaften nachtrauern und sich von diesem Komplex loslösen. Klar ist es schön zu Wissen dass wir mal viel Erfolgreicher und besser als Zürich waren und eine direkte Zugverbindung nach Paris hatten...  Wir leben aber im hier und jetzt und St. Gallen sollte sich eine moderne und aktuelle Identität verschaffen.</p><p>Ausser der HSG fällt mir jedoch nichts ein, was St. Gallen einzigartig und über die Landesgrenzen hinaus bekannt macht. </p>;Ich bin in der Stadt geboren und aufgewachsen. Seit meinen frühsten Erinnerungen wir die Stadt St.Gallen mit der gescheiterten Stickerei-Industrie oder mit OLMA-OLMA-OLMA assoziiert.   Die Stickerei-Industrie ist für mich historisch gesehen etwas wichtiges - doch finde ich - sollte St. Gallen nach über 100 Jahren nicht mehr den vergangenen Errungenschaften nachtrauern und sich von diesem Komplex loslösen. Klar ist es schön zu Wissen dass wir mal viel Erfolgreicher und besser als Zürich waren und eine direkte Zugverbindung nach Paris hatten...  Wir leben aber im hier und jetzt und St. Gallen sollte sich eine moderne und aktuelle Identität verschaffen.  Ausser der HSG fällt mir jedoch nichts ein, was St. Gallen einzigartig und über die Landesgrenzen hinaus bekannt macht.;3485;60650;2021-12-26T13:05:32+01:00;2021-12-26T13:05:32+01:00;3;1;2;0;;;;
262;Was zeichnet St.Gallen aus?;Lebendige Kleinstadt mit attraktivem Angebot;<p>Ich finde es schade, dass auf dieser Plattform von vielen Nutzerinnen und Nutzer der Fokus rein auf die Dinge gelegt wird welche den jeweiligen Person nicht passen. Ich selbst hab zweieinhalb Jahre in Wien gelebt und bin nun wieder in der Stadt St. Gallen wohnhaft. Und ich muss dabei sagen dass die Stadt an sich, besonders in Anbetracht ihrer Grösse, ein wirklich reiches kulinarisches und kulturelles Angebot bietet. Diesem sollte auch in Zukunft Sorge getragen werden. Wir leben alle in einer Kleinstadt mit nicht einmal 80,000 Einwohnern, haben jedoch mehrere Museen, ein Sinfonieorchester, verschiedene Theater, sowie eine Vielzahl an wirklich sehr guten Restaurants und Bars vor der Haustüre. Dies führt dazu dass St. Gallen äusserst lebendig ist, auch unter der Woche. Um diesem kulturellen und kulinarischen Angebot Sorge zu tragen, hoffe ich dass die Stadt in gewisser Hinsicht den Initianten und Unternehmern auch entgegenkommt. Wenn es darum geht, gewisse Veranstaltungen beispielsweise zu bewilligen oder auch bezüglich der Genehmigung für längere Öffnungszeiten im Sommer auf den Terrassen, finde ich, dass die Stadt kulanter und unkomplizierter auftreten sollte.</p>;Ich finde es schade, dass auf dieser Plattform von vielen Nutzerinnen und Nutzer der Fokus rein auf die Dinge gelegt wird welche den jeweiligen Person nicht passen. Ich selbst hab zweieinhalb Jahre in Wien gelebt und bin nun wieder in der Stadt St. Gallen wohnhaft. Und ich muss dabei sagen dass die Stadt an sich, besonders in Anbetracht ihrer Grösse, ein wirklich reiches kulinarisches und kulturelles Angebot bietet. Diesem sollte auch in Zukunft Sorge getragen werden. Wir leben alle in einer Kleinstadt mit nicht einmal 80,000 Einwohnern, haben jedoch mehrere Museen, ein Sinfonieorchester, verschiedene Theater, sowie eine Vielzahl an wirklich sehr guten Restaurants und Bars vor der Haustüre. Dies führt dazu dass St. Gallen äusserst lebendig ist, auch unter der Woche. Um diesem kulturellen und kulinarischen Angebot Sorge zu tragen, hoffe ich dass die Stadt in gewisser Hinsicht den Initianten und Unternehmern auch entgegenkommt. Wenn es darum geht, gewisse Veranstaltungen beispielsweise zu bewilligen oder auch bezüglich der Genehmigung für längere Öffnungszeiten im Sommer auf den Terrassen, finde ich, dass die Stadt kulanter und unkomplizierter auftreten sollte.;3483;60651;2021-12-26T14:16:18+01:00;2021-12-26T14:16:18+01:00;8;1;7;3;Wahre Worte! Punkto Bewilligungen, Veranstaltungen hinkt St.Gallen stark hinterher...;Ich komme dieses Jahr nach 25 Jahren zurück nach St.Gallen.  Dieser Beitrag macht Lust auf mehr. Danke!;;
