Datum;Bezeichnung;Standort;Arbeitstag;Wochentag;Tag Nr;Kennzahl;Anzahl Velos
2012-01-01;Oberstrasse 149;47.414179,9.356962;Wochenende;Sonntag;7;Tagesverkehr;86
2012-01-01;Vadianstrasse 8;47.422903,9.372979;Wochenende;Sonntag;7;Tagesverkehr;213
2012-01-02;Vadianstrasse 8;47.422903,9.372979;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";479
2012-01-03;Rosenbergstrasse Veloweg;47.421245,9.359067;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";218
2012-01-04;Vadianstrasse 8;47.422903,9.372979;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";698
2012-01-05;Vadianstrasse 8;47.422903,9.372979;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";532
2012-01-06;Oberstrasse 149;47.414179,9.356962;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";114
2012-01-12;Rosenbergstrasse Veloweg;47.421245,9.359067;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";242
2012-01-15;Vadianstrasse 8;47.422903,9.372979;Wochenende;Sonntag;7;Tagesverkehr;94
2012-01-16;Museumstrasse;47.427214,9.379645;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";168
2012-01-17;Rosenbergstrasse Veloweg;47.421245,9.359067;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";219
2012-01-19;Oberstrasse 149;47.414179,9.356962;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";233
2012-01-20;Museumstrasse;47.427214,9.379645;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";101
2012-01-21;Museumstrasse;47.427214,9.379645;Wochenende;Samstag;6;Tagesverkehr;56
2012-01-22;Rosenbergstrasse Veloweg;47.421245,9.359067;Wochenende;Sonntag;7;Tagesverkehr;54
2012-01-27;Museumstrasse;47.427214,9.379645;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";140
2012-01-27;Vadianstrasse 8;47.422903,9.372979;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";245
2012-01-28;Vadianstrasse 8;47.422903,9.372979;Wochenende;Samstag;6;Tagesverkehr;250
2012-01-31;Oberstrasse 149;47.414179,9.356962;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";114
2012-01-31;Vadianstrasse 8;47.422903,9.372979;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";433
2012-02-01;Vadianstrasse 8;47.422903,9.372979;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";524
2012-02-02;Oberstrasse 149;47.414179,9.356962;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";90
2012-02-03;Rosenbergstrasse Veloweg;47.421245,9.359067;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";55
2012-02-05;Rosenbergstrasse Veloweg;47.421245,9.359067;Wochenende;Sonntag;7;Tagesverkehr;11
2012-02-06;Oberstrasse 149;47.414179,9.356962;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";92
2012-02-06;Rosenbergstrasse Veloweg;47.421245,9.359067;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";71
2012-02-06;Vadianstrasse 8;47.422903,9.372979;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";305
2012-02-09;Oberstrasse 149;47.414179,9.356962;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";65
2012-02-10;Museumstrasse;47.427214,9.379645;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";29
2012-02-10;Oberstrasse 149;47.414179,9.356962;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";56
