BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
17;Kanton St.Gallen;Energie;Gasverbrauch;null;570;Gasverbrauch Total [MWh];2013;2272508;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Gasverbrauch;null;570;Gasverbrauch Total [MWh];2014;2014986;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Gasverbrauch;null;570;Gasverbrauch Total [MWh];2015;2102815;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Gasverbrauch;null;570;Gasverbrauch Total [MWh];2016;2175823;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Gasverbrauch;null;570;Gasverbrauch Total [MWh];2017;2274855;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Gasverbrauch;null;570;Gasverbrauch Total [MWh];2018;2188842;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Gasverbrauch;null;570;Gasverbrauch Total [MWh];2019;2314338;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Gasverbrauch;null;570;Gasverbrauch Total [MWh];2020;2297108;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Gasverbrauch;null;571;Gasverbrauch Haushalte [MWh];2013;1152999;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Gasverbrauch;null;571;Gasverbrauch Haushalte [MWh];2014;993507;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Gasverbrauch;null;571;Gasverbrauch Haushalte [MWh];2015;1079240;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Gasverbrauch;null;571;Gasverbrauch Haushalte [MWh];2016;1139269;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Gasverbrauch;null;571;Gasverbrauch Haushalte [MWh];2017;1098867;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Gasverbrauch;null;571;Gasverbrauch Haushalte [MWh];2018;1139807;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Gasverbrauch;null;571;Gasverbrauch Haushalte [MWh];2019;1231693;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Gasverbrauch;null;571;Gasverbrauch Haushalte [MWh];2020;1168076;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Gasverbrauch;null;572;Gasverbrauch Gewerbe [MWh];2013;594371;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Gasverbrauch;null;572;Gasverbrauch Gewerbe [MWh];2014;469263;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Gasverbrauch;null;572;Gasverbrauch Gewerbe [MWh];2015;491118;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Gasverbrauch;null;572;Gasverbrauch Gewerbe [MWh];2016;459181;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Gasverbrauch;null;572;Gasverbrauch Gewerbe [MWh];2017;534244;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Gasverbrauch;null;572;Gasverbrauch Gewerbe [MWh];2018;487851;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Gasverbrauch;null;572;Gasverbrauch Gewerbe [MWh];2019;458662;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Gasverbrauch;null;572;Gasverbrauch Gewerbe [MWh];2020;415887;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Gasverbrauch;null;573;Gasverbrauch Industrie [MWh];2013;524868;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Gasverbrauch;null;573;Gasverbrauch Industrie [MWh];2014;552216;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Gasverbrauch;null;573;Gasverbrauch Industrie [MWh];2015;532457;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Gasverbrauch;null;573;Gasverbrauch Industrie [MWh];2016;577374;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Gasverbrauch;null;573;Gasverbrauch Industrie [MWh];2017;641744;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Gasverbrauch;null;573;Gasverbrauch Industrie [MWh];2018;561184;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Gasverbrauch;null;573;Gasverbrauch Industrie [MWh];2019;623983;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Gasverbrauch;null;573;Gasverbrauch Industrie [MWh];2020;713145;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;574;Stromverbrauch Total [MWh];2013;3416505;MWh;Megawattstunden;
17;Kanton St.Gallen;Energie;Stromverbrauch;null;574;Stromverbrauch Total [MWh];2014;3379659;MWh;Megawattstunden;
