BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
17;Kanton St.Gallen;Raum und Umwelt;Geographie, Flächen;Flächen;84;Gesamtfläche [ha];1997;195100;ha;Hektaren;
17;Kanton St.Gallen;Raum und Umwelt;Geographie, Flächen;Flächen;84;Gesamtfläche [ha];1998;195100;ha;Hektaren;
17;Kanton St.Gallen;Raum und Umwelt;Geographie, Flächen;Flächen;84;Gesamtfläche [ha];1999;195100;ha;Hektaren;
17;Kanton St.Gallen;Raum und Umwelt;Geographie, Flächen;Flächen;84;Gesamtfläche [ha];2000;195100;ha;Hektaren;
17;Kanton St.Gallen;Raum und Umwelt;Geographie, Flächen;Flächen;84;Gesamtfläche [ha];2001;195100;ha;Hektaren;
17;Kanton St.Gallen;Raum und Umwelt;Geographie, Flächen;Flächen;84;Gesamtfläche [ha];2002;195100;ha;Hektaren;
17;Kanton St.Gallen;Raum und Umwelt;Geographie, Flächen;Flächen;84;Gesamtfläche [ha];2003;195100;ha;Hektaren;
17;Kanton St.Gallen;Raum und Umwelt;Geographie, Flächen;Flächen;84;Gesamtfläche [ha];2004;195100;ha;Hektaren;
17;Kanton St.Gallen;Raum und Umwelt;Geographie, Flächen;Flächen;84;Gesamtfläche [ha];2005;195100;ha;Hektaren;
17;Kanton St.Gallen;Raum und Umwelt;Geographie, Flächen;Flächen;84;Gesamtfläche [ha];2006;195100;ha;Hektaren;
17;Kanton St.Gallen;Raum und Umwelt;Geographie, Flächen;Flächen;84;Gesamtfläche [ha];2007;195100;ha;Hektaren;
17;Kanton St.Gallen;Raum und Umwelt;Geographie, Flächen;Flächen;84;Gesamtfläche [ha];2008;195100;ha;Hektaren;
17;Kanton St.Gallen;Raum und Umwelt;Geographie, Flächen;Flächen;84;Gesamtfläche [ha];2009;195100;ha;Hektaren;
17;Kanton St.Gallen;Raum und Umwelt;Geographie, Flächen;Flächen;84;Gesamtfläche [ha];2010;195100;ha;Hektaren;
17;Kanton St.Gallen;Raum und Umwelt;Geographie, Flächen;Flächen;84;Gesamtfläche [ha];2011;195100;ha;Hektaren;
17;Kanton St.Gallen;Raum und Umwelt;Geographie, Flächen;Flächen;84;Gesamtfläche [ha];2012;195100;ha;Hektaren;
17;Kanton St.Gallen;Raum und Umwelt;Geographie, Flächen;Flächen;84;Gesamtfläche [ha];2013;195100;ha;Hektaren;
17;Kanton St.Gallen;Raum und Umwelt;Geographie, Flächen;Flächen;84;Gesamtfläche [ha];2014;195100;ha;Hektaren;
17;Kanton St.Gallen;Raum und Umwelt;Geographie, Flächen;Flächen;84;Gesamtfläche [ha];2015;195100;ha;Hektaren;
17;Kanton St.Gallen;Raum und Umwelt;Geographie, Flächen;Flächen;84;Gesamtfläche [ha];2016;195100;ha;Hektaren;
17;Kanton St.Gallen;Raum und Umwelt;Geographie, Flächen;Flächen;84;Gesamtfläche [ha];2017;195100;ha;Hektaren;
17;Kanton St.Gallen;Raum und Umwelt;Geographie, Flächen;Flächen;84;Gesamtfläche [ha];2018;195100;ha;Hektaren;
17;Kanton St.Gallen;Raum und Umwelt;Geographie, Flächen;Flächen;84;Gesamtfläche [ha];2019;195100;ha;Hektaren;
17;Kanton St.Gallen;Raum und Umwelt;Geographie, Flächen;Flächen;84;Gesamtfläche [ha];2020;195100;ha;Hektaren;
17;Kanton St.Gallen;Raum und Umwelt;Geographie, Flächen;Flächen;84;Gesamtfläche [ha];2021;195100;ha;Hektaren;
17;Kanton St.Gallen;Raum und Umwelt;Geographie, Flächen;Flächen;84;Gesamtfläche [ha];2022;195100;ha;Hektaren;
17;Kanton St.Gallen;Raum und Umwelt;Geographie, Flächen;Flächen;85;Anteil Siedlungsfläche [%];1997;9.1;%;Prozent;
17;Kanton St.Gallen;Raum und Umwelt;Geographie, Flächen;Flächen;85;Anteil Siedlungsfläche [%];2008;10;%;Prozent;
17;Kanton St.Gallen;Raum und Umwelt;Geographie, Flächen;Flächen;85;Anteil Siedlungsfläche [%];2018;10.5;%;Prozent;
17;Kanton St.Gallen;Raum und Umwelt;Geographie, Flächen;Flächen;87;Siedlungsfläche je Einwohner [m2];1997;396;m2;Quadratmeter;
17;Kanton St.Gallen;Raum und Umwelt;Geographie, Flächen;Flächen;87;Siedlungsfläche je Einwohner [m2];2008;411;m2;Quadratmeter;
17;Kanton St.Gallen;Raum und Umwelt;Geographie, Flächen;Flächen;88;Anteil Landwirtschaftsfläche [%];1997;49.3;%;Prozent;
17;Kanton St.Gallen;Raum und Umwelt;Geographie, Flächen;Flächen;88;Anteil Landwirtschaftsfläche [%];2008;48.4;%;Prozent;
17;Kanton St.Gallen;Raum und Umwelt;Geographie, Flächen;Flächen;88;Anteil Landwirtschaftsfläche [%];2018;47.8;%;Prozent;
17;Kanton St.Gallen;Raum und Umwelt;Verkehr;Fahrzeugbestand (Autos u.a.);89;Personenwagen [pro 1000 Einw.];1991;     405;pro 1000 Einw.;pro 1000 Einwohner/-innen;
17;Kanton St.Gallen;Raum und Umwelt;Verkehr;Fahrzeugbestand (Autos u.a.);89;Personenwagen [pro 1000 Einw.];1992;     404;pro 1000 Einw.;pro 1000 Einwohner/-innen;
17;Kanton St.Gallen;Raum und Umwelt;Verkehr;Fahrzeugbestand (Autos u.a.);89;Personenwagen [pro 1000 Einw.];1993;     404;pro 1000 Einw.;pro 1000 Einwohner/-innen;
17;Kanton St.Gallen;Raum und Umwelt;Verkehr;Fahrzeugbestand (Autos u.a.);89;Personenwagen [pro 1000 Einw.];1994;     409;pro 1000 Einw.;pro 1000 Einwohner/-innen;
17;Kanton St.Gallen;Raum und Umwelt;Verkehr;Fahrzeugbestand (Autos u.a.);89;Personenwagen [pro 1000 Einw.];1995;     417;pro 1000 Einw.;pro 1000 Einwohner/-innen;
17;Kanton St.Gallen;Raum und Umwelt;Verkehr;Fahrzeugbestand (Autos u.a.);89;Personenwagen [pro 1000 Einw.];1996;     423;pro 1000 Einw.;pro 1000 Einwohner/-innen;
17;Kanton St.Gallen;Raum und Umwelt;Verkehr;Fahrzeugbestand (Autos u.a.);89;Personenwagen [pro 1000 Einw.];1997;     427;pro 1000 Einw.;pro 1000 Einwohner/-innen;
