T_h;Bezeichnung;Standort;Arbeitstag;Wochentag;Tag Nr;Kennzahl;TAG_Gesamtzahl_Passanten_dSSG
2018-06-11T00:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";25
2018-06-11T06:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";90
2018-06-11T09:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";344
2018-06-11T18:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";437
2018-06-12T03:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";3
2018-06-12T04:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";0
2018-06-12T05:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";12
2018-06-12T13:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";703
2018-06-12T19:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";95
2018-06-13T05:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";11
2018-06-13T20:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";61
2018-06-13T22:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";52
2018-06-14T03:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";5
2018-06-14T08:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";378
2018-06-14T12:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";828
2018-06-15T05:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";24
2018-06-15T11:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";809
2018-06-15T13:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";718
2018-06-15T17:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";684
2018-06-15T18:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";488
2018-06-15T20:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";175
2018-06-16T07:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Wochenende;Samstag;6;Tagesverkehr;128
2018-06-16T10:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Wochenende;Samstag;6;Tagesverkehr;783
2018-06-16T16:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Wochenende;Samstag;6;Tagesverkehr;934
2018-06-16T17:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Wochenende;Samstag;6;Tagesverkehr;387
2018-06-17T00:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Wochenende;Sonntag;7;Tagesverkehr;94
2018-06-17T01:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Wochenende;Sonntag;7;Tagesverkehr;46
2018-06-17T10:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Wochenende;Sonntag;7;Tagesverkehr;84
2018-06-17T11:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Wochenende;Sonntag;7;Tagesverkehr;138
2018-06-17T16:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Wochenende;Sonntag;7;Tagesverkehr;150
2018-06-17T23:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Wochenende;Sonntag;7;Tagesverkehr;9
2018-06-18T07:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";304
2018-06-18T14:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";641
2018-06-18T15:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";657
2018-06-19T00:00:00+02:00;FG Neugasse 34;47.4248715563,9.37478728307;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";11
