h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
2021-10-26T21;0.00;2021-10-26;0.00;2021-10;0.00;2021;2.00
2021-10-27T15;0.00;2021-10-27;0.00;2021-09;2.00;;
2021-09-29T12;2.00;2021-09-29;2.00;;;;
2021-10-29T14;0.00;2021-10-29;0.00;;;;
2021-10-28T18;0.00;2021-10-28;0.00;;;;
2021-10-21T16;3.00;2021-10-21;2.00;;;;
2021-10-28T20;1.00;2021-10-06;2.00;;;;
2021-10-28T18;0.00;2021-10-07;1.00;;;;
2021-10-06T11;2.00;2021-10-30;0.00;;;;
2021-10-29T20;0.00;2021-10-25;1.00;;;;
2021-10-28T20;0.00;2021-10-20;1.00;;;;
2021-10-28T12;0.00;2021-10-13;0.00;;;;
2021-10-29T16;0.00;;;;;;
2021-10-21T12;2.00;;;;;;
2021-10-29T18;0.00;;;;;;
2021-10-29T09;0.00;;;;;;
2021-10-29T23;0.00;;;;;;
2021-10-07T14;0.00;;;;;;
2021-10-28T09;1.00;;;;;;
2021-10-30T00;0.00;;;;;;
2021-10-29T17;0.00;;;;;;
2021-10-29T01;0.00;;;;;;
2021-10-28T23;0.00;;;;;;
2021-10-07T03;1.00;;;;;;
2021-10-25T09;0.00;;;;;;
2021-10-27T09;0.00;;;;;;
2021-10-29T18;0.00;;;;;;
2021-10-20T20;1.00;;;;;;
2021-10-06T18;2.00;;;;;;
2021-10-26T16;0.00;;;;;;
2021-10-25T16;1.00;;;;;;
2021-10-26T16;0.00;;;;;;
2021-10-13T18;0.00;;;;;;
2021-10-25T00;1.00;;;;;;
