h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
2021-10-26T21;2.00;2021-10-26;3.00;2021-10;3.00;2021;3.00
2021-10-27T15;1.00;2021-10-27;0.00;2021-09;3.00;;
2021-09-29T12;3.00;2021-09-29;3.00;;;;
2021-10-29T14;1.00;2021-10-29;1.00;;;;
2021-10-28T18;1.00;2021-10-28;1.00;;;;
2021-10-21T16;-1.00;2021-10-21;3.00;;;;
2021-10-28T20;-1.00;2021-10-06;-1.00;;;;
2021-10-28T18;2.00;2021-10-07;2.00;;;;
2021-10-06T11;0.00;2021-10-30;1.00;;;;
2021-10-29T20;7.00;2021-10-25;2.00;;;;
2021-10-28T20;0.00;2021-10-20;0.00;;;;
2021-10-28T12;1.00;2021-10-13;3.00;;;;
2021-10-29T16;2.00;;;;;;
2021-10-21T12;3.00;;;;;;
2021-10-29T18;0.00;;;;;;
2021-10-29T09;2.00;;;;;;
2021-10-29T23;1.00;;;;;;
2021-10-07T14;4.00;;;;;;
2021-10-28T09;1.00;;;;;;
2021-10-30T00;1.00;;;;;;
2021-10-29T17;1.00;;;;;;
2021-10-29T01;0.00;;;;;;
2021-10-28T23;1.00;;;;;;
2021-10-07T03;2.00;;;;;;
2021-10-25T09;1.00;;;;;;
2021-10-27T09;0.00;;;;;;
2021-10-29T18;1.00;;;;;;
2021-10-20T20;0.00;;;;;;
2021-10-06T18;-1.00;;;;;;
2021-10-26T16;1.00;;;;;;
2021-10-25T16;1.00;;;;;;
2021-10-26T16;3.00;;;;;;
2021-10-13T18;3.00;;;;;;
2021-10-25T00;2.00;;;;;;
