h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
;;2017-09-24;231.00;2017-09;202.00;2017;132.00
;;2018-03-04;1062.00;2018-03;138.00;2018;385.00
;;2018-03-04;432.00;2018-06;299.00;2019;153.00
;;2018-03-04;719.00;2018-08;459.00;2020;233.00
;;2018-06-10;421.00;2019-05;439.00;;
;;2018-08-23;143.00;2019-11;953.00;;
;;2019-05-19;158.00;2017-02;1691.00;;
;;2019-11-17;378.00;2017-05;52.00;;
;;2019-11-17;911.00;2017-11;132.00;;
;;2017-02-12;592.00;2018-11;385.00;;
;;2017-05-21;52.00;2019-02;338.00;;
;;2017-11-26;132.00;2019-06;153.00;;
;;2018-03-04;1165.00;2020-02;233.00;;
;;2018-06-10;332.00;;;;
;;2018-06-10;587.00;;;;
;;2018-08-23;639.00;;;;
;;2018-11-25;1236.00;;;;
;;2018-11-25;2367.00;;;;
;;2019-02-10;117.00;;;;
;;2019-05-19;439.00;;;;
;;2019-06-30;681.00;;;;
;;2020-02-09;306.00;;;;
;;2017-02-12;746.00;;;;
;;2017-02-12;1852.00;;;;
;;2017-02-12;3011.00;;;;
;;2017-09-24;637.00;;;;
;;2018-08-23;229.00;;;;
;;2018-08-23;395.00;;;;
;;2018-11-25;660.00;;;;
;;2019-02-10;338.00;;;;
;;2019-06-30;174.00;;;;
;;2019-11-17;352.00;;;;
;;2020-02-09;844.00;;;;
;;2017-02-12;612.00;;;;
;;2018-03-04;138.00;;;;
;;2018-06-10;299.00;;;;
;;2018-11-25;677.00;;;;
;;2018-11-25;229.00;;;;
;;2018-11-25;385.00;;;;
;;2019-11-17;694.00;;;;
;;2019-11-17;953.00;;;;
;;2017-02-12;1691.00;;;;
;;2017-09-24;202.00;;;;
;;2018-08-23;459.00;;;;
;;2019-06-30;153.00;;;;
;;2020-02-09;233.00;;;;
