h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
;;2017-09-24;49.20;2017-09;49.20;2017;40.10
;;2018-03-04;57.20;2018-03;57.20;2018;50.10
;;2018-03-04;57.20;2018-06;37.90;2019;31.70
;;2018-03-04;57.20;2018-08;39.90;2020;43.70
;;2018-06-10;37.90;2019-05;43.60;;
;;2018-08-23;39.90;2019-11;36.80;;
;;2019-05-19;43.60;2017-02;46.70;;
;;2019-11-17;36.80;2017-05;41.30;;
;;2019-11-17;36.80;2017-11;40.10;;
;;2017-02-12;46.70;2018-11;50.10;;
;;2017-05-21;41.30;2019-02;37.50;;
;;2017-11-26;40.10;2019-06;31.70;;
;;2018-03-04;57.20;2020-02;43.70;;
;;2018-06-10;37.90;;;;
;;2018-06-10;37.90;;;;
;;2018-08-23;39.90;;;;
;;2018-11-25;50.10;;;;
;;2018-11-25;50.10;;;;
;;2019-02-10;37.50;;;;
;;2019-05-19;43.60;;;;
;;2019-06-30;31.60;;;;
;;2020-02-09;43.70;;;;
;;2017-02-12;46.70;;;;
;;2017-02-12;46.70;;;;
;;2017-02-12;46.70;;;;
;;2017-09-24;49.20;;;;
;;2018-08-23;39.90;;;;
;;2018-08-23;39.90;;;;
;;2018-11-25;50.10;;;;
;;2019-02-10;37.50;;;;
;;2019-06-30;31.60;;;;
;;2019-11-17;36.80;;;;
;;2020-02-09;43.70;;;;
;;2017-02-12;46.70;;;;
;;2018-03-04;57.20;;;;
;;2018-06-10;37.90;;;;
;;2018-11-25;50.10;;;;
;;2018-11-25;50.10;;;;
;;2018-11-25;50.10;;;;
;;2019-11-17;36.80;;;;
;;2019-11-17;36.80;;;;
;;2017-02-12;46.70;;;;
;;2017-09-24;49.20;;;;
;;2018-08-23;39.90;;;;
;;2019-06-30;31.70;;;;
;;2020-02-09;43.70;;;;
