h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
;;2017-09-24;2.00;2017-09;2.00;2017;1.00
;;2018-03-04;3.00;2018-03;8.00;2018;7.00
;;2018-03-04;4.00;2018-06;0.00;2019;0.00
;;2018-03-04;5.00;2018-08;0.00;2020;0.00
;;2018-06-10;0.00;2019-05;3.00;;
;;2018-08-23;0.00;2019-11;1.00;;
;;2019-05-19;1.00;2017-02;0.00;;
;;2019-11-17;2.00;2017-05;5.00;;
;;2019-11-17;1.00;2017-11;1.00;;
;;2017-02-12;2.00;2018-11;7.00;;
;;2017-05-21;5.00;2019-02;1.00;;
;;2017-11-26;1.00;2019-06;0.00;;
;;2018-03-04;9.00;2020-02;0.00;;
;;2018-06-10;1.00;;;;
;;2018-06-10;1.00;;;;
;;2018-08-23;3.00;;;;
;;2018-11-25;2.00;;;;
;;2018-11-25;3.00;;;;
;;2019-02-10;1.00;;;;
;;2019-05-19;3.00;;;;
;;2019-06-30;1.00;;;;
;;2020-02-09;1.00;;;;
;;2017-02-12;2.00;;;;
;;2017-02-12;0.00;;;;
;;2017-02-12;3.00;;;;
;;2017-09-24;3.00;;;;
;;2018-08-23;0.00;;;;
;;2018-08-23;1.00;;;;
;;2018-11-25;1.00;;;;
;;2019-02-10;1.00;;;;
;;2019-06-30;0.00;;;;
;;2019-11-17;1.00;;;;
;;2020-02-09;2.00;;;;
;;2017-02-12;0.00;;;;
;;2018-03-04;8.00;;;;
;;2018-06-10;0.00;;;;
;;2018-11-25;3.00;;;;
;;2018-11-25;6.00;;;;
;;2018-11-25;7.00;;;;
;;2019-11-17;1.00;;;;
;;2019-11-17;1.00;;;;
;;2017-02-12;0.00;;;;
;;2017-09-24;2.00;;;;
;;2018-08-23;0.00;;;;
;;2019-06-30;0.00;;;;
;;2020-02-09;0.00;;;;
