h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
;;2021-01-26;893177.15;2021-01;210532.00;2021;159750.00
;;2021-03-02;228391.80;2021-03;174560.00;2022;108937.15
;;2021-03-23;318053.55;2021-04;98766.00;;
;;2021-03-23;564590.00;2021-05;113049.65;;
;;2021-04-21;134633.25;2021-06;253260.25;;
;;2021-04-14;105169.90;2021-08;259170.30;;
;;2021-04-13;97623.00;2021-09;230700.00;;
;;2021-04-27;315216.30;2021-11;338635.50;;
;;2021-05-03;130635.95;2021-12;382100.00;;
;;2021-05-03;215868.05;2022-01;232890.90;;
;;2021-05-03;173900.00;2022-03;141000.00;;
;;2021-05-04;849841.80;2022-04;205345.00;;
;;2021-05-05;116483.10;2022-05;444230.75;;
;;2021-06-15;164983.40;2022-06;482050.50;;
;;2021-06-22;223000.00;2022-07;360702.60;;
;;2021-06-28;129643.50;2022-09;279676.00;;
;;2021-06-29;947133.50;2021-02;133570.00;;
;;2021-08-17;347742.35;2022-02;111308.15;;
;;2021-08-17;246937.50;2021-07;360219.05;;
;;2021-08-17;367680.85;2021-10;159750.00;;
;;2021-09-28;230700.00;2022-08;108937.15;;
;;2021-11-09;319508.45;;;;
;;2021-11-09;182243.70;;;;
;;2021-11-23;1088858.45;;;;
;;2021-11-23;371322.90;;;;
;;2021-12-03;130000.00;;;;
;;2021-12-03;125052.45;;;;
;;2022-01-10;117195.00;;;;
;;2022-01-21;680000.00;;;;
;;2022-01-25;227000.00;;;;
;;2022-03-08;238000.00;;;;
;;2022-03-15;113789.50;;;;
;;2022-03-22;189782.15;;;;
;;2022-03-29;178187.65;;;;
;;2022-03-22;884924.00;;;;
;;2022-04-07;124855.00;;;;
;;2021-08-24;139162.60;;;;
;;2022-05-03;151115.35;;;;
;;2022-05-18;109766.05;;;;
;;2022-05-17;5164472.90;;;;
;;2022-05-17;235000.00;;;;
;;2022-06-21;622929.35;;;;
;;2022-06-21;764470.25;;;;
;;2022-06-21;95755.50;;;;
;;2022-07-05;380041.00;;;;
;;2022-09-06;209570.95;;;;
;;2022-09-27;571910.40;;;;
;;2021-01-21;146100.15;;;;
;;2021-01-26;508854.90;;;;
;;2021-01-27;106900.00;;;;
;;2021-02-23;207500.00;;;;
;;2021-03-23;1581996.00;;;;
;;2021-03-31;112910.15;;;;
;;2021-04-27;223600.00;;;;
;;2021-04-29;116349.30;;;;
;;2021-05-05;176699.30;;;;
;;2021-06-15;486903.80;;;;
;;2021-06-15;183614.10;;;;
;;2021-06-29;174340.00;;;;
;;2021-06-29;181889.60;;;;
;;2021-08-17;147733.20;;;;
;;2021-08-23;140400.00;;;;
;;2021-11-02;844619.80;;;;
;;2022-01-11;167152.50;;;;
;;2022-01-18;170782.70;;;;
;;2022-02-04;156387.40;;;;
;;2022-02-08;250305.90;;;;
;;2022-02-08;276960.00;;;;
;;2022-02-17;638774.75;;;;
;;2022-03-11;117847.30;;;;
;;2022-03-29;373711.30;;;;
;;2022-04-27;131176.00;;;;
;;2022-04-27;229538.70;;;;
;;2022-04-27;128480.00;;;;
;;2022-04-28;126882.85;;;;
;;2022-04-29;296859.95;;;;
;;2022-05-03;211845.75;;;;
;;2022-05-03;331445.05;;;;
;;2022-05-13;134248.80;;;;
;;2022-05-31;1320718.50;;;;
;;2022-06-21;289296.15;;;;
;;2022-07-05;275456.00;;;;
;;2022-07-05;3992005.70;;;;
;;2022-09-27;181594.50;;;;
;;2021-01-25;220153.00;;;;
;;2021-02-15;111287.35;;;;
;;2021-02-18;178753.45;;;;
;;2021-03-17;208884.07;;;;
;;2021-03-16;110893.95;;;;
;;2021-04-07;162475.08;;;;
;;2021-04-28;135058.35;;;;
;;2021-05-05;134918.50;;;;
;;2021-05-07;156333.95;;;;
;;2021-05-20;195100.00;;;;
;;2021-05-26;413029.20;;;;
;;2021-06-14;112453.25;;;;
;;2021-06-14;241623.05;;;;
;;2021-06-22;156506.80;;;;
;;2021-07-08;157476.00;;;;
;;2021-08-17;464078.60;;;;
;;2021-08-17;191026.00;;;;
;;2021-08-17;95000.00;;;;
;;2021-08-31;188438.00;;;;
;;2021-10-25;118459.10;;;;
;;2021-11-16;631383.00;;;;
;;2021-11-23;310187.75;;;;
;;2021-12-06;143047.40;;;;
;;2021-12-22;122225.15;;;;
;;2022-01-11;1155925.75;;;;
;;2022-01-31;102129.05;;;;
;;2022-02-08;179006.00;;;;
;;2022-03-29;1558502.50;;;;
;;2022-04-05;189907.25;;;;
;;2022-05-25;107739.95;;;;
;;2022-06-03;129311.80;;;;
;;2022-06-21;129026.75;;;;
;;2022-06-21;2982872.65;;;;
;;2022-06-21;188837.10;;;;
;;2022-06-21;2797699.20;;;;
;;2022-08-09;229400.00;;;;
;;2022-08-15;108937.15;;;;
;;2022-09-07;137968.00;;;;
;;2021-02-18;188444.40;;;;
;;2021-02-24;133570.00;;;;
;;2021-03-04;139985.15;;;;
;;2021-04-13;98766.00;;;;
;;2021-05-03;198949.10;;;;
;;2021-05-05;187912.50;;;;
;;2021-05-07;256604.65;;;;
;;2021-03-24;592836.00;;;;
;;2021-05-27;144835.50;;;;
;;2021-06-01;285000.00;;;;
;;2021-06-11;148253.90;;;;
;;2021-06-15;295405.45;;;;
;;2021-06-15;807708.30;;;;
;;2021-06-15;284700.00;;;;
;;2021-06-29;406294.65;;;;
;;2021-06-29;2469602.35;;;;
;;2021-07-01;136541.45;;;;
;;2021-08-17;447360.20;;;;
;;2021-08-17;406500.85;;;;
;;2021-08-23;132000.00;;;;
;;2021-08-17;148038.55;;;;
;;2021-11-23;346997.30;;;;
;;2022-02-28;291725.60;;;;
;;2022-03-25;146154.05;;;;
;;2022-03-29;692852.05;;;;
;;2022-04-28;205345.00;;;;
;;2022-05-17;647439.00;;;;
;;2022-05-17;356765.00;;;;
;;2022-06-21;576304.65;;;;
;;2022-06-21;139746.85;;;;
;;2022-06-28;264811.05;;;;
;;2022-09-06;279676.00;;;;
;;2021-01-25;210532.00;;;;
;;2021-03-02;257640.99;;;;
;;2021-03-09;1836600.50;;;;
;;2021-03-17;263097.95;;;;
;;2021-03-30;174560.00;;;;
;;2021-05-19;113049.65;;;;
;;2021-06-04;130454.85;;;;
;;2021-06-14;109827.00;;;;
;;2021-06-15;253260.25;;;;
;;2021-07-07;152668.85;;;;
;;2021-07-06;253106.85;;;;
;;2021-07-06;360219.05;;;;
;;2021-08-17;401944.00;;;;
;;2021-08-17;259170.30;;;;
;;2021-10-28;200000.00;;;;
;;2021-10-28;159750.00;;;;
;;2021-11-23;338635.50;;;;
;;2021-12-07;382100.00;;;;
;;2022-01-18;569969.85;;;;
;;2022-01-18;1169629.60;;;;
;;2022-01-18;232890.90;;;;
;;2022-02-04;212341.10;;;;
;;2022-02-21;111308.15;;;;
;;2022-03-24;101146.50;;;;
;;2022-03-29;141000.00;;;;
;;2022-05-03;241293.80;;;;
;;2022-05-17;444230.75;;;;
;;2022-06-21;215875.75;;;;
;;2022-06-21;482050.50;;;;
;;2022-07-05;1267794.00;;;;
;;2022-07-05;360702.60;;;;
