h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
;;2019-05-19;33.66;2019-05;36.00;2019;0
;;2019-11-17;15.99;2019-11;21.38;2011;0
;;2019-11-17;18.21;2011-02;0;2014;21.98
;;2019-11-17;0;2011-05;0;2018;0
;;2011-02-13;17.57;2011-10;0;2016;0
;;2011-05-15;0;2011-11;0;2015;0
;;2011-10-23;0;2014-02;57.65;2012;40.21
;;2011-11-27;36.58;2014-05;81.66;2003;0
;;2014-02-09;44.05;2014-11;0;2008;0
;;2014-05-18;14.94;2018-06;0;2007;0
;;2014-11-30;55.53;2018-09;0;2006;0
;;2014-11-30;0;2018-11;25.22;2010;0
;;2014-11-30;0;2016-02;0;2005;48.34
;;2018-06-10;31.02;2016-04;0;2017;47.78
;;2018-09-23;33.35;2016-06;81.42;2020;0
;;2018-09-23;0;2015-06;0;2013;54.06
;;2018-11-25;18.05;2015-11;0;2009;44.38
;;2016-02-28;0;2012-03;0;2004;0
;;2016-02-28;0;2012-04;0;2021;0
;;2016-02-28;0;2012-09;0;2022;40.48
;;2016-04-24;0;2003-02;0;2002;39.13
;;2016-06-05;65.27;2003-05;63.69;;
;;2015-06-14;72.01;2008-02;46.93;;
;;2015-06-14;72.37;2008-03;0;;
;;2015-11-15;0;2008-11;0;;
;;2012-03-11;0;2007-06;0;;
;;2012-03-11;0;2007-09;17.76;;
;;2012-04-29;0;2007-10;0;;
;;2012-09-23;32.66;2006-05;40.17;;
;;2003-02-09;0;2006-09;24.20;;
;;2003-02-09;0;2006-11;0;;
;;2003-02-09;0;2010-03;21.90;;
;;2003-02-09;0;2010-09;0;;
;;2003-02-09;0;2005-06;53.06;;
;;2003-05-18;22.40;2005-09;47.78;;
;;2003-05-18;70.17;2017-02;50.17;;
;;2008-02-24;0;2020-03;0;;
;;2008-03-16;0;2020-11;0;;
;;2008-03-16;0;2013-06;29.63;;
;;2008-03-16;0;2009-09;27.72;;
;;2008-11-30;42.51;2004-02;58.22;;
;;2008-11-30;0;2004-05;59.79;;
;;2008-11-30;0;2004-09;58.54;;
