h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
;;2020-08-22;7413.00;2020-08;5347.00;2020;5090.00
;;2020-08-23;1567.00;2020-09;6125.00;2021;6004.00
;;2020-08-24;5126.00;2020-10;7455.00;2022;1240.00
;;2020-08-25;5780.00;2020-11;4960.00;;
;;2020-08-26;6137.00;2020-12;5090.00;;
;;2020-08-27;6622.00;2021-01;1092.00;;
;;2020-08-28;5099.00;2021-02;1135.00;;
;;2020-08-29;3185.00;2021-03;6287.00;;
;;2020-08-30;405.00;2021-04;4958.00;;
;;2020-08-31;5347.00;2021-05;4839.00;;
;;2020-09-01;4538.00;2021-06;6045.00;;
;;2020-09-02;6565.00;2021-07;5879.00;;
;;2020-09-03;6922.00;2021-08;4960.00;;
;;2020-09-04;6303.00;2021-09;6151.00;;
;;2020-09-05;8477.00;2021-10;1978.00;;
;;2020-09-06;1050.00;2021-11;4523.00;;
;;2020-09-07;5402.00;2021-12;6004.00;;
;;2020-09-08;5632.00;2022-01;3275.00;;
;;2020-09-09;6108.00;2022-02;4277.00;;
;;2020-09-10;6474.00;2022-03;3927.00;;
;;2020-09-11;6181.00;2022-04;6929.00;;
;;2020-09-12;8102.00;2022-05;4832.00;;
;;2020-09-13;1590.00;2022-06;6547.00;;
;;2020-09-14;4864.00;2022-07;1240.00;;
;;2020-09-15;5092.00;;;;
;;2020-09-16;5532.00;;;;
;;2020-09-17;6125.00;;;;
;;2020-09-18;5826.00;;;;
;;2020-09-19;8575.00;;;;
;;2020-09-20;1716.00;;;;
;;2020-09-21;4799.00;;;;
;;2020-09-22;5025.00;;;;
;;2020-09-23;5455.00;;;;
;;2020-09-24;6034.00;;;;
;;2020-09-25;3701.00;;;;
;;2020-09-26;6134.00;;;;
;;2020-09-27;1493.00;;;;
;;2020-09-28;5909.00;;;;
;;2020-09-29;5590.00;;;;
;;2020-09-30;6125.00;;;;
;;2020-10-01;6609.00;;;;
;;2020-10-02;6132.00;;;;
;;2020-10-03;6201.00;;;;
;;2020-10-04;1531.00;;;;
;;2020-10-05;5629.00;;;;
;;2020-10-06;5454.00;;;;
;;2020-10-07;5440.00;;;;
;;2020-10-08;6907.00;;;;
;;2020-10-09;6358.00;;;;
;;2020-10-10;3846.00;;;;
;;2020-10-11;1541.00;;;;
;;2020-10-12;5055.00;;;;
;;2020-10-13;5900.00;;;;
;;2020-10-14;5568.00;;;;
;;2020-10-15;5773.00;;;;
;;2020-10-16;4677.00;;;;
;;2020-10-17;7680.00;;;;
;;2020-10-18;1537.00;;;;
;;2020-10-19;4526.00;;;;
;;2020-10-20;4853.00;;;;
;;2020-10-21;5017.00;;;;
;;2020-10-22;5497.00;;;;
;;2020-10-23;4610.00;;;;
;;2020-10-24;7759.00;;;;
;;2020-10-25;1470.00;;;;
;;2020-10-26;1322.00;;;;
;;2020-10-27;4634.00;;;;
;;2020-10-28;4817.00;;;;
;;2020-10-29;3367.00;;;;
;;2020-10-30;5497.00;;;;
;;2020-10-31;7455.00;;;;
;;2020-11-01;1261.00;;;;
;;2020-11-02;4464.00;;;;
;;2020-11-03;3728.00;;;;
;;2020-11-04;4334.00;;;;
;;2020-11-05;5392.00;;;;
;;2020-11-06;5289.00;;;;
;;2020-11-07;8300.00;;;;
;;2020-11-08;1441.00;;;;
;;2020-11-09;4503.00;;;;
;;2020-11-10;4688.00;;;;
;;2020-11-11;5074.00;;;;
;;2020-11-12;5811.00;;;;
;;2020-11-13;5840.00;;;;
;;2020-11-14;8930.00;;;;
;;2020-11-15;1569.00;;;;
;;2020-11-16;4303.00;;;;
;;2020-11-17;4675.00;;;;
;;2020-11-18;5431.00;;;;
;;2020-11-19;3964.00;;;;
;;2020-11-20;5207.00;;;;
;;2020-11-21;8988.00;;;;
;;2020-11-22;1439.00;;;;
;;2020-11-23;4738.00;;;;
;;2020-11-24;4952.00;;;;
;;2020-11-25;5722.00;;;;
;;2020-11-26;6699.00;;;;
;;2020-11-27;9119.00;;;;
;;2020-11-28;9984.00;;;;
;;2020-11-29;1472.00;;;;
;;2020-11-30;4960.00;;;;
;;2020-12-01;4088.00;;;;
;;2020-12-02;5519.00;;;;
;;2020-12-03;6200.00;;;;
;;2020-12-04;6422.00;;;;
;;2020-12-05;9131.00;;;;
;;2020-12-06;736.00;;;;
;;2020-12-07;5166.00;;;;
;;2020-12-08;5681.00;;;;
;;2020-12-09;4297.00;;;;
;;2020-12-10;6294.00;;;;
;;2020-12-11;6345.00;;;;
;;2020-12-12;9238.00;;;;
;;2020-12-13;1321.00;;;;
;;2020-12-14;5612.00;;;;
;;2020-12-15;6003.00;;;;
;;2020-12-16;7270.00;;;;
;;2020-12-17;7174.00;;;;
;;2020-12-18;7972.00;;;;
;;2020-12-19;10026.00;;;;
;;2020-12-20;1342.00;;;;
;;2020-12-21;9151.00;;;;
;;2020-12-22;8167.00;;;;
;;2020-12-23;8678.00;;;;
;;2020-12-24;5062.00;;;;
;;2020-12-25;608.00;;;;
;;2020-12-26;856.00;;;;
;;2020-12-27;864.00;;;;
;;2020-12-28;7105.00;;;;
;;2020-12-29;7520.00;;;;
;;2020-12-30;6773.00;;;;
;;2020-12-31;5090.00;;;;
;;2021-01-01;794.00;;;;
;;2021-01-02;6976.00;;;;
;;2021-01-03;842.00;;;;
;;2021-01-04;4096.00;;;;
;;2021-01-05;4035.00;;;;
;;2021-01-06;4033.00;;;;
;;2021-01-07;4269.00;;;;
;;2021-01-08;4604.00;;;;
;;2021-01-09;6801.00;;;;
;;2021-01-10;686.00;;;;
;;2021-01-11;3555.00;;;;
;;2021-01-12;3067.00;;;;
;;2021-01-13;4319.00;;;;
;;2021-01-14;3379.00;;;;
;;2021-01-15;5171.00;;;;
;;2021-01-16;8105.00;;;;
;;2021-01-17;690.00;;;;
;;2021-01-18;2081.00;;;;
;;2021-01-19;2119.00;;;;
;;2021-01-20;2559.00;;;;
;;2021-01-21;2498.00;;;;
;;2021-01-22;2703.00;;;;
;;2021-01-23;2861.00;;;;
;;2021-01-24;978.00;;;;
;;2021-01-25;1933.00;;;;
;;2021-01-26;2253.00;;;;
;;2021-01-27;1962.00;;;;
;;2021-01-28;1557.00;;;;
;;2021-01-29;2077.00;;;;
;;2021-01-30;1845.00;;;;
