h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
;;2020-08-22;307.00;2020-08;165.00;2020;179.00
;;2020-08-23;41.00;2020-09;236.00;2021;282.00
;;2020-08-24;173.00;2020-10;287.00;2022;28.00
;;2020-08-25;203.00;2020-11;135.00;;
;;2020-08-26;201.00;2020-12;179.00;;
;;2020-08-27;202.00;2021-01;31.00;;
;;2020-08-28;171.00;2021-02;32.00;;
;;2020-08-29;123.00;2021-03;293.00;;
;;2020-08-30;22.00;2021-04;203.00;;
;;2020-08-31;165.00;2021-05;174.00;;
;;2020-09-01;137.00;2021-06;248.00;;
;;2020-09-02;242.00;2021-07;206.00;;
;;2020-09-03;279.00;2021-08;175.00;;
;;2020-09-04;246.00;2021-09;193.00;;
;;2020-09-05;342.00;2021-10;89.00;;
;;2020-09-06;33.00;2021-11;152.00;;
;;2020-09-07;179.00;2021-12;282.00;;
;;2020-09-08;200.00;2022-01;123.00;;
;;2020-09-09;213.00;2022-02;175.00;;
;;2020-09-10;194.00;2022-03;104.00;;
;;2020-09-11;212.00;2022-04;288.00;;
;;2020-09-12;343.00;2022-05;202.00;;
;;2020-09-13;42.00;2022-06;190.00;;
;;2020-09-14;137.00;2022-07;28.00;;
;;2020-09-15;155.00;;;;
;;2020-09-16;162.00;;;;
;;2020-09-17;187.00;;;;
;;2020-09-18;188.00;;;;
;;2020-09-19;315.00;;;;
;;2020-09-20;59.00;;;;
;;2020-09-21;173.00;;;;
;;2020-09-22;150.00;;;;
;;2020-09-23;185.00;;;;
;;2020-09-24;169.00;;;;
;;2020-09-25;127.00;;;;
;;2020-09-26;224.00;;;;
;;2020-09-27;40.00;;;;
;;2020-09-28;257.00;;;;
;;2020-09-29;223.00;;;;
;;2020-09-30;236.00;;;;
;;2020-10-01;240.00;;;;
;;2020-10-02;219.00;;;;
;;2020-10-03;156.00;;;;
;;2020-10-04;39.00;;;;
;;2020-10-05;255.00;;;;
;;2020-10-06;215.00;;;;
;;2020-10-07;202.00;;;;
;;2020-10-08;262.00;;;;
;;2020-10-09;274.00;;;;
;;2020-10-10;142.00;;;;
;;2020-10-11;36.00;;;;
;;2020-10-12;245.00;;;;
;;2020-10-13;253.00;;;;
;;2020-10-14;262.00;;;;
;;2020-10-15;227.00;;;;
;;2020-10-16;194.00;;;;
;;2020-10-17;307.00;;;;
;;2020-10-18;57.00;;;;
;;2020-10-19;140.00;;;;
;;2020-10-20;181.00;;;;
;;2020-10-21;175.00;;;;
;;2020-10-22;167.00;;;;
;;2020-10-23;159.00;;;;
;;2020-10-24;298.00;;;;
;;2020-10-25;57.00;;;;
;;2020-10-26;37.00;;;;
;;2020-10-27;168.00;;;;
;;2020-10-28;213.00;;;;
;;2020-10-29;112.00;;;;
;;2020-10-30;218.00;;;;
;;2020-10-31;287.00;;;;
;;2020-11-01;35.00;;;;
;;2020-11-02;161.00;;;;
;;2020-11-03;110.00;;;;
;;2020-11-04;164.00;;;;
;;2020-11-05;197.00;;;;
;;2020-11-06;206.00;;;;
;;2020-11-07;330.00;;;;
;;2020-11-08;54.00;;;;
;;2020-11-09;157.00;;;;
;;2020-11-10;131.00;;;;
;;2020-11-11;206.00;;;;
;;2020-11-12;185.00;;;;
;;2020-11-13;183.00;;;;
;;2020-11-14;371.00;;;;
;;2020-11-15;59.00;;;;
;;2020-11-16;162.00;;;;
;;2020-11-17;149.00;;;;
;;2020-11-18;204.00;;;;
;;2020-11-19;120.00;;;;
;;2020-11-20;174.00;;;;
;;2020-11-21;311.00;;;;
;;2020-11-22;66.00;;;;
;;2020-11-23;198.00;;;;
;;2020-11-24;199.00;;;;
;;2020-11-25;221.00;;;;
;;2020-11-26;195.00;;;;
;;2020-11-27;316.00;;;;
;;2020-11-28;361.00;;;;
;;2020-11-29;71.00;;;;
;;2020-11-30;135.00;;;;
;;2020-12-01;155.00;;;;
;;2020-12-02;232.00;;;;
;;2020-12-03;205.00;;;;
;;2020-12-04;236.00;;;;
;;2020-12-05;333.00;;;;
;;2020-12-06;32.00;;;;
;;2020-12-07;190.00;;;;
;;2020-12-08;190.00;;;;
;;2020-12-09;152.00;;;;
;;2020-12-10;198.00;;;;
;;2020-12-11;233.00;;;;
;;2020-12-12;308.00;;;;
;;2020-12-13;59.00;;;;
;;2020-12-14;193.00;;;;
;;2020-12-15;168.00;;;;
;;2020-12-16;274.00;;;;
;;2020-12-17;255.00;;;;
;;2020-12-18;300.00;;;;
;;2020-12-19;371.00;;;;
;;2020-12-20;55.00;;;;
;;2020-12-21;355.00;;;;
;;2020-12-22;267.00;;;;
;;2020-12-23;299.00;;;;
;;2020-12-24;194.00;;;;
;;2020-12-25;23.00;;;;
;;2020-12-26;20.00;;;;
;;2020-12-27;19.00;;;;
;;2020-12-28;263.00;;;;
;;2020-12-29;315.00;;;;
;;2020-12-30;269.00;;;;
;;2020-12-31;179.00;;;;
;;2021-01-01;17.00;;;;
;;2021-01-02;265.00;;;;
;;2021-01-03;18.00;;;;
;;2021-01-04;150.00;;;;
;;2021-01-05;122.00;;;;
;;2021-01-06;122.00;;;;
;;2021-01-07;128.00;;;;
;;2021-01-08;174.00;;;;
;;2021-01-09;263.00;;;;
;;2021-01-10;8.00;;;;
;;2021-01-11;138.00;;;;
;;2021-01-12;88.00;;;;
;;2021-01-13;167.00;;;;
;;2021-01-14;72.00;;;;
;;2021-01-15;122.00;;;;
;;2021-01-16;268.00;;;;
;;2021-01-17;17.00;;;;
;;2021-01-18;56.00;;;;
;;2021-01-19;52.00;;;;
;;2021-01-20;72.00;;;;
;;2021-01-21;57.00;;;;
;;2021-01-22;79.00;;;;
;;2021-01-23;94.00;;;;
;;2021-01-24;34.00;;;;
;;2021-01-25;37.00;;;;
;;2021-01-26;73.00;;;;
;;2021-01-27;46.00;;;;
;;2021-01-28;48.00;;;;
;;2021-01-29;60.00;;;;
;;2021-01-30;59.00;;;;
;;2021-01-31;31.00;;;;
;;2021-02-01;61.00;;;;
;;2021-02-02;116.00;;;;
;;2021-02-03;35.00;;;;
;;2021-02-04;112.00;;;;
;;2021-02-05;106.00;;;;
;;2021-02-06;98.00;;;;
;;2021-02-07;12.00;;;;
;;2021-02-08;65.00;;;;
;;2021-02-09;42.00;;;;
;;2021-02-10;46.00;;;;
;;2021-02-11;45.00;;;;
;;2021-02-12;66.00;;;;
;;2021-02-13;83.00;;;;
;;2021-02-14;15.00;;;;
;;2021-02-15;52.00;;;;
;;2021-02-16;79.00;;;;
;;2021-02-17;92.00;;;;
;;2021-02-18;84.00;;;;
;;2021-02-19;103.00;;;;
;;2021-02-20;111.00;;;;
;;2021-02-21;41.00;;;;
;;2021-02-22;83.00;;;;
;;2021-02-23;66.00;;;;
;;2021-02-24;102.00;;;;
;;2021-02-25;91.00;;;;
;;2021-02-26;113.00;;;;
;;2021-02-27;85.00;;;;
;;2021-02-28;32.00;;;;
;;2021-03-01;263.00;;;;
;;2021-03-02;212.00;;;;
;;2021-03-03;293.00;;;;
;;2021-03-04;227.00;;;;
;;2021-03-05;149.00;;;;
;;2021-03-06;350.00;;;;
;;2021-03-07;41.00;;;;
;;2021-03-08;191.00;;;;
;;2021-03-09;162.00;;;;
;;2021-03-10;223.00;;;;
;;2021-03-11;162.00;;;;
;;2021-03-12;187.00;;;;
;;2021-03-13;318.00;;;;
;;2021-03-14;17.00;;;;
;;2021-03-15;87.00;;;;
;;2021-03-16;117.00;;;;
;;2021-03-17;173.00;;;;
;;2021-03-18;168.00;;;;
;;2021-03-19;178.00;;;;
;;2021-03-20;263.00;;;;
;;2021-03-21;26.00;;;;
;;2021-03-22;107.00;;;;
;;2021-03-23;156.00;;;;
;;2021-03-24;177.00;;;;
;;2021-03-25;148.00;;;;
;;2021-03-26;210.00;;;;
;;2021-03-27;270.00;;;;
;;2021-03-28;33.00;;;;
;;2021-03-29;198.00;;;;
;;2021-03-30;205.00;;;;
;;2021-03-31;293.00;;;;
;;2021-04-01;208.00;;;;
;;2021-04-02;43.00;;;;
;;2021-04-03;318.00;;;;
;;2021-04-04;36.00;;;;
;;2021-04-05;31.00;;;;
;;2021-04-06;166.00;;;;
;;2021-04-07;183.00;;;;
;;2021-04-08;208.00;;;;
;;2021-04-09;212.00;;;;
;;2021-04-10;305.00;;;;
;;2021-04-11;43.00;;;;
;;2021-04-12;126.00;;;;
;;2021-04-13;232.00;;;;
;;2021-04-14;202.00;;;;
;;2021-04-15;241.00;;;;
;;2021-04-16;203.00;;;;
;;2021-04-17;252.00;;;;
;;2021-04-18;38.00;;;;
;;2021-04-19;247.00;;;;
;;2021-04-20;244.00;;;;
;;2021-04-21;234.00;;;;
;;2021-04-22;239.00;;;;
;;2021-04-23;265.00;;;;
;;2021-04-24;287.00;;;;
;;2021-04-25;33.00;;;;
;;2021-04-26;206.00;;;;
;;2021-04-27;164.00;;;;
;;2021-04-28;209.00;;;;
;;2021-04-29;155.00;;;;
;;2021-04-30;203.00;;;;
;;2021-05-01;264.00;;;;
;;2021-05-02;14.00;;;;
;;2021-05-03;105.00;;;;
;;2021-05-04;171.00;;;;
;;2021-05-05;128.00;;;;
;;2021-05-06;121.00;;;;
;;2021-05-07;116.00;;;;
;;2021-05-08;231.00;;;;
;;2021-05-09;35.00;;;;
;;2021-05-10;207.00;;;;
;;2021-05-11;106.00;;;;
;;2021-05-12;167.00;;;;
;;2021-05-13;24.00;;;;
;;2021-05-14;311.00;;;;
;;2021-05-15;275.00;;;;
