h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
;;2020-08-22;9132.00;2020-08;6245.00;2020;5584.00
;;2020-08-23;2822.00;2020-09;7060.00;2021;7385.00
;;2020-08-24;6205.00;2020-10;8589.00;2022;1655.00
;;2020-08-25;6779.00;2020-11;5421.00;;
;;2020-08-26;6907.00;2020-12;5584.00;;
;;2020-08-27;7583.00;2021-01;1122.00;;
;;2020-08-28;5810.00;2021-02;1470.00;;
;;2020-08-29;3505.00;2021-03;6916.00;;
;;2020-08-30;565.00;2021-04;5352.00;;
;;2020-08-31;6245.00;2021-05;5672.00;;
;;2020-09-01;5015.00;2021-06;6947.00;;
;;2020-09-02;7328.00;2021-07;7272.00;;
;;2020-09-03;7743.00;2021-08;5711.00;;
;;2020-09-04;7593.00;2021-09;7030.00;;
;;2020-09-05;9768.00;2021-10;2892.00;;
;;2020-09-06;1424.00;2021-11;5031.00;;
;;2020-09-07;6351.00;2021-12;7385.00;;
;;2020-09-08;6481.00;2022-01;3607.00;;
;;2020-09-09;6953.00;2022-02;5030.00;;
;;2020-09-10;7443.00;2022-03;4340.00;;
;;2020-09-11;7343.00;2022-04;8415.00;;
;;2020-09-12;9789.00;2022-05;5067.00;;
;;2020-09-13;1974.00;2022-06;7325.00;;
;;2020-09-14;5639.00;2022-07;1655.00;;
;;2020-09-15;5753.00;;;;
;;2020-09-16;6351.00;;;;
;;2020-09-17;7399.00;;;;
;;2020-09-18;6777.00;;;;
;;2020-09-19;10296.00;;;;
;;2020-09-20;2167.00;;;;
;;2020-09-21;5589.00;;;;
;;2020-09-22;5618.00;;;;
;;2020-09-23;6476.00;;;;
;;2020-09-24;6982.00;;;;
;;2020-09-25;4177.00;;;;
;;2020-09-26;7068.00;;;;
;;2020-09-27;1882.00;;;;
;;2020-09-28;6905.00;;;;
;;2020-09-29;6239.00;;;;
;;2020-09-30;7060.00;;;;
;;2020-10-01;7701.00;;;;
;;2020-10-02;7244.00;;;;
;;2020-10-03;7715.00;;;;
;;2020-10-04;1957.00;;;;
;;2020-10-05;6592.00;;;;
;;2020-10-06;6366.00;;;;
;;2020-10-07;6348.00;;;;
;;2020-10-08;8433.00;;;;
;;2020-10-09;7547.00;;;;
;;2020-10-10;4408.00;;;;
;;2020-10-11;1819.00;;;;
;;2020-10-12;5652.00;;;;
;;2020-10-13;6787.00;;;;
;;2020-10-14;6407.00;;;;
;;2020-10-15;6460.00;;;;
;;2020-10-16;5221.00;;;;
;;2020-10-17;9132.00;;;;
;;2020-10-18;1921.00;;;;
;;2020-10-19;5086.00;;;;
;;2020-10-20;5504.00;;;;
;;2020-10-21;5761.00;;;;
;;2020-10-22;6196.00;;;;
;;2020-10-23;5115.00;;;;
;;2020-10-24;9055.00;;;;
;;2020-10-25;1847.00;;;;
;;2020-10-26;1383.00;;;;
;;2020-10-27;5239.00;;;;
;;2020-10-28;5268.00;;;;
;;2020-10-29;3564.00;;;;
;;2020-10-30;5959.00;;;;
;;2020-10-31;8589.00;;;;
;;2020-11-01;1568.00;;;;
;;2020-11-02;5081.00;;;;
;;2020-11-03;3996.00;;;;
;;2020-11-04;4380.00;;;;
;;2020-11-05;5868.00;;;;
;;2020-11-06;5779.00;;;;
;;2020-11-07;9414.00;;;;
;;2020-11-08;1854.00;;;;
;;2020-11-09;5104.00;;;;
;;2020-11-10;5029.00;;;;
;;2020-11-11;5713.00;;;;
;;2020-11-12;6348.00;;;;
;;2020-11-13;6416.00;;;;
;;2020-11-14;10279.00;;;;
;;2020-11-15;1901.00;;;;
;;2020-11-16;4793.00;;;;
;;2020-11-17;5062.00;;;;
;;2020-11-18;6042.00;;;;
;;2020-11-19;4269.00;;;;
;;2020-11-20;5525.00;;;;
;;2020-11-21;10455.00;;;;
;;2020-11-22;1778.00;;;;
;;2020-11-23;5195.00;;;;
;;2020-11-24;5460.00;;;;
;;2020-11-25;6580.00;;;;
;;2020-11-26;7407.00;;;;
;;2020-11-27;9801.00;;;;
;;2020-11-28;11211.00;;;;
;;2020-11-29;1741.00;;;;
