h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
;;2020-08-22;625.00;2020-08;370.00;2020;400.00
;;2020-08-23;109.00;2020-09;497.00;2021;592.00
;;2020-08-24;390.00;2020-10;673.00;2022;79.00
;;2020-08-25;428.00;2020-11;297.00;;
;;2020-08-26;385.00;2020-12;400.00;;
;;2020-08-27;440.00;2021-01;64.00;;
;;2020-08-28;340.00;2021-02;81.00;;
;;2020-08-29;284.00;2021-03;573.00;;
;;2020-08-30;29.00;2021-04;390.00;;
;;2020-08-31;370.00;2021-05;408.00;;
;;2020-09-01;293.00;2021-06;532.00;;
;;2020-09-02;508.00;2021-07;448.00;;
;;2020-09-03;567.00;2021-08;384.00;;
;;2020-09-04;523.00;2021-09;458.00;;
;;2020-09-05;665.00;2021-10;180.00;;
;;2020-09-06;71.00;2021-11;303.00;;
;;2020-09-07;396.00;2021-12;592.00;;
;;2020-09-08;448.00;2022-01;261.00;;
;;2020-09-09;437.00;2022-02;357.00;;
;;2020-09-10;392.00;2022-03;230.00;;
;;2020-09-11;456.00;2022-04;603.00;;
;;2020-09-12;699.00;2022-05;401.00;;
;;2020-09-13;89.00;2022-06;428.00;;
;;2020-09-14;302.00;2022-07;79.00;;
;;2020-09-15;337.00;;;;
;;2020-09-16;372.00;;;;
;;2020-09-17;404.00;;;;
;;2020-09-18;375.00;;;;
;;2020-09-19;668.00;;;;
;;2020-09-20;115.00;;;;
;;2020-09-21;364.00;;;;
;;2020-09-22;325.00;;;;
;;2020-09-23;411.00;;;;
;;2020-09-24;350.00;;;;
;;2020-09-25;244.00;;;;
;;2020-09-26;467.00;;;;
;;2020-09-27;106.00;;;;
;;2020-09-28;568.00;;;;
;;2020-09-29;475.00;;;;
;;2020-09-30;497.00;;;;
;;2020-10-01;507.00;;;;
;;2020-10-02;482.00;;;;
;;2020-10-03;404.00;;;;
;;2020-10-04;101.00;;;;
;;2020-10-05;529.00;;;;
;;2020-10-06;484.00;;;;
;;2020-10-07;441.00;;;;
;;2020-10-08;599.00;;;;
;;2020-10-09;581.00;;;;
;;2020-10-10;315.00;;;;
;;2020-10-11;103.00;;;;
;;2020-10-12;512.00;;;;
;;2020-10-13;531.00;;;;
;;2020-10-14;568.00;;;;
;;2020-10-15;461.00;;;;
;;2020-10-16;392.00;;;;
;;2020-10-17;662.00;;;;
;;2020-10-18;114.00;;;;
;;2020-10-19;304.00;;;;
;;2020-10-20;385.00;;;;
;;2020-10-21;396.00;;;;
;;2020-10-22;352.00;;;;
;;2020-10-23;349.00;;;;
;;2020-10-24;670.00;;;;
;;2020-10-25;130.00;;;;
;;2020-10-26;73.00;;;;
;;2020-10-27;358.00;;;;
;;2020-10-28;423.00;;;;
;;2020-10-29;224.00;;;;
;;2020-10-30;435.00;;;;
;;2020-10-31;673.00;;;;
;;2020-11-01;73.00;;;;
;;2020-11-02;368.00;;;;
;;2020-11-03;237.00;;;;
;;2020-11-04;315.00;;;;
;;2020-11-05;387.00;;;;
;;2020-11-06;406.00;;;;
;;2020-11-07;686.00;;;;
;;2020-11-08;124.00;;;;
;;2020-11-09;335.00;;;;
;;2020-11-10;297.00;;;;
;;2020-11-11;467.00;;;;
;;2020-11-12;412.00;;;;
;;2020-11-13;416.00;;;;
;;2020-11-14;757.00;;;;
;;2020-11-15;128.00;;;;
;;2020-11-16;315.00;;;;
;;2020-11-17;298.00;;;;
;;2020-11-18;430.00;;;;
;;2020-11-19;258.00;;;;
;;2020-11-20;356.00;;;;
;;2020-11-21;666.00;;;;
;;2020-11-22;137.00;;;;
;;2020-11-23;401.00;;;;
;;2020-11-24;382.00;;;;
;;2020-11-25;502.00;;;;
;;2020-11-26;412.00;;;;
;;2020-11-27;650.00;;;;
;;2020-11-28;779.00;;;;
;;2020-11-29;152.00;;;;
;;2020-11-30;297.00;;;;
;;2020-12-01;299.00;;;;
;;2020-12-02;493.00;;;;
;;2020-12-03;413.00;;;;
;;2020-12-04;487.00;;;;
;;2020-12-05;733.00;;;;
;;2020-12-06;76.00;;;;
;;2020-12-07;389.00;;;;
;;2020-12-08;403.00;;;;
;;2020-12-09;326.00;;;;
;;2020-12-10;408.00;;;;
;;2020-12-11;456.00;;;;
;;2020-12-12;708.00;;;;
;;2020-12-13;114.00;;;;
;;2020-12-14;376.00;;;;
;;2020-12-15;393.00;;;;
;;2020-12-16;553.00;;;;
;;2020-12-17;530.00;;;;
;;2020-12-18;621.00;;;;
;;2020-12-19;790.00;;;;
;;2020-12-20;150.00;;;;
;;2020-12-21;728.00;;;;
;;2020-12-22;626.00;;;;
;;2020-12-23;632.00;;;;
;;2020-12-24;411.00;;;;
;;2020-12-25;53.00;;;;
;;2020-12-26;64.00;;;;
;;2020-12-27;45.00;;;;
;;2020-12-28;590.00;;;;
;;2020-12-29;673.00;;;;
;;2020-12-30;590.00;;;;
;;2020-12-31;400.00;;;;
;;2021-01-01;52.00;;;;
;;2021-01-02;621.00;;;;
;;2021-01-03;51.00;;;;
;;2021-01-04;314.00;;;;
;;2021-01-05;265.00;;;;
;;2021-01-06;287.00;;;;
;;2021-01-07;275.00;;;;
;;2021-01-08;371.00;;;;
;;2021-01-09;556.00;;;;
;;2021-01-10;23.00;;;;
;;2021-01-11;280.00;;;;
;;2021-01-12;195.00;;;;
;;2021-01-13;324.00;;;;
;;2021-01-14;157.00;;;;
;;2021-01-15;297.00;;;;
;;2021-01-16;560.00;;;;
;;2021-01-17;46.00;;;;
;;2021-01-18;120.00;;;;
;;2021-01-19;132.00;;;;
;;2021-01-20;161.00;;;;
;;2021-01-21;117.00;;;;
;;2021-01-22;173.00;;;;
;;2021-01-23;192.00;;;;
;;2021-01-24;67.00;;;;
;;2021-01-25;80.00;;;;
;;2021-01-26;144.00;;;;
;;2021-01-27;121.00;;;;
;;2021-01-28;92.00;;;;
;;2021-01-29;130.00;;;;
;;2021-01-30;140.00;;;;
;;2021-01-31;64.00;;;;
;;2021-02-01;128.00;;;;
;;2021-02-02;224.00;;;;
;;2021-02-03;83.00;;;;
;;2021-02-04;243.00;;;;
;;2021-02-05;231.00;;;;
;;2021-02-06;231.00;;;;
;;2021-02-07;27.00;;;;
;;2021-02-08;160.00;;;;
;;2021-02-09;93.00;;;;
;;2021-02-10;85.00;;;;
;;2021-02-11;107.00;;;;
;;2021-02-12;122.00;;;;
;;2021-02-13;175.00;;;;
;;2021-02-14;43.00;;;;
;;2021-02-15;128.00;;;;
;;2021-02-16;169.00;;;;
;;2021-02-17;196.00;;;;
;;2021-02-18;161.00;;;;
;;2021-02-19;229.00;;;;
;;2021-02-20;257.00;;;;
;;2021-02-21;80.00;;;;
;;2021-02-22;185.00;;;;
;;2021-02-23;182.00;;;;
;;2021-02-24;235.00;;;;
;;2021-02-25;189.00;;;;
;;2021-02-26;228.00;;;;
;;2021-02-27;190.00;;;;
;;2021-02-28;81.00;;;;
;;2021-03-01;537.00;;;;
;;2021-03-02;466.00;;;;
;;2021-03-03;572.00;;;;
;;2021-03-04;469.00;;;;
;;2021-03-05;270.00;;;;
;;2021-03-06;782.00;;;;
;;2021-03-07;88.00;;;;
;;2021-03-08;410.00;;;;
;;2021-03-09;365.00;;;;
;;2021-03-10;461.00;;;;
;;2021-03-11;346.00;;;;
;;2021-03-12;401.00;;;;
;;2021-03-13;710.00;;;;
;;2021-03-14;31.00;;;;
;;2021-03-15;183.00;;;;
;;2021-03-16;255.00;;;;
;;2021-03-17;360.00;;;;
;;2021-03-18;353.00;;;;
;;2021-03-19;347.00;;;;
;;2021-03-20;575.00;;;;
;;2021-03-21;53.00;;;;
;;2021-03-22;229.00;;;;
;;2021-03-23;335.00;;;;
;;2021-03-24;371.00;;;;
;;2021-03-25;348.00;;;;
;;2021-03-26;444.00;;;;
;;2021-03-27;600.00;;;;
;;2021-03-28;86.00;;;;
;;2021-03-29;394.00;;;;
;;2021-03-30;427.00;;;;
;;2021-03-31;573.00;;;;
;;2021-04-01;432.00;;;;
;;2021-04-02;88.00;;;;
;;2021-04-03;673.00;;;;
;;2021-04-04;95.00;;;;
;;2021-04-05;68.00;;;;
;;2021-04-06;334.00;;;;
;;2021-04-07;393.00;;;;
;;2021-04-08;453.00;;;;
;;2021-04-09;493.00;;;;
;;2021-04-10;650.00;;;;
;;2021-04-11;90.00;;;;
;;2021-04-12;240.00;;;;
;;2021-04-13;490.00;;;;
;;2021-04-14;456.00;;;;
;;2021-04-15;507.00;;;;
;;2021-04-16;465.00;;;;
;;2021-04-17;585.00;;;;
;;2021-04-18;89.00;;;;
;;2021-04-19;523.00;;;;
;;2021-04-20;471.00;;;;
;;2021-04-21;515.00;;;;
;;2021-04-22;480.00;;;;
;;2021-04-23;584.00;;;;
;;2021-04-24;652.00;;;;
;;2021-04-25;88.00;;;;
;;2021-04-26;413.00;;;;
;;2021-04-27;367.00;;;;
;;2021-04-28;405.00;;;;
;;2021-04-29;319.00;;;;
;;2021-04-30;390.00;;;;
;;2021-05-01;580.00;;;;
;;2021-05-02;44.00;;;;
;;2021-05-03;226.00;;;;
;;2021-05-04;368.00;;;;
;;2021-05-05;261.00;;;;
;;2021-05-06;260.00;;;;
;;2021-05-07;289.00;;;;
;;2021-05-08;565.00;;;;
;;2021-05-09;67.00;;;;
;;2021-05-10;413.00;;;;
;;2021-05-11;219.00;;;;
;;2021-05-12;350.00;;;;
;;2021-05-13;65.00;;;;
;;2021-05-14;693.00;;;;
;;2021-05-15;602.00;;;;
;;2021-05-16;47.00;;;;
;;2021-05-17;274.00;;;;
;;2021-05-18;259.00;;;;
;;2021-05-19;371.00;;;;
;;2021-05-20;340.00;;;;
;;2021-05-21;301.00;;;;
;;2021-05-22;705.00;;;;
;;2021-05-23;103.00;;;;
;;2021-05-24;74.00;;;;
;;2021-05-25;336.00;;;;
;;2021-05-26;383.00;;;;
;;2021-05-27;315.00;;;;
;;2021-05-28;443.00;;;;
;;2021-05-29;689.00;;;;
;;2021-05-30;69.00;;;;
;;2021-05-31;408.00;;;;
;;2021-06-01;430.00;;;;
;;2021-06-02;492.00;;;;
;;2021-06-03;485.00;;;;
;;2021-06-04;443.00;;;;
;;2021-06-05;460.00;;;;
;;2021-06-06;55.00;;;;
;;2021-06-07;376.00;;;;
;;2021-06-08;364.00;;;;
;;2021-06-09;520.00;;;;
;;2021-06-10;477.00;;;;
;;2021-06-11;442.00;;;;
;;2021-06-12;564.00;;;;
;;2021-06-13;104.00;;;;
;;2021-06-14;396.00;;;;
;;2021-06-15;354.00;;;;
;;2021-06-16;412.00;;;;
;;2021-06-17;312.00;;;;
;;2021-06-18;348.00;;;;
;;2021-06-19;465.00;;;;
;;2021-06-20;64.00;;;;
;;2021-06-21;396.00;;;;
;;2021-06-22;315.00;;;;
;;2021-06-23;430.00;;;;
;;2021-06-24;396.00;;;;
;;2021-06-25;558.00;;;;
;;2021-06-26;747.00;;;;
;;2021-06-27;83.00;;;;
;;2021-06-28;320.00;;;;
;;2021-06-29;342.00;;;;
;;2021-06-30;532.00;;;;
;;2021-07-01;409.00;;;;
;;2021-07-02;487.00;;;;
;;2021-07-03;692.00;;;;
;;2021-07-04;67.00;;;;
;;2021-07-05;491.00;;;;
;;2021-07-06;413.00;;;;
;;2021-07-07;470.00;;;;
;;2021-07-08;248.00;;;;
;;2021-07-09;606.00;;;;
;;2021-07-10;679.00;;;;
;;2021-07-11;85.00;;;;
;;2021-07-12;458.00;;;;
;;2021-07-13;334.00;;;;
;;2021-07-14;572.00;;;;
;;2021-07-15;357.00;;;;
;;2021-07-16;401.00;;;;
;;2021-07-17;531.00;;;;
;;2021-07-18;92.00;;;;
;;2021-07-19;408.00;;;;
;;2021-07-20;393.00;;;;
;;2021-07-21;343.00;;;;
;;2021-07-22;419.00;;;;
;;2021-07-23;391.00;;;;
;;2021-07-24;400.00;;;;
;;2021-07-25;68.00;;;;
;;2021-07-26;446.00;;;;
;;2021-07-27;397.00;;;;
;;2021-07-28;345.00;;;;
;;2021-07-29;429.00;;;;
;;2021-07-30;355.00;;;;
;;2021-07-31;448.00;;;;
;;2021-08-01;36.00;;;;
;;2021-08-02;479.00;;;;
;;2021-08-03;441.00;;;;
;;2021-08-04;408.00;;;;
;;2021-08-05;423.00;;;;
;;2021-08-06;484.00;;;;
;;2021-08-07;445.00;;;;
;;2021-08-08;105.00;;;;
;;2021-08-09;513.00;;;;
;;2021-08-10;515.00;;;;
;;2021-08-11;458.00;;;;
;;2021-08-12;397.00;;;;
;;2021-08-13;438.00;;;;
;;2021-08-14;481.00;;;;
;;2021-08-15;77.00;;;;
;;2021-08-16;248.00;;;;
;;2021-08-17;400.00;;;;
;;2021-08-18;547.00;;;;
;;2021-08-19;392.00;;;;
;;2021-08-20;431.00;;;;
;;2021-08-21;528.00;;;;
;;2021-08-22;77.00;;;;
;;2021-08-23;357.00;;;;
;;2021-08-24;384.00;;;;
;;2021-08-25;515.00;;;;
;;2021-08-26;431.00;;;;
;;2021-08-27;460.00;;;;
;;2021-08-28;546.00;;;;
;;2021-08-29;48.00;;;;
;;2021-08-30;294.00;;;;
;;2021-08-31;384.00;;;;
;;2021-09-01;495.00;;;;
;;2021-09-02;456.00;;;;
;;2021-09-03;418.00;;;;
;;2021-09-04;647.00;;;;
;;2021-09-05;103.00;;;;
;;2021-09-06;364.00;;;;
;;2021-09-07;358.00;;;;
;;2021-09-08;436.00;;;;
;;2021-09-09;354.00;;;;
;;2021-09-10;453.00;;;;
;;2021-09-11;680.00;;;;
;;2021-09-12;113.00;;;;
;;2021-09-13;356.00;;;;
;;2021-09-14;327.00;;;;
;;2021-09-15;318.00;;;;
;;2021-09-16;328.00;;;;
;;2021-09-17;459.00;;;;
;;2021-09-18;716.00;;;;
;;2021-09-19;60.00;;;;
;;2021-09-20;342.00;;;;
;;2021-09-21;422.00;;;;
;;2021-09-22;516.00;;;;
;;2021-09-23;419.00;;;;
;;2021-09-24;573.00;;;;
;;2021-09-25;815.00;;;;
;;2021-09-26;92.00;;;;
;;2021-09-27;439.00;;;;
;;2021-09-28;427.00;;;;
;;2021-09-29;520.00;;;;
;;2021-09-30;458.00;;;;
;;2021-10-01;529.00;;;;
;;2021-10-02;718.00;;;;
;;2021-10-03;109.00;;;;
;;2021-10-04;351.00;;;;
;;2021-10-05;401.00;;;;
