h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
;;2020-08-22;16852.00;2020-08;11757.00;2020;10853.00
;;2020-08-23;4430.00;2020-09;13421.00;2021;13671.00
;;2020-08-24;11504.00;2020-10;16331.00;2022;2923.00
;;2020-08-25;12762.00;2020-11;10516.00;;
;;2020-08-26;13245.00;2020-12;10853.00;;
;;2020-08-27;14407.00;2021-01;2245.00;;
;;2020-08-28;11080.00;2021-02;2637.00;;
;;2020-08-29;6813.00;2021-03;13496.00;;
;;2020-08-30;992.00;2021-04;10513.00;;
;;2020-08-31;11757.00;2021-05;10685.00;;
;;2020-09-01;9690.00;2021-06;13240.00;;
;;2020-09-02;14135.00;2021-07;13357.00;;
;;2020-09-03;14944.00;2021-08;10846.00;;
;;2020-09-04;14142.00;2021-09;13374.00;;
;;2020-09-05;18587.00;2021-10;4959.00;;
;;2020-09-06;2507.00;2021-11;9706.00;;
;;2020-09-07;11932.00;2021-12;13671.00;;
;;2020-09-08;12313.00;2022-01;7005.00;;
;;2020-09-09;13274.00;2022-02;9482.00;;
;;2020-09-10;14111.00;2022-03;8371.00;;
;;2020-09-11;13736.00;2022-04;15632.00;;
;;2020-09-12;18234.00;2022-05;10101.00;;
;;2020-09-13;3606.00;2022-06;14062.00;;
;;2020-09-14;10640.00;2022-07;2923.00;;
;;2020-09-15;11000.00;;;;
;;2020-09-16;12045.00;;;;
;;2020-09-17;13711.00;;;;
;;2020-09-18;12791.00;;;;
;;2020-09-19;19186.00;;;;
;;2020-09-20;3942.00;;;;
;;2020-09-21;10561.00;;;;
;;2020-09-22;10793.00;;;;
;;2020-09-23;12116.00;;;;
;;2020-09-24;13185.00;;;;
;;2020-09-25;8005.00;;;;
;;2020-09-26;13426.00;;;;
;;2020-09-27;3415.00;;;;
;;2020-09-28;13071.00;;;;
;;2020-09-29;12052.00;;;;
;;2020-09-30;13421.00;;;;
;;2020-10-01;14550.00;;;;
;;2020-10-02;13595.00;;;;
;;2020-10-03;14072.00;;;;
;;2020-10-04;3527.00;;;;
;;2020-10-05;12476.00;;;;
;;2020-10-06;12035.00;;;;
;;2020-10-07;11990.00;;;;
;;2020-10-08;15602.00;;;;
;;2020-10-09;14179.00;;;;
