h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
;;2020-03-14;0;2020-03;0;2020;31.00
;;2020-03-17;0;2020-04;2.00;2021;17.00
;;2020-03-20;0;2020-05;1.00;2022;1.00
;;2020-04-02;12.00;2020-06;1.00;;
;;2020-04-08;10.00;2020-07;5.00;;
;;2020-04-20;4.00;2020-08;3.00;;
;;2020-04-28;2.00;2020-09;2.00;;
;;2020-04-30;2.00;2020-10;12.00;;
;;2020-05-03;2.00;2020-11;30.00;;
;;2020-05-09;1.00;2020-12;31.00;;
;;2020-05-16;1.00;2021-01;24.00;;
;;2020-05-31;1.00;2021-02;9.00;;
;;2020-06-01;1.00;2021-03;7.00;;
;;2020-06-03;1.00;2021-04;12.00;;
;;2020-06-08;2.00;2021-05;7.00;;
;;2020-06-15;1.00;2021-06;0.00;;
;;2020-06-18;1.00;2021-07;2.00;;
;;2020-06-20;1.00;2021-08;20.00;;
;;2020-06-22;1.00;2021-09;15.00;;
;;2020-06-28;2.00;2021-10;5.00;;
;;2020-06-30;2.00;2021-11;19.00;;
;;2020-07-03;2.00;2021-12;17.00;;
;;2020-07-08;1.00;2022-01;7.00;;
;;2020-07-13;1.00;2022-02;6.00;;
;;2020-07-21;3.00;2022-03;8.00;;
;;2020-07-24;2.00;2022-04;0.00;;
;;2020-07-26;2.00;2022-05;0.00;;
;;2020-07-28;3.00;2022-06;3.00;;
;;2020-08-05;5.00;2022-07;3.00;;
;;2020-08-11;5.00;2022-08;0.00;;
;;2020-08-12;5.00;2022-09;0.00;;
;;2020-08-18;5.00;2022-10;1.00;;
;;2020-08-21;5.00;2022-11;1.00;;
;;2020-08-24;3.00;;;;
;;2020-08-29;3.00;;;;
;;2020-09-02;1.00;;;;
;;2020-09-07;1.00;;;;
;;2020-09-09;2.00;;;;
;;2020-09-10;2.00;;;;
;;2020-09-29;2.00;;;;
;;2020-10-02;2.00;;;;
;;2020-10-04;2.00;;;;
;;2020-10-14;6.00;;;;
;;2020-10-16;7.00;;;;
;;2020-10-26;17.00;;;;
;;2020-11-05;26.00;;;;
;;2020-11-08;27.00;;;;
;;2020-11-21;33.00;;;;
;;2020-11-29;30.00;;;;
;;2020-12-14;27.00;;;;
;;2020-12-23;26.00;;;;
;;2020-12-24;25.00;;;;
;;2020-12-25;26.00;;;;
;;2020-12-30;27.00;;;;
;;2020-12-31;28.00;;;;
;;2021-01-04;24.00;;;;
;;2021-01-11;18.00;;;;
;;2021-01-12;18.00;;;;
;;2021-01-22;16.00;;;;
;;2021-02-08;18.00;;;;
;;2021-02-11;14.00;;;;
;;2021-02-15;13.00;;;;
;;2021-02-16;12.00;;;;
;;2021-02-28;11.00;;;;
;;2021-03-09;8.00;;;;
;;2021-03-11;9.00;;;;
;;2021-03-12;8.00;;;;
;;2021-03-18;9.00;;;;
;;2021-03-22;8.00;;;;
;;2021-03-27;11.00;;;;
;;2021-03-28;11.00;;;;
;;2021-04-04;11.00;;;;
;;2021-04-17;12.00;;;;
;;2021-04-24;16.00;;;;
;;2021-04-26;16.00;;;;
;;2021-04-29;14.00;;;;
;;2021-05-03;10.00;;;;
;;2021-05-06;11.00;;;;
;;2021-05-07;13.00;;;;
;;2021-05-08;12.00;;;;
;;2021-05-13;10.00;;;;
;;2021-05-17;8.00;;;;
;;2021-05-21;10.00;;;;
;;2021-05-26;8.00;;;;
;;2021-05-30;7.00;;;;
;;2021-05-31;8.00;;;;
;;2021-06-01;6.00;;;;
;;2021-06-15;3.00;;;;
;;2021-06-16;2.00;;;;
;;2021-06-21;1.00;;;;
;;2021-06-29;1.00;;;;
;;2021-06-30;1.00;;;;
;;2021-07-01;1.00;;;;
;;2021-07-04;1.00;;;;
;;2021-07-06;1.00;;;;
;;2021-07-09;2.00;;;;
;;2021-07-10;2.00;;;;
;;2021-07-13;2.00;;;;
;;2021-07-14;2.00;;;;
;;2021-07-22;2.00;;;;
;;2021-07-24;0.00;;;;
;;2021-07-26;0.00;;;;
;;2021-07-30;1.00;;;;
;;2021-08-03;3.00;;;;
;;2021-08-07;1.00;;;;
;;2021-08-08;1.00;;;;
;;2021-08-11;3.00;;;;
;;2021-08-18;12.00;;;;
;;2021-08-28;20.00;;;;
;;2021-09-19;21.00;;;;
;;2021-09-20;20.00;;;;
;;2021-09-21;19.00;;;;
;;2021-09-28;13.00;;;;
;;2021-10-04;13.00;;;;
;;2021-10-23;4.00;;;;
;;2021-11-04;7.00;;;;
;;2021-11-05;6.00;;;;
;;2021-11-08;7.00;;;;
;;2021-11-13;5.00;;;;
;;2021-11-15;5.00;;;;
;;2021-11-22;6.00;;;;
;;2021-11-23;6.00;;;;
;;2021-11-29;19.00;;;;
;;2021-12-03;21.00;;;;
;;2021-12-04;21.00;;;;
;;2021-12-07;19.00;;;;
;;2021-12-28;18.00;;;;
;;2022-01-04;14.00;;;;
;;2022-01-05;14.00;;;;
;;2022-01-08;13.00;;;;
;;2022-01-09;13.00;;;;
;;2022-01-10;15.00;;;;
;;2022-01-12;16.00;;;;
;;2022-01-16;15.00;;;;
;;2022-01-17;14.00;;;;
;;2022-01-20;12.00;;;;
;;2022-01-23;12.00;;;;
;;2022-01-28;6.00;;;;
;;2022-02-02;8.00;;;;
;;2022-02-06;10.00;;;;
;;2022-02-20;8.00;;;;
;;2022-03-01;5.00;;;;
;;2022-03-10;6.00;;;;
;;2022-03-21;7.00;;;;
;;2022-03-29;5.00;;;;
;;2022-04-05;5.00;;;;
;;2022-04-15;6.00;;;;
;;2022-04-18;5.00;;;;
;;2022-04-21;3.00;;;;
;;2022-04-22;2.00;;;;
;;2022-04-29;1.00;;;;
;;2022-04-30;1.00;;;;
;;2022-05-05;2.00;;;;
;;2022-05-06;2.00;;;;
;;2022-05-13;1.00;;;;
;;2022-05-29;0.00;;;;
;;2022-06-02;0.00;;;;
;;2022-06-08;0.00;;;;
;;2022-06-11;0.00;;;;
;;2022-06-12;0.00;;;;
;;2022-06-13;0.00;;;;
;;2022-06-14;1.00;;;;
;;2022-06-17;3.00;;;;
;;2022-06-20;0.00;;;;
;;2022-06-21;0.00;;;;
;;2022-06-23;0.00;;;;
;;2022-06-24;1.00;;;;
;;2022-06-25;0.00;;;;
;;2022-07-11;0.00;;;;
;;2022-07-12;1.00;;;;
;;2022-07-15;1.00;;;;
;;2022-07-16;1.00;;;;
;;2022-07-17;1.00;;;;
;;2022-07-24;1.00;;;;
;;2022-08-12;0.00;;;;
;;2022-08-22;0.00;;;;
;;2022-08-26;0.00;;;;
;;2022-09-02;0.00;;;;
;;2022-09-11;0.00;;;;
;;2022-09-24;1.00;;;;
;;2022-09-25;1.00;;;;
;;2022-10-08;0.00;;;;
;;2022-10-12;0.00;;;;
;;2022-10-19;1.00;;;;
;;2022-10-20;1.00;;;;
;;2022-10-21;1.00;;;;
;;2022-10-23;1.00;;;;
;;2022-11-01;1.00;;;;
;;2022-11-06;1.00;;;;
;;2020-03-02;0;;;;
;;2020-03-11;0;;;;
;;2020-03-19;0;;;;
;;2020-03-27;0;;;;
;;2020-03-28;0;;;;
;;2020-03-30;0;;;;
;;2020-04-01;12.00;;;;
;;2020-04-03;11.00;;;;
;;2020-04-06;10.00;;;;
;;2020-04-11;9.00;;;;
;;2020-04-12;9.00;;;;
;;2020-04-23;2.00;;;;
;;2020-04-24;2.00;;;;
;;2020-05-02;2.00;;;;
;;2020-05-08;1.00;;;;
;;2020-05-10;1.00;;;;
;;2020-05-17;1.00;;;;
;;2020-05-27;1.00;;;;
;;2020-05-29;1.00;;;;
;;2020-06-09;2.00;;;;
;;2020-06-14;1.00;;;;
;;2020-06-16;1.00;;;;
;;2020-06-17;1.00;;;;
;;2020-06-23;1.00;;;;
;;2020-06-24;1.00;;;;
;;2020-06-27;2.00;;;;
;;2020-07-09;1.00;;;;
;;2020-07-12;1.00;;;;
;;2020-07-14;1.00;;;;
;;2020-07-18;1.00;;;;
;;2020-07-20;2.00;;;;
;;2020-07-27;2.00;;;;
;;2020-08-02;8.00;;;;
;;2020-08-10;5.00;;;;
;;2020-08-20;5.00;;;;
;;2020-08-27;3.00;;;;
;;2020-09-03;1.00;;;;
;;2020-09-08;1.00;;;;
;;2020-09-17;2.00;;;;
;;2020-09-27;3.00;;;;
;;2020-10-01;2.00;;;;
;;2020-10-05;3.00;;;;
;;2020-10-06;5.00;;;;
;;2020-10-08;4.00;;;;
;;2020-10-13;4.00;;;;
;;2020-10-20;8.00;;;;
;;2020-10-21;11.00;;;;
;;2020-10-22;11.00;;;;
;;2020-10-28;16.00;;;;
;;2020-10-29;18.00;;;;
;;2020-11-02;24.00;;;;
;;2020-11-11;28.00;;;;
;;2020-11-22;34.00;;;;
;;2020-11-23;32.00;;;;
;;2020-11-24;26.00;;;;
;;2020-11-28;30.00;;;;
;;2020-11-30;29.00;;;;
;;2020-12-01;26.00;;;;
;;2020-12-04;27.00;;;;
;;2020-12-07;32.00;;;;
;;2020-12-08;32.00;;;;
;;2020-12-10;32.00;;;;
;;2020-12-11;29.00;;;;
;;2020-12-20;26.00;;;;
;;2021-01-02;30.00;;;;
;;2021-01-03;26.00;;;;
;;2021-01-07;17.00;;;;
;;2021-01-14;19.00;;;;
;;2021-01-17;16.00;;;;
;;2021-01-20;15.00;;;;
;;2021-01-23;17.00;;;;
;;2021-01-28;19.00;;;;
;;2021-02-17;10.00;;;;
;;2021-02-18;9.00;;;;
;;2021-02-20;9.00;;;;
;;2021-02-22;10.00;;;;
;;2021-02-23;8.00;;;;
;;2021-02-26;9.00;;;;
;;2021-03-05;10.00;;;;
;;2021-03-07;10.00;;;;
;;2021-03-10;9.00;;;;
;;2021-03-15;8.00;;;;
;;2021-03-20;10.00;;;;
;;2021-03-26;11.00;;;;
;;2021-03-30;8.00;;;;
;;2021-04-02;10.00;;;;
;;2021-04-05;13.00;;;;
;;2021-04-11;8.00;;;;
;;2021-04-14;10.00;;;;
;;2021-04-15;10.00;;;;
;;2021-04-16;11.00;;;;
;;2021-04-18;12.00;;;;
;;2021-04-23;15.00;;;;
