h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
;;2020-03-14;0;2020-03;0;2020;182.00
;;2020-03-17;0;2020-04;33.00;2021;95.00
;;2020-03-20;0;2020-05;3.00;2022;35.00
;;2020-04-02;61.00;2020-06;3.00;;
;;2020-04-08;61.00;2020-07;8.00;;
;;2020-04-20;38.00;2020-08;5.00;;
;;2020-04-28;23.00;2020-09;7.00;;
;;2020-04-30;17.00;2020-10;111.00;;
;;2020-05-03;17.00;2020-11;147.00;;
;;2020-05-09;9.00;2020-12;182.00;;
;;2020-05-16;4.00;2021-01;67.00;;
;;2020-05-31;4.00;2021-02;43.00;;
;;2020-06-01;2.00;2021-03;45.00;;
;;2020-06-03;2.00;2021-04;55.00;;
;;2020-06-08;3.00;2021-05;46.00;;
;;2020-06-15;5.00;2021-06;2.00;;
;;2020-06-18;4.00;2021-07;5.00;;
;;2020-06-20;4.00;2021-08;71.00;;
;;2020-06-22;7.00;2021-09;48.00;;
;;2020-06-28;10.00;2021-10;27.00;;
;;2020-06-30;7.00;2021-11;109.00;;
;;2020-07-03;21.00;2021-12;95.00;;
;;2020-07-08;5.00;2022-01;53.00;;
;;2020-07-13;9.00;2022-02;40.00;;
;;2020-07-21;6.00;2022-03;75.00;;
;;2020-07-24;3.00;2022-04;25.00;;
;;2020-07-26;3.00;2022-05;7.00;;
;;2020-07-28;6.00;2022-06;6.00;;
;;2020-08-05;9.00;2022-07;40.00;;
;;2020-08-11;9.00;2022-08;13.00;;
;;2020-08-12;9.00;2022-09;13.00;;
;;2020-08-18;7.00;2022-10;32.00;;
;;2020-08-21;9.00;2022-11;35.00;;
;;2020-08-24;7.00;;;;
;;2020-08-29;6.00;;;;
;;2020-09-02;3.00;;;;
;;2020-09-07;8.00;;;;
;;2020-09-09;9.00;;;;
;;2020-09-10;9.00;;;;
;;2020-09-29;6.00;;;;
;;2020-10-02;8.00;;;;
;;2020-10-04;7.00;;;;
;;2020-10-14;23.00;;;;
;;2020-10-16;41.00;;;;
;;2020-10-26;114.00;;;;
;;2020-11-05;195.00;;;;
;;2020-11-08;198.00;;;;
;;2020-11-21;155.00;;;;
;;2020-11-29;158.00;;;;
;;2020-12-14;174.00;;;;
;;2020-12-23;184.00;;;;
;;2020-12-24;170.00;;;;
;;2020-12-25;167.00;;;;
;;2020-12-30;171.00;;;;
;;2020-12-31;152.00;;;;
;;2021-01-04;165.00;;;;
;;2021-01-11;122.00;;;;
;;2021-01-12;113.00;;;;
;;2021-01-22;80.00;;;;
;;2021-02-08;64.00;;;;
;;2021-02-11;47.00;;;;
;;2021-02-15;41.00;;;;
;;2021-02-16;35.00;;;;
;;2021-02-28;44.00;;;;
;;2021-03-09;30.00;;;;
;;2021-03-11;29.00;;;;
;;2021-03-12;28.00;;;;
;;2021-03-18;36.00;;;;
;;2021-03-22;35.00;;;;
;;2021-03-27;44.00;;;;
;;2021-03-28;50.00;;;;
;;2021-04-04;52.00;;;;
;;2021-04-17;46.00;;;;
;;2021-04-24;64.00;;;;
;;2021-04-26;67.00;;;;
;;2021-04-29;56.00;;;;
;;2021-05-03;57.00;;;;
;;2021-05-06;37.00;;;;
;;2021-05-07;33.00;;;;
;;2021-05-08;34.00;;;;
;;2021-05-13;44.00;;;;
;;2021-05-17;44.00;;;;
;;2021-05-21;41.00;;;;
;;2021-05-26;46.00;;;;
;;2021-05-30;39.00;;;;
;;2021-05-31;40.00;;;;
;;2021-06-01;31.00;;;;
;;2021-06-15;15.00;;;;
;;2021-06-16;15.00;;;;
;;2021-06-21;9.00;;;;
;;2021-06-29;3.00;;;;
;;2021-06-30;1.00;;;;
;;2021-07-01;1.00;;;;
;;2021-07-04;1.00;;;;
;;2021-07-06;2.00;;;;
;;2021-07-09;4.00;;;;
;;2021-07-10;3.00;;;;
;;2021-07-13;4.00;;;;
;;2021-07-14;4.00;;;;
;;2021-07-22;4.00;;;;
;;2021-07-24;2.00;;;;
;;2021-07-26;7.00;;;;
;;2021-07-30;2.00;;;;
;;2021-08-03;6.00;;;;
;;2021-08-07;16.00;;;;
;;2021-08-08;16.00;;;;
;;2021-08-11;20.00;;;;
;;2021-08-18;57.00;;;;
;;2021-08-28;70.00;;;;
;;2021-09-19;46.00;;;;
;;2021-09-20;45.00;;;;
;;2021-09-21;51.00;;;;
;;2021-09-28;47.00;;;;
;;2021-10-04;40.00;;;;
;;2021-10-23;17.00;;;;
;;2021-11-04;42.00;;;;
;;2021-11-05;33.00;;;;
;;2021-11-08;42.00;;;;
;;2021-11-13;42.00;;;;
;;2021-11-15;47.00;;;;
;;2021-11-22;62.00;;;;
;;2021-11-23;72.00;;;;
;;2021-11-29;109.00;;;;
;;2021-12-03;102.00;;;;
;;2021-12-04;109.00;;;;
;;2021-12-07;122.00;;;;
;;2021-12-28;98.00;;;;
;;2022-01-04;78.00;;;;
;;2022-01-05;75.00;;;;
;;2022-01-08;69.00;;;;
;;2022-01-09;68.00;;;;
;;2022-01-10;66.00;;;;
;;2022-01-12;55.00;;;;
;;2022-01-16;44.00;;;;
;;2022-01-17;51.00;;;;
;;2022-01-20;48.00;;;;
;;2022-01-23;60.00;;;;
;;2022-01-28;55.00;;;;
;;2022-02-02;75.00;;;;
;;2022-02-06;87.00;;;;
;;2022-02-20;66.00;;;;
;;2022-03-01;43.00;;;;
;;2022-03-10;60.00;;;;
;;2022-03-21;88.00;;;;
;;2022-03-29;56.00;;;;
;;2022-04-05;39.00;;;;
;;2022-04-15;28.00;;;;
;;2022-04-18;29.00;;;;
;;2022-04-21;27.00;;;;
;;2022-04-22;18.00;;;;
;;2022-04-29;19.00;;;;
;;2022-04-30;19.00;;;;
;;2022-05-05;16.00;;;;
;;2022-05-06;16.00;;;;
;;2022-05-13;13.00;;;;
;;2022-05-29;7.00;;;;
;;2022-06-02;4.00;;;;
;;2022-06-08;7.00;;;;
;;2022-06-11;3.00;;;;
;;2022-06-12;3.00;;;;
;;2022-06-13;3.00;;;;
;;2022-06-14;2.00;;;;
;;2022-06-17;6.00;;;;
;;2022-06-20;9.00;;;;
;;2022-06-21;11.00;;;;
;;2022-06-23;11.00;;;;
;;2022-06-24;12.00;;;;
;;2022-06-25;11.00;;;;
;;2022-07-11;33.00;;;;
;;2022-07-12;35.00;;;;
;;2022-07-15;35.00;;;;
;;2022-07-16;35.00;;;;
;;2022-07-17;35.00;;;;
;;2022-07-24;33.00;;;;
;;2022-08-12;12.00;;;;
;;2022-08-22;16.00;;;;
;;2022-08-26;15.00;;;;
;;2022-09-02;12.00;;;;
;;2022-09-11;13.00;;;;
;;2022-09-24;11.00;;;;
;;2022-09-25;11.00;;;;
;;2022-10-08;35.00;;;;
;;2022-10-12;40.00;;;;
;;2022-10-19;54.00;;;;
;;2022-10-20;31.00;;;;
;;2022-10-21;24.00;;;;
;;2022-10-23;24.00;;;;
;;2022-11-01;22.00;;;;
;;2022-11-06;28.00;;;;
;;2020-03-02;0;;;;
;;2020-03-11;0;;;;
;;2020-03-19;0;;;;
;;2020-03-27;0;;;;
;;2020-03-28;0;;;;
;;2020-03-30;0;;;;
;;2020-04-01;48.00;;;;
;;2020-04-03;61.00;;;;
;;2020-04-06;61.00;;;;
;;2020-04-11;67.00;;;;
;;2020-04-12;52.00;;;;
;;2020-04-23;24.00;;;;
;;2020-04-24;28.00;;;;
;;2020-05-02;18.00;;;;
;;2020-05-08;10.00;;;;
;;2020-05-10;9.00;;;;
;;2020-05-17;4.00;;;;
;;2020-05-27;4.00;;;;
;;2020-05-29;4.00;;;;
;;2020-06-09;3.00;;;;
;;2020-06-14;3.00;;;;
;;2020-06-16;5.00;;;;
;;2020-06-17;5.00;;;;
;;2020-06-23;7.00;;;;
;;2020-06-24;7.00;;;;
;;2020-06-27;10.00;;;;
;;2020-07-09;8.00;;;;
;;2020-07-12;8.00;;;;
;;2020-07-14;9.00;;;;
;;2020-07-18;3.00;;;;
;;2020-07-20;2.00;;;;
;;2020-07-27;5.00;;;;
;;2020-08-02;11.00;;;;
;;2020-08-10;9.00;;;;
;;2020-08-20;9.00;;;;
;;2020-08-27;4.00;;;;
;;2020-09-03;7.00;;;;
;;2020-09-08;7.00;;;;
;;2020-09-17;9.00;;;;
;;2020-09-27;6.00;;;;
;;2020-10-01;8.00;;;;
;;2020-10-05;9.00;;;;
;;2020-10-06;12.00;;;;
;;2020-10-08;9.00;;;;
;;2020-10-13;24.00;;;;
;;2020-10-20;62.00;;;;
;;2020-10-21;71.00;;;;
;;2020-10-22;90.00;;;;
;;2020-10-28;133.00;;;;
;;2020-10-29;136.00;;;;
;;2020-11-02;184.00;;;;
;;2020-11-11;184.00;;;;
;;2020-11-22;161.00;;;;
;;2020-11-23;161.00;;;;
;;2020-11-24;167.00;;;;
;;2020-11-28;158.00;;;;
;;2020-11-30;161.00;;;;
;;2020-12-01;160.00;;;;
;;2020-12-04;175.00;;;;
;;2020-12-07;188.00;;;;
;;2020-12-08;189.00;;;;
;;2020-12-10;183.00;;;;
;;2020-12-11;177.00;;;;
;;2020-12-20;184.00;;;;
;;2021-01-02;160.00;;;;
;;2021-01-03;168.00;;;;
;;2021-01-07;144.00;;;;
;;2021-01-14;108.00;;;;
;;2021-01-17;109.00;;;;
;;2021-01-20;84.00;;;;
;;2021-01-23;72.00;;;;
;;2021-01-28;74.00;;;;
;;2021-02-17;29.00;;;;
;;2021-02-18;36.00;;;;
;;2021-02-20;43.00;;;;
;;2021-02-22;40.00;;;;
;;2021-02-23;40.00;;;;
;;2021-02-26;48.00;;;;
;;2021-03-05;31.00;;;;
;;2021-03-07;29.00;;;;
;;2021-03-10;30.00;;;;
;;2021-03-15;33.00;;;;
;;2021-03-20;38.00;;;;
;;2021-03-26;44.00;;;;
;;2021-03-30;45.00;;;;
;;2021-04-02;48.00;;;;
;;2021-04-05;53.00;;;;
;;2021-04-11;51.00;;;;
;;2021-04-14;49.00;;;;
;;2021-04-15;45.00;;;;
;;2021-04-16;45.00;;;;
;;2021-04-18;52.00;;;;
;;2021-04-23;59.00;;;;
;;2021-04-25;67.00;;;;
;;2021-04-28;56.00;;;;
;;2021-05-04;51.00;;;;
;;2021-05-14;44.00;;;;
;;2021-05-15;45.00;;;;
;;2021-05-18;37.00;;;;
;;2021-05-20;39.00;;;;
;;2021-05-22;38.00;;;;
;;2021-05-24;42.00;;;;
;;2021-05-29;40.00;;;;
;;2021-06-03;28.00;;;;
;;2021-06-07;20.00;;;;
;;2021-06-09;20.00;;;;
;;2021-06-14;15.00;;;;
;;2021-06-17;15.00;;;;
;;2021-06-18;13.00;;;;
