h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
;;;;2022-02;483.00;2022;70.00
;;;;2022-02;22.00;2019;323.00
;;;;2022-02;20.00;2020;10630.00
;;;;2022-02;10.00;2021;381.00
;;;;2022-01;91640.00;2015;420.00
;;;;2022-01;4520.00;2016;294.00
;;;;2022-01;2200.00;2017;408.00
;;;;2022-01;11690.00;2018;408.00
;;;;2022-01;8240.00;;
;;;;2022-01;2980.00;;
;;;;2022-01;4550.00;;
;;;;2022-01;7330.00;;
;;;;2022-01;4630.00;;
;;;;2022-01;4640.00;;
;;;;2022-01;4140.00;;
;;;;2022-01;3190.00;;
;;;;2022-01;1470.00;;
;;;;2022-01;930.00;;
;;;;2022-01;1550.00;;
;;;;2022-01;1110.00;;
;;;;2022-01;190.00;;
;;;;2022-02;250.00;;
;;;;2022-02;340.00;;
;;;;2022-02;3600.00;;
;;;;2022-02;2390.00;;
;;;;2022-02;4580.00;;
;;;;2022-02;4150.00;;
;;;;2022-02;2730.00;;
;;;;2022-02;3350.00;;
;;;;2022-02;3290.00;;
;;;;2022-02;2880.00;;
;;;;2022-02;1520.00;;
;;;;2022-02;3350.00;;
;;;;2022-03;190.00;;
;;;;2022-03;19230.00;;
;;;;2022-03;382.00;;
;;;;2022-03;6560.00;;
;;;;2022-03;2970.00;;
;;;;2022-03;11760.00;;
;;;;2022-03;9710.00;;
;;;;2022-03;7850.00;;
;;;;2022-03;8370.00;;
;;;;2022-03;5500.00;;
;;;;2022-03;5120.00;;
;;;;2022-03;12100.00;;
;;;;2022-03;3790.00;;
;;;;2022-03;2880.00;;
;;;;2022-03;10560.00;;
;;;;2022-03;4190.00;;
;;;;2022-03;2820.00;;
;;;;2022-03;11910.00;;
;;;;2022-03;3100.00;;
;;;;2022-03;1290.00;;
;;;;2022-03;3910.00;;
;;;;2022-03;1170.00;;
;;;;2022-03;4540.00;;
;;;;2022-03;1210.00;;
;;;;2022-04;33810.00;;
;;;;2022-04;254.00;;
;;;;2022-04;4370.00;;
;;;;2022-04;3670.00;;
;;;;2022-04;3550.00;;
;;;;2022-04;2050.00;;
;;;;2022-04;3560.00;;
;;;;2022-04;4280.00;;
;;;;2022-04;2050.00;;
;;;;2022-04;4550.00;;
