h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
2020-12-19T14;1480.00;2020-12-19;1480.00;2020-12;1780.00;2020;30.00
2020-12-19T16;1480.00;2020-12-21;1480.00;2020-06;105.00;2020;1480.00
2020-12-19T18;1480.00;2020-12-22;1480.00;2020-07;1480.00;2021;1480.00
2020-12-19T18;1480.00;2020-06-05;1780.00;2020-10;105.00;2021;1480.00
2020-12-21T09;1480.00;2020-06-06;1480.00;2020-11;30.00;;
2020-12-21T12;1480.00;2020-06-12;1480.00;2021-01;1480.00;;
2020-12-21T13;1480.00;2020-06-13;1480.00;2021-02;105.00;;
2020-12-21T14;1480.00;2020-06-20;1480.00;2021-04;105.00;;
2020-12-21T16;1480.00;2020-06-21;1480.00;2021-05;30.00;;
2020-12-22T12;1480.00;2020-06-22;1480.00;2021-03;1480.00;;
2020-06-05T11;1200.00;2020-06-23;1480.00;2021-03;105.00;;
2020-06-06T14;1200.00;2020-06-24;1480.00;2021-06;1480.00;;
2020-06-12T12;1200.00;2020-06-25;1480.00;2021-07;1480.00;;
2020-06-12T12;1200.00;2020-06-26;1480.00;2021-08;1480.00;;
2020-06-12T13;1200.00;2020-06-27;1480.00;;;;
2020-06-12T13;1200.00;2020-06-28;1480.00;;;;
2020-06-12T15;1200.00;2020-06-08;1480.00;;;;
2020-06-12T18;1200.00;2020-06-09;1480.00;;;;
2020-06-12T20;1200.00;2020-06-10;1480.00;;;;
2020-06-13T09;1200.00;2020-06-11;1480.00;;;;
2020-06-13T10;1200.00;2020-06-15;105.00;;;;
2020-06-13T11;1200.00;2020-06-16;105.00;;;;
2020-06-13T13;1200.00;2020-06-17;105.00;;;;
2020-06-13T13;1200.00;2020-06-18;1480.00;;;;
2020-06-13T15;1200.00;2020-06-19;105.00;;;;
2020-06-13T17;1200.00;2020-06-29;105.00;;;;
2020-06-13T18;1200.00;2020-06-30;1480.00;;;;
2020-06-20T09;1200.00;2020-07-01;1780.00;;;;
2020-06-20T09;1200.00;2020-07-03;1780.00;;;;
2020-06-20T10;1200.00;2020-07-06;1780.00;;;;
2020-06-20T12;1200.00;2020-07-07;1780.00;;;;
2020-06-20T14;1200.00;2020-07-09;1780.00;;;;
2020-06-20T16;1200.00;2020-10-31;30.00;;;;
2020-06-21T14;1200.00;2020-11-02;30.00;;;;
2020-06-21T18;1200.00;2020-11-03;30.00;;;;
2020-06-22T10;1200.00;2020-11-04;30.00;;;;
2020-06-22T10;1200.00;2020-11-05;30.00;;;;
2020-06-22T15;1200.00;2020-11-06;30.00;;;;
2020-06-22T15;1200.00;2020-11-07;30.00;;;;
2020-06-22T16;1200.00;2020-11-09;30.00;;;;
2020-06-22T18;1200.00;2020-11-10;30.00;;;;
2020-06-22T18;1200.00;2020-11-11;30.00;;;;
2020-06-23T09;1200.00;2020-11-12;30.00;;;;
2020-06-23T10;1200.00;2020-11-13;30.00;;;;
2020-06-23T11;1200.00;2020-11-14;30.00;;;;
2020-06-23T11;1200.00;2020-11-16;30.00;;;;
2020-06-23T12;1200.00;2020-11-17;30.00;;;;
2020-06-23T12;1200.00;2020-11-18;30.00;;;;
2020-06-23T13;1200.00;2020-11-19;30.00;;;;
2020-06-23T15;1200.00;2020-11-20;30.00;;;;
2020-06-23T16;1200.00;2020-11-21;30.00;;;;
2020-06-23T16;1200.00;2020-11-23;30.00;;;;
2020-06-23T17;1200.00;2020-11-24;30.00;;;;
2020-06-23T17;1200.00;2020-11-25;30.00;;;;
2020-06-23T19;1200.00;2020-11-26;30.00;;;;
2020-06-24T12;1200.00;2020-11-27;30.00;;;;
2020-06-24T13;1200.00;2020-11-30;30.00;;;;
2020-06-24T16;1200.00;2020-12-01;30.00;;;;
2020-06-25T09;1200.00;2020-12-02;30.00;;;;
2020-06-25T09;1200.00;2020-12-03;30.00;;;;
2020-06-25T11;1200.00;2020-12-04;30.00;;;;
2020-06-25T12;1200.00;2020-12-05;30.00;;;;
2020-06-25T12;1200.00;2020-12-07;30.00;;;;
2020-06-25T13;1200.00;2020-12-08;30.00;;;;
2020-06-26T16;1200.00;2020-12-09;30.00;;;;
2020-06-27T09;1200.00;2020-12-10;30.00;;;;
2020-06-27T11;1200.00;2020-12-11;30.00;;;;
2020-06-27T13;1200.00;2020-12-12;30.00;;;;
2020-06-27T13;1200.00;2020-12-14;1480.00;;;;
2020-06-27T14;1200.00;2020-12-15;1480.00;;;;
2020-06-27T15;1200.00;2020-12-17;1480.00;;;;
2020-06-27T16;1200.00;2020-12-18;1480.00;;;;
2020-06-28T09;1200.00;2020-12-16;1480.00;;;;
2020-06-28T09;1200.00;2020-06-07;105.00;;;;
2020-06-28T10;1200.00;2020-06-14;105.00;;;;
2020-06-28T10;1200.00;2020-07-08;1780.00;;;;
2020-06-28T12;1200.00;2020-10-30;105.00;;;;
2020-06-28T14;1200.00;2020-11-01;30.00;;;;
2020-06-28T16;1200.00;2020-11-08;30.00;;;;
2020-06-08T08;1780.00;2020-11-15;30.00;;;;
2020-06-08T10;1780.00;2020-11-22;30.00;;;;
2020-06-08T11;1780.00;2020-11-28;30.00;;;;
2020-06-08T12;1780.00;2020-11-29;30.00;;;;
2020-06-08T12;1780.00;2020-12-06;30.00;;;;
2020-06-08T15;1780.00;2021-01-05;105.00;;;;
2020-06-08T16;1780.00;2021-01-06;1480.00;;;;
2020-06-08T17;1780.00;2021-01-07;1480.00;;;;
2020-06-08T18;1780.00;2021-01-08;1480.00;;;;
2020-06-08T19;1780.00;2021-01-09;1480.00;;;;
2020-06-09T09;1780.00;2021-01-11;1480.00;;;;
2020-06-09T09;1780.00;2021-01-12;1480.00;;;;
2020-06-09T10;1780.00;2021-01-13;1480.00;;;;
2020-06-09T11;1780.00;2021-01-14;105.00;;;;
2020-06-09T16;1780.00;2021-01-15;105.00;;;;
2020-06-09T17;1780.00;2021-01-17;1480.00;;;;
2020-06-09T18;1780.00;2021-01-18;105.00;;;;
2020-06-09T18;1780.00;2021-01-19;1480.00;;;;
2020-06-10T07;1780.00;2021-01-20;1480.00;;;;
2020-06-10T08;1780.00;2021-01-21;105.00;;;;
2020-06-10T09;1780.00;2021-01-22;1480.00;;;;
2020-06-10T10;1780.00;2021-01-23;1480.00;;;;
2020-06-10T13;1780.00;2021-01-24;1480.00;;;;
2020-06-10T16;1780.00;2021-01-25;105.00;;;;
2020-06-10T18;1780.00;2021-01-26;1480.00;;;;
2020-06-11T09;1780.00;2021-01-27;1480.00;;;;
2020-06-11T10;1780.00;2021-01-28;1480.00;;;;
