h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
;;2019-06-01;0.00;2019-06;1.00;2019;2.00
;;2019-06-01;3.00;2019-06;3.00;2019;3.00
;;2019-06-01;1.00;2019-06;5.00;2019;18.00
;;2019-06-01;3.00;2019-06;39.00;2019;17.00
;;2019-06-01;24.00;2019-06;48.00;2019;31.00
;;2019-06-01;40.00;2019-06;39.00;2019;44.00
;;2019-06-01;49.00;2019-06;7.00;2019;42.00
;;2019-06-01;30.00;2019-06;9.00;2019;43.00
;;2019-06-01;20.00;2019-06;9.00;2019;39.00
;;2019-06-01;38.00;2019-06;8.00;2019;11.00
;;2019-06-01;37.00;2019-06;7.00;2019;4.00
;;2019-06-01;43.00;2019-06;1.00;2019;5.00
;;2019-06-01;51.00;2019-06;0.00;2019;6.00
;;2019-06-01;13.00;2019-06;1.00;2019;2.00
;;2019-06-01;13.00;2019-06;1.00;2019;1.00
;;2019-06-01;7.00;2019-06;8.00;2019;26.00
;;2019-06-01;4.00;2019-06;44.00;2019;48.00
;;2019-06-01;19.00;2019-06;12.00;2019;34.00
;;2019-06-01;6.00;2019-06;7.00;2019;12.00
;;2019-06-01;4.00;2019-06;1.00;2019;7.00
;;2019-06-01;4.00;2019-06;4.00;2019;13.00
;;2019-06-02;1.00;2019-06;2.00;2019;2.00
;;2019-06-02;3.00;2019-06;1.00;2019;0.00
;;2019-06-02;0.00;2019-06;1.00;2019;2.00
;;2019-06-02;3.00;2019-07;1.00;2019;2.00
;;2019-06-02;6.00;2019-07;2.00;2019;0.00
;;2019-06-02;2.00;2019-07;7.00;2019;1.00
;;2019-06-02;1.00;2019-07;10.00;2019;4.00
;;2019-06-02;5.00;2019-07;13.00;2019;17.00
;;2019-06-02;5.00;2019-07;17.00;2019;30.00
;;2019-06-02;7.00;2019-07;52.00;2019;49.00
;;2019-06-02;10.00;2019-07;34.00;2019;26.00
;;2019-06-02;13.00;2019-07;14.00;2019;19.00
;;2019-06-02;6.00;2019-07;28.00;2019;17.00
;;2019-06-02;20.00;2019-07;21.00;2019;31.00
;;2019-06-02;14.00;2019-07;8.00;2019;3.00
;;2019-06-02;7.00;2019-07;2.00;2019;2.00
;;2019-06-02;13.00;2019-07;8.00;2019;9.00
;;2019-06-02;13.00;2019-07;4.00;2019;2.00
;;2019-06-02;7.00;2019-07;2.00;2019;44.00
;;2019-06-02;16.00;2019-07;0.00;2019;27.00
;;2019-06-02;7.00;2019-07;1.00;2019;5.00
;;2019-06-02;12.00;2019-07;36.00;2019;11.00
;;2019-06-02;4.00;2019-07;4.00;2019;1.00
;;2019-06-02;2.00;2019-07;0.00;2019;28.00
;;2019-06-02;1.00;2019-07;21.00;2019;38.00
;;2019-06-02;4.00;2019-07;29.00;2019;1.00
;;2019-06-02;1.00;2019-07;0.00;2019;1.00
;;2019-06-02;6.00;2019-08;8.00;2020;0.00
;;2019-06-02;0.00;2019-08;2.00;2020;0.00
;;2019-06-02;1.00;2019-08;20.00;2020;1.00
;;2019-06-02;1.00;2019-08;41.00;2020;7.00
;;2019-06-03;1.00;2019-08;34.00;2020;16.00
;;2019-06-03;7.00;2019-08;45.00;2020;30.00
;;2019-06-03;12.00;2019-08;29.00;2020;22.00
;;2019-06-03;29.00;2019-08;52.00;2020;37.00
;;2019-06-03;21.00;2019-08;22.00;2020;31.00
;;2019-06-03;27.00;2019-08;7.00;2020;49.00
;;2019-06-03;23.00;2019-08;5.00;2020;42.00
;;2019-06-03;27.00;2019-08;13.00;2020;30.00
;;2019-06-03;50.00;2019-08;16.00;2020;30.00
;;2019-06-03;50.00;2019-08;10.00;2020;12.00
;;2019-06-03;22.00;2019-08;1.00;2020;4.00
;;2019-06-03;29.00;2019-08;1.00;2020;10.00
;;2019-06-03;25.00;2019-08;1.00;2020;7.00
;;2019-06-03;31.00;2019-08;17.00;2020;1.00
;;2019-06-03;43.00;2019-08;28.00;2020;3.00
;;2019-06-03;33.00;2019-08;7.00;2020;4.00
;;2019-06-03;45.00;2019-08;4.00;2020;10.00
;;2019-06-03;30.00;2019-08;7.00;2020;2.00
;;2019-06-03;28.00;2019-08;2.00;2020;6.00
;;2019-06-03;4.00;2019-08;16.00;2020;48.00
;;2019-06-03;13.00;2019-09;1.00;;
;;2019-06-03;5.00;2019-09;1.00;;
;;2019-06-03;0.00;2019-09;1.00;;
;;2019-06-04;4.00;2019-09;1.00;;
;;2019-06-04;7.00;2019-09;20.00;;
;;2019-06-04;25.00;2019-09;25.00;;
;;2019-06-04;28.00;2019-09;29.00;;
;;2019-06-04;39.00;2019-09;37.00;;
;;2019-06-04;39.00;2019-09;16.00;;
;;2019-06-04;29.00;2019-09;54.00;;
;;2019-06-04;19.00;2019-09;36.00;;
;;2019-06-04;23.00;2019-09;36.00;;
;;2019-06-04;41.00;2019-09;12.00;;
;;2019-06-04;25.00;2019-09;3.00;;
;;2019-06-04;12.00;2019-09;5.00;;
;;2019-06-04;9.00;2019-09;5.00;;
;;2019-06-04;10.00;2019-09;1.00;;
;;2019-06-04;11.00;2019-09;1.00;;
;;2019-06-04;3.00;2019-09;9.00;;
;;2019-06-04;4.00;2019-09;5.00;;
;;2019-06-04;6.00;2019-09;1.00;;
;;2019-06-04;4.00;2019-09;16.00;;
;;2019-06-04;2.00;2019-09;21.00;;
;;2019-06-05;0.00;2019-09;19.00;;
;;2019-06-05;0.00;2019-10;2.00;;
;;2019-06-05;13.00;2019-10;3.00;;
;;2019-06-05;16.00;2019-10;18.00;;
;;2019-06-05;19.00;2019-10;26.00;;
;;2019-06-05;12.00;2019-10;31.00;;
;;2019-06-05;26.00;2019-10;48.00;;
;;2019-06-05;35.00;2019-10;44.00;;
;;2019-06-05;41.00;2019-10;42.00;;
;;2019-06-05;39.00;2019-10;39.00;;
;;2019-06-05;29.00;2019-10;11.00;;
;;2019-06-05;39.00;2019-10;4.00;;
;;2019-06-05;39.00;2019-10;12.00;;
;;2019-06-05;25.00;2019-10;7.00;;
;;2019-06-05;37.00;2019-10;13.00;;
;;2019-06-05;15.00;2019-10;5.00;;
;;2019-06-05;16.00;2019-10;2.00;;
;;2019-06-05;12.00;2019-10;34.00;;
;;2019-06-05;4.00;2019-10;0.00;;
;;2019-06-05;5.00;2019-10;43.00;;
;;2019-06-05;3.00;2019-10;17.00;;
;;2019-06-06;0.00;2019-10;6.00;;
;;2019-06-06;1.00;2019-10;2.00;;
;;2019-06-06;0.00;2019-10;2.00;;
;;2019-06-06;12.00;2019-10;1.00;;
;;2019-06-06;13.00;2019-10;1.00;;
;;2019-06-06;8.00;2019-10;5.00;;
;;2019-06-06;26.00;2019-10;0.00;;
;;2019-06-06;30.00;2019-10;11.00;;
;;2019-06-06;24.00;2019-10;8.00;;
;;2019-06-06;7.00;2019-10;18.00;;
;;2019-06-06;24.00;2019-10;31.00;;
;;2019-06-06;37.00;2019-10;38.00;;
;;2019-06-06;46.00;2019-10;35.00;;
;;2019-06-06;37.00;2019-10;39.00;;
;;2019-06-06;44.00;2019-10;17.00;;
;;2019-06-06;37.00;2019-10;11.00;;
;;2019-06-06;31.00;2019-10;11.00;;
;;2019-06-06;37.00;2019-10;1.00;;
;;2019-06-06;40.00;2019-10;1.00;;
;;2019-06-06;21.00;2019-10;44.00;;
;;2019-06-06;42.00;2019-10;42.00;;
;;2019-06-06;52.00;2019-10;7.00;;
;;2019-06-06;30.00;2019-10;6.00;;
;;2019-06-06;23.00;2019-10;2.00;;
;;2019-06-06;19.00;2019-10;18.00;;
;;2019-06-06;9.00;2019-10;26.00;;
;;2019-06-06;3.00;2019-10;6.00;;
;;2019-06-06;1.00;2019-10;0.00;;
;;2019-06-06;1.00;2019-11;3.00;;
;;2019-06-07;0.00;2019-11;0.00;;
;;2019-06-07;0.00;2019-11;1.00;;
;;2019-06-07;5.00;2019-11;3.00;;
;;2019-06-07;2.00;2019-11;10.00;;
;;2019-06-07;10.00;2019-11;26.00;;
;;2019-06-07;23.00;2019-11;32.00;;
;;2019-06-07;31.00;2019-11;50.00;;
;;2019-06-07;41.00;2019-11;44.00;;
;;2019-06-07;40.00;2019-11;36.00;;
;;2019-06-07;29.00;2019-11;43.00;;
;;2019-06-07;45.00;2019-11;42.00;;
;;2019-06-07;34.00;2019-11;6.00;;
;;2019-06-07;30.00;2019-11;13.00;;
;;2019-06-07;16.00;2019-11;7.00;;
;;2019-06-07;14.00;2019-11;9.00;;
;;2019-06-07;7.00;2019-11;3.00;;
;;2019-06-07;1.00;2019-11;2.00;;
;;2019-06-07;8.00;2019-11;1.00;;
;;2019-06-07;5.00;2019-11;48.00;;
;;2019-06-07;4.00;2019-11;56.00;;
;;2019-06-08;3.00;2019-11;21.00;;
;;2019-06-08;2.00;2019-11;1.00;;
;;2019-06-08;1.00;2019-11;7.00;;
;;2019-06-08;2.00;2019-12;1.00;;
;;2019-06-08;15.00;2019-12;1.00;;
;;2019-06-08;27.00;2019-12;2.00;;
;;2019-06-08;21.00;2019-12;0.00;;
;;2019-06-08;23.00;2019-12;1.00;;
