h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
2019-09-11T20;1.71;2019-09-11;1.18;2019-09;1.39;2019;2.12
2019-09-11T21;1.61;2019-09-12;1.15;2020-01;3.31;2020;1.33
2019-09-11T22;1.84;2019-09-13;1.22;2020-02;1.28;2019;1.45
2019-09-12T00;1.43;2019-09-14;1.40;2019-10;1.58;2020;1.41
2019-09-12T00;1.82;2019-09-15;1.29;2019-11;1.38;2022;6.15
2019-09-12T01;1.32;2019-09-16;1.07;2020-04;3.68;;
2019-09-12T01;1.02;2019-09-17;2.55;2019-07;1.46;;
2019-09-12T01;1.09;2019-09-18;1.36;2019-08;2.12;;
2019-09-12T02;1.39;2019-09-19;0.96;2019-10;1.10;;
2019-09-12T02;0.80;2019-09-20;1.02;2019-12;1.45;;
2019-09-12T02;0.84;2019-09-21;1.17;2020-03;1.33;;
2019-09-12T03;0.69;2019-09-22;0.58;2020-03;1.67;;
2019-09-12T03;1.34;2020-01-29;2.86;2020-05;1.55;;
2019-09-12T04;1.28;2020-01-30;1.44;2020-06;1.03;;
2019-09-12T05;0.75;2020-01-31;1.05;2020-08;1.46;;
2019-09-12T05;1.11;2020-02-01;5.95;2020-07;1.41;;
2019-09-12T06;0.98;2020-02-02;5.97;2022-06;6.15;;
2019-09-12T08;1.41;2020-02-03;5.33;;;;
2019-09-12T09;1.20;2020-02-04;4.30;;;;
2019-09-12T09;1.25;2020-02-05;3.43;;;;
2019-09-12T09;1.22;2019-10-23;2.52;;;;
2019-09-12T10;1.80;2019-11-14;4.25;;;;
2019-09-12T11;2.23;2019-11-15;2.10;;;;
2019-09-12T11;2.43;2019-11-16;1.65;;;;
2019-09-12T15;2.60;2019-11-17;2.81;;;;
2019-09-12T15;2.34;2019-11-18;1.68;;;;
2019-09-12T16;2.58;2019-11-19;2.19;;;;
2019-09-12T16;2.47;2019-11-20;0.99;;;;
2019-09-12T16;2.30;2020-04-04;1.13;;;;
2019-09-12T17;1.74;2020-04-05;1.87;;;;
2019-09-12T18;1.83;2020-04-06;1.34;;;;
2019-09-12T19;1.42;2020-04-07;1.60;;;;
2019-09-12T21;0.90;2019-09-27;1.30;;;;
2019-09-12T22;1.13;2019-09-28;1.11;;;;
2019-09-13T00;1.54;2019-09-29;4.16;;;;
2019-09-13T01;1.28;2019-07-01;1.30;;;;
2019-09-13T01;2.02;2019-07-02;1.25;;;;
2019-09-13T02;1.53;2019-07-03;1.43;;;;
2019-09-13T04;1.25;2019-07-04;1.73;;;;
2019-09-13T05;1.22;2019-07-05;1.24;;;;
2019-09-13T05;1.11;2019-07-06;2.03;;;;
2019-09-13T05;1.34;2019-07-07;1.10;;;;
2019-09-13T06;1.18;2019-07-08;1.04;;;;
2019-09-13T06;1.15;2019-07-09;2.07;;;;
2019-09-13T07;1.46;2019-07-10;1.19;;;;
2019-09-13T08;1.31;2019-07-11;1.04;;;;
2019-09-13T08;1.60;2019-07-12;2.00;;;;
2019-09-13T10;1.27;2019-07-13;0.97;;;;
2019-09-13T11;1.53;2019-07-14;2.81;;;;
2019-09-13T12;1.77;2019-07-15;1.36;;;;
2019-09-13T13;1.99;2019-07-16;1.36;;;;
2019-09-13T13;1.97;2019-07-17;1.10;;;;
