h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
2019-09-11T20;17.30;2019-09-11;15.90;2019-09;11.70;2019;20.90
2019-09-11T21;17.30;2019-09-12;15.80;2020-01;2.20;2020;5.70
2019-09-11T22;16.60;2019-09-13;16.90;2020-02;4.80;2019;-1.40
2019-09-12T00;15.60;2019-09-14;16.60;2019-10;10.80;2020;24.60
2019-09-12T00;15.60;2019-09-15;18.20;2019-11;1.40;2022;28.10
2019-09-12T01;15.60;2019-09-16;20.10;2020-04;8.90;;
2019-09-12T01;15.70;2019-09-17;16.20;2019-07;18.50;;
2019-09-12T01;15.50;2019-09-18;11.30;2019-08;20.90;;
2019-09-12T02;15.60;2019-09-19;9.50;2019-10;6.20;;
2019-09-12T02;15.20;2019-09-20;9.80;2019-12;-1.40;;
2019-09-12T02;15.00;2019-09-21;13.20;2020-03;5.70;;
2019-09-12T03;15.00;2019-09-22;12.50;2020-03;0.10;;
2019-09-12T03;14.90;2020-01-29;4.20;2020-05;12.80;;
2019-09-12T04;15.00;2020-01-30;6.60;2020-06;19.00;;
2019-09-12T05;14.80;2020-01-31;9.80;2020-08;22.60;;
2019-09-12T05;14.80;2020-02-01;8.40;2020-07;24.60;;
2019-09-12T06;13.90;2020-02-02;12.50;2022-06;28.10;;
2019-09-12T08;14.20;2020-02-03;14.10;;;;
2019-09-12T09;15.50;2020-02-04;0.70;;;;
2019-09-12T09;16.00;2020-02-05;0.70;;;;
2019-09-12T09;17.80;2019-10-23;14.10;;;;
2019-09-12T10;18.90;2019-11-14;12.00;;;;
2019-09-12T11;18.60;2019-11-15;5.20;;;;
2019-09-12T11;19.70;2019-11-16;4.10;;;;
2019-09-12T15;22.50;2019-11-17;2.60;;;;
2019-09-12T15;22.80;2019-11-18;4.00;;;;
2019-09-12T16;22.60;2019-11-19;3.30;;;;
2019-09-12T16;23.00;2019-11-20;3.30;;;;
2019-09-12T16;23.20;2020-04-04;6.20;;;;
2019-09-12T17;23.00;2020-04-05;8.30;;;;
2019-09-12T18;21.20;2020-04-06;10.30;;;;
2019-09-12T19;20.10;2020-04-07;11.30;;;;
2019-09-12T21;17.60;2019-09-27;15.50;;;;
2019-09-12T22;16.90;2019-09-28;14.50;;;;
2019-09-13T00;14.90;2019-09-29;20.70;;;;
2019-09-13T01;14.80;2019-07-01;23.40;;;;
2019-09-13T01;14.40;2019-07-02;23.20;;;;
2019-09-13T02;13.90;2019-07-03;20.00;;;;
2019-09-13T04;13.10;2019-07-04;25.40;;;;
2019-09-13T05;13.00;2019-07-05;21.60;;;;
2019-09-13T05;13.00;2019-07-06;21.80;;;;
2019-09-13T05;12.80;2019-07-07;19.00;;;;
2019-09-13T06;12.70;2019-07-08;16.40;;;;
2019-09-13T06;12.50;2019-07-09;17.20;;;;
2019-09-13T07;12.50;2019-07-10;16.20;;;;
2019-09-13T08;12.90;2019-07-11;16.30;;;;
2019-09-13T08;13.90;2019-07-12;17.00;;;;
2019-09-13T10;19.90;2019-07-13;15.90;;;;
2019-09-13T11;19.80;2019-07-14;15.90;;;;
2019-09-13T12;22.70;2019-07-15;18.30;;;;
2019-09-13T13;23.00;2019-07-16;18.30;;;;
2019-09-13T13;22.80;2019-07-17;19.40;;;;
2019-09-13T13;23.30;2019-07-18;20.20;;;;
2019-09-13T14;23.40;2019-07-19;21.40;;;;
2019-09-13T15;23.10;2019-07-20;27.30;;;;
2019-09-13T15;23.80;2019-07-21;23.50;;;;
2019-09-13T16;24.00;2019-07-22;22.20;;;;
