h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
2019-09-11T20;201.00;2019-09-11;193.70;2019-09;188.60;2019;179.10
2019-09-11T21;201.00;2019-09-12;182.20;2020-01;204.20;2020;223.90
2019-09-11T22;209.00;2019-09-13;239.80;2020-02;188.10;2019;355.80
2019-09-12T00;206.50;2019-09-14;175.90;2019-10;188.70;2020;160.90
2019-09-12T00;193.30;2019-09-15;183.20;2019-11;270.20;2022;190.50
2019-09-12T01;193.30;2019-09-16;186.50;2020-04;188.80;;
2019-09-12T01;237.50;2019-09-17;34.90;2019-07;194.90;;
2019-09-12T01;287.90;2019-09-18;302.60;2019-08;179.10;;
2019-09-12T02;174.00;2019-09-19;35.40;2019-10;80.30;;
2019-09-12T02;266.90;2019-09-20;204.50;2019-12;355.80;;
2019-09-12T02;302.00;2019-09-21;175.40;2020-03;223.90;;
2019-09-12T03;306.20;2019-09-22;181.20;2020-03;43.90;;
2019-09-12T03;179.40;2020-01-29;181.50;2020-05;183.60;;
2019-09-12T04;174.00;2020-01-30;209.10;2020-06;287.00;;
2019-09-12T05;238.10;2020-01-31;271.20;2020-08;213.30;;
2019-09-12T05;185.90;2020-02-01;173.30;2020-07;160.90;;
2019-09-12T06;216.50;2020-02-02;191.20;2022-06;190.50;;
2019-09-12T08;187.40;2020-02-03;195.90;;;;
2019-09-12T09;198.40;2020-02-04;176.70;;;;
2019-09-12T09;195.90;2020-02-05;182.80;;;;
2019-09-12T09;191.20;2019-10-23;181.30;;;;
2019-09-12T10;345.00;2019-11-14;65.90;;;;
2019-09-12T11;55.50;2019-11-15;195.70;;;;
2019-09-12T11;344.00;2019-11-16;336.40;;;;
2019-09-12T15;13.60;2019-11-17;206.30;;;;
2019-09-12T15;332.10;2019-11-18;215.50;;;;
2019-09-12T16;341.10;2019-11-19;342.00;;;;
2019-09-12T16;158.50;2019-11-20;36.20;;;;
2019-09-12T16;7.10;2020-04-04;185.10;;;;
2019-09-12T17;9.70;2020-04-05;180.60;;;;
2019-09-12T18;346.30;2020-04-06;180.70;;;;
2019-09-12T19;53.10;2020-04-07;193.70;;;;
2019-09-12T21;242.50;2019-09-27;9.20;;;;
2019-09-12T22;197.30;2019-09-28;211.40;;;;
2019-09-13T00;173.50;2019-09-29;188.50;;;;
2019-09-13T01;181.90;2019-07-01;56.60;;;;
2019-09-13T01;174.60;2019-07-02;6.70;;;;
2019-09-13T02;176.70;2019-07-03;340.70;;;;
2019-09-13T04;177.50;2019-07-04;10.30;;;;
2019-09-13T05;183.80;2019-07-05;177.40;;;;
2019-09-13T05;196.90;2019-07-06;176.50;;;;
2019-09-13T05;181.50;2019-07-07;316.40;;;;
2019-09-13T06;192.20;2019-07-08;74.20;;;;
2019-09-13T06;182.60;2019-07-09;43.10;;;;
2019-09-13T07;181.40;2019-07-10;310.30;;;;
2019-09-13T08;187.10;2019-07-11;327.40;;;;
2019-09-13T08;196.30;2019-07-12;4.80;;;;
2019-09-13T10;169.10;2019-07-13;292.10;;;;
