h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
2021-04-26T17;0.00;2021-04-26;1.56;2021-04;0.00;2021;0.00
2021-04-26T18;0.00;2021-04-27;1.56;2021-05;3.15;;
2021-04-26T18;0.00;2021-04-28;1.56;2021-06;3.13;;
2021-04-26T18;0.00;2021-04-29;1.57;2021-07;3.13;;
2021-04-26T20;0.00;2021-04-30;1.56;2021-08;0.00;;
2021-04-26T22;0.00;2021-05-01;1.57;;;;
2021-04-26T23;0.00;2021-05-02;0.00;;;;
2021-04-27T01;0.00;2021-05-03;1.56;;;;
2021-04-27T01;0.00;2021-05-04;1.56;;;;
2021-04-27T03;0.00;2021-05-05;1.56;;;;
2021-04-27T03;0.00;2021-05-06;1.57;;;;
2021-04-27T03;0.00;2021-05-07;1.56;;;;
2021-04-27T03;0.00;2021-05-08;1.56;;;;
2021-04-27T05;0.00;2021-05-09;1.56;;;;
2021-04-27T07;0.00;2021-05-10;1.56;;;;
2021-04-27T07;0.00;2021-05-11;1.56;;;;
2021-04-27T09;0.00;2021-05-12;1.56;;;;
2021-04-27T09;0.00;2021-05-13;0.00;;;;
2021-04-27T10;0.00;2021-05-14;1.56;;;;
2021-04-27T10;0.00;2021-05-15;1.56;;;;
2021-04-27T11;0.00;2021-05-16;1.56;;;;
2021-04-27T11;0.00;2021-05-17;1.56;;;;
2021-04-27T12;0.00;2021-05-18;1.56;;;;
2021-04-27T13;0.00;2021-05-19;1.57;;;;
2021-04-27T14;0.00;2021-05-20;1.56;;;;
2021-04-27T15;0.00;2021-05-21;1.57;;;;
2021-04-27T16;0.00;2021-05-22;1.57;;;;
2021-04-27T16;0.00;2021-05-23;1.56;;;;
2021-04-27T17;0.00;2021-05-24;1.56;;;;
2021-04-27T17;0.00;2021-05-25;0.00;;;;
2021-04-27T21;0.00;2021-05-26;3.15;;;;
2021-04-28T00;0.00;2021-05-27;3.11;;;;
2021-04-28T02;0.00;2021-05-28;3.15;;;;
2021-04-28T03;0.00;2021-05-29;3.14;;;;
2021-04-28T05;0.00;2021-05-30;0.77;;;;
2021-04-28T05;0.00;2021-05-31;3.15;;;;
2021-04-28T06;0.00;2021-06-01;3.15;;;;
2021-04-28T07;0.00;2021-06-02;3.15;;;;
2021-04-28T07;0.00;2021-06-03;3.15;;;;
2021-04-28T07;0.00;2021-06-04;3.16;;;;
2021-04-28T10;0.00;2021-06-05;3.16;;;;
2021-04-28T12;0.00;2021-06-06;3.12;;;;
2021-04-28T14;0.00;2021-06-07;2.57;;;;
2021-04-28T16;0.00;2021-06-08;3.15;;;;
2021-04-26T16;0.00;2021-06-09;3.15;;;;
2021-04-28T16;0.00;2021-06-10;3.15;;;;
2021-04-26T19;0.00;2021-06-11;3.15;;;;
2021-04-28T17;0.00;2021-06-12;0.00;;;;
2021-04-26T19;0.00;2021-06-13;3.16;;;;
2021-04-28T17;0.00;2021-06-14;3.14;;;;
2021-04-26T20;0.00;2021-06-15;3.16;;;;
2021-04-28T18;0.00;2021-06-16;0.00;;;;
2021-04-26T22;0.00;2021-06-17;3.14;;;;
2021-04-28T19;0.00;2021-07-11;3.14;;;;
2021-04-26T23;0.00;2021-07-12;3.14;;;;
2021-04-28T21;0.00;2021-07-13;25.36;;;;
2021-04-27T00;0.00;2021-07-14;3.12;;;;
2021-04-28T21;0.00;2021-07-15;3.12;;;;
2021-04-27T00;0.00;2021-07-16;19.23;;;;
2021-04-28T22;0.00;2021-07-17;3.14;;;;
2021-04-27T02;0.00;2021-07-18;3.12;;;;
2021-04-28T23;0.00;2021-07-19;3.12;;;;
2021-04-27T04;0.00;2021-07-20;3.12;;;;
2021-04-28T23;0.00;2021-07-21;3.13;;;;
2021-04-27T04;0.00;2021-07-22;3.14;;;;
2021-04-29T00;0.00;2021-07-23;1.53;;;;
2021-04-27T08;0.00;2021-07-24;1.56;;;;
2021-04-29T01;0.00;2021-07-25;1.53;;;;
2021-04-27T11;0.00;2021-07-26;1.53;;;;
2021-04-29T01;0.00;2021-07-27;1.50;;;;
2021-04-27T12;0.00;2021-07-28;1.48;;;;
2021-04-29T03;0.00;2021-07-29;0.00;;;;
2021-04-27T12;0.00;2021-07-30;1.56;;;;
2021-04-29T08;0.07;2021-07-31;0.00;;;;
2021-04-27T14;0.00;2021-08-01;0.00;;;;
2021-04-29T08;0.00;2021-08-02;1.56;;;;
2021-04-27T14;0.00;2021-08-03;1.56;;;;
2021-04-29T09;0.00;2021-08-04;1.57;;;;
2021-04-27T15;0.00;2021-08-05;0.00;;;;
2021-04-29T09;0.00;2021-08-06;0.00;;;;
2021-04-27T15;0.00;2021-08-07;0.00;;;;
2021-04-29T12;0.00;2021-08-08;0.00;;;;
2021-04-27T16;0.00;2021-08-09;0.00;;;;
2021-04-29T12;0.00;2021-08-10;0.00;;;;
2021-04-27T16;0.00;2021-08-11;0.00;;;;
2021-04-29T13;0.00;2021-08-12;0.00;;;;
2021-04-27T19;0.00;2021-08-13;0.00;;;;
2021-04-29T13;0.00;2021-08-14;0.00;;;;
2021-04-27T19;0.00;2021-08-15;0.00;;;;
2021-04-29T13;0.00;2021-08-16;0.00;;;;
2021-04-27T20;0.00;2021-08-17;0.00;;;;
2021-04-29T14;0.00;2021-08-18;0.00;;;;
2021-04-27T22;0.00;2021-08-19;0.00;;;;
2021-04-29T15;0.00;2021-08-20;0.00;;;;
2021-04-27T23;0.00;2021-08-21;0.00;;;;
2021-04-29T16;0.00;2021-08-22;0.00;;;;
2021-04-28T01;0.00;2021-08-23;0.00;;;;
2021-04-29T16;0.00;2021-08-24;0.00;;;;
2021-04-28T02;0.00;2021-08-25;0.00;;;;
2021-04-29T17;0.00;2021-08-26;0.00;;;;
2021-04-28T03;0.00;2021-08-27;0.00;;;;
2021-04-29T18;0.00;2021-08-28;0.00;;;;
2021-04-28T04;0.00;2021-08-29;0.00;;;;
2021-04-29T19;0.00;2021-08-30;0.00;;;;
2021-04-28T06;0.16;2021-08-31;0.00;;;;
2021-04-29T21;0.00;2021-06-25;3.14;;;;
2021-04-28T07;0.00;2021-06-26;3.15;;;;
2021-04-30T01;0.00;2021-06-27;3.15;;;;
2021-04-28T08;0.00;2021-06-28;3.15;;;;
2021-04-30T02;0.00;2021-06-29;3.15;;;;
