Jahr;Kennzahl;Oberkategorie;Kategorie;Standort;Sektor;Untersektor;Tonnen CO2-eq./a Schweiz;Tonnen/a Schweiz;Tonnen CO2-eq./a Stadt St.Gallen;Tonnen/a Stadt St.Gallen
2018;Export;Übrige Materialien;Mauerwerk;Schweiz;Bau;Landwirtschaftsgebäude;0;0;0.0;0.0
2018;Export;Übrige Materialien;Mauerwerk;Schweiz;Bau;Übrige Gebäude;0;0;0.0;0.0
2018;Export;Übrige Materialien;Stahl;Schweiz;Mobilität;2-Rad;0;2327;0.0;20.643291005910235
2018;Export;Übrige Materialien;Stahl;Schweiz;Mobilität;3.5 t;0;12963;0.0;114.99741354087425
2018;Export;Übrige Materialien;Stahl;Schweiz;Mobilität;Bus;0;4808;0.0;42.65274738135643
2018;Export;Übrige Materialien;Stahl;Schweiz;Produktion & Konsum;Ernährung;0;0;0.0;0.0
2018;Export;Übrige Materialien;Stahl;Schweiz;Produktion & Konsum;Industrie;1491289;1326088;13229.528492012405;11763.996769851952
2018;Export;Übrige Materialien;Stahl;Schweiz;Bau;Industriegebäude;0;0;0.0;0.0
2018;Export;Übrige Materialien;Stahl;Schweiz;Mobilität;Schiff;0;368;0.0;3.2646029609690443
2018;Export;Übrige Materialien;Stahl;Schweiz;Bau;Strasse;0;0;0.0;0.0
2018;Export;Übrige Materialien;Stahl;Schweiz;Produktion & Konsum;Wohnen, Arbeiten;632775;562678;5613.475920182574;4991.631154543858
2018;Export;Übrige Materialien;Textilien, Leder;Schweiz;Mobilität;2-Rad;0;0;0.0;0.0
2018;Export;Übrige Materialien;Textilien, Leder;Schweiz;Bau;Einfamilienhäuser;0;0;0.0;0.0
2018;Export;Übrige Materialien;Textilien, Leder;Schweiz;Produktion & Konsum;Gesundheit;0;0;0.0;0.0
2018;Export;Übrige Materialien;Textilien, Leder;Schweiz;Produktion & Konsum;Kommunikation, Bildung;0;0;0.0;0.0
2018;Export;Übrige Materialien;Textilien, Leder;Schweiz;Mobilität;Land. und Ind. Fahrzeuge;0;0;0.0;0.0
2018;Export;Übrige Materialien;Textilien, Leder;Schweiz;Mobilität;Lastwagen;0;0;0.0;0.0
2018;Export;Übrige Materialien;Textilien, Leder;Schweiz;Mobilität;Schiff;0;0;0.0;0.0
2018;Export;Übrige Materialien;Textilien, Leder;Schweiz;Bau;Strasse;0;0;0.0;0.0
