Titel;Datum;Verwaltungsebene;Typ;Resultat;Ja-Stimmen;Nein-Stimmen;URL;Status;Total der Gemeinden;Ausgezählte Gemeinden;Letzte Änderung;turnout
Ersatzwahl Kreisgericht Rheintal: nebenamtliche/r Richter/in;2019-02-10;none;election;;;;https://wab.sg.ch/election/ersatzwahl-kreisgericht-rheintal-nebenamtliche-r-richter-in-1;abgeschlossen;13;13;2022-01-19T07:36:19+01:00;0.0
Bundesgesetz über die Steuerreform und die AHV-Finanzierung (STAF);2019-05-19;federation;vote;accepted;66.3380386884756;33.661961311524394;https://wab.sg.ch/vote/bundesgesetz-ueber-die-steuerreform-und-die-ahv-finanzierung-staf;abgeschlossen;78;78;2022-01-19T07:36:20+01:00;41.806745371927086
Kantonsratsbeschluss über die Gesamterneuerung des Gewerblichen Berufs-  und Weiterbildungszentrums St.Gallen, Standort Demutstrasse;2019-11-17;canton;vote;accepted;84.00989295365781;15.990107046342189;https://wab.sg.ch/vote/kantonsratsbeschluss-ueber-die-gesamterneuerung-des-gewerblichen-berufs-und-weiterbildungszentrums-st-gallen-standort-demutstrasse;abgeschlossen;77;77;2022-01-19T07:36:22+01:00;34.05024960089197
Kantonsratsbeschluss über die Genehmigung des Regierungsbeschlusses über den Beitritt zur Vereinbarung über die Ost – Ostschweizer Fachhochschule;2019-11-17;canton;vote;accepted;81.78837992097175;18.21162007902825;https://wab.sg.ch/vote/kantonsratsbeschluss-ueber-die-genehmigung-des-regierungsbeschlusses-ueber-den-beitritt-zur-vereinbarung-ueber-die-ost-ostschweizer-fachhochschule;abgeschlossen;77;77;2022-01-19T07:36:22+01:00;33.852596102678454
Erneuerungswahl der st.gallischen Mitglieder des Ständerates (2. Wahlgang);2019-11-17;canton;election;;;;https://wab.sg.ch/election/erneuerungswahl-der-st-gallischen-mitglieder-des-staenderates-zweiter-wahlgang;abgeschlossen;77;77;2022-01-19T07:36:18+01:00;36.10407216886704
Gesetz über die Pflegefinanzierung;2011-02-13;canton;vote;accepted;82.43269635238268;17.567303647617322;https://wab.sg.ch/vote/gesetz-ueber-die-pflegefinanzierung;abgeschlossen;85;85;2022-01-19T07:36:21+01:00;45.40601885759153
Ersatzwahl Kreisgericht See-Gaster: Richter/in;2011-05-15;none;election;;;;https://wab.sg.ch/election/ersatzwahl-kreisgericht-see-gaster-haupt-oder-teilamtliche-r-richter-in;abgeschlossen;10;10;2022-07-21T11:44:47+02:00;0.0
Ersatzwahl Kreisgericht Rheintal: Gerichtspräsident/in;2011-10-23;none;election;;;;https://wab.sg.ch/election/ersatzwahl-kreisgericht-rheintal-kreisgerichtspraesident-in-1;abgeschlossen;13;13;2022-07-12T14:46:27+02:00;0.0
Gesetzesinitiative «‹Schluss mit den Steuervorteilen für ausländische Millionärinnen und Millionäre› (Abschaffung der Pauschalsteuer)» und Gegenvorschlag des Kantonsrates in Form des VIII. Nachtrags zum Steuergesetz vom 16. Februar 2011;2011-11-27;canton;vote;counter-proposal;63.42272921412301;36.57727078587699;https://wab.sg.ch/vote/gesetzesinitiative-schluss-mit-den-steuervorteilen-fuer-auslaendische-millionaerinnen-und-millionaere-abschaffung-der-pauschalsteuer;abgeschlossen;85;85;2022-01-19T07:36:22+01:00;43.323929801541745
Volksinitiative «Gegen Masseneinwanderung»;2014-02-09;federation;vote;accepted;55.94797571432682;44.05202428567318;https://wab.sg.ch/vote/volksinitiative-gegen-masseneinwanderung;abgeschlossen;78;78;2022-01-19T07:36:22+01:00;55.54803724423182
