BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
17;Kanton St.Gallen;Politik;Parteistärken;null;133;Parteistärke BDP (Kantonsratswahlen) [%];2012;2.6;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;133;Parteistärke BDP (Kantonsratswahlen) [%];2016;1.5;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;133;Parteistärke BDP (Kantonsratswahlen) [%];2020;0.2;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;134;Parteistärke CVP (Kantonsratswahlen) [%];2004;28.7;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;134;Parteistärke CVP (Kantonsratswahlen) [%];2008;26.1;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;134;Parteistärke CVP (Kantonsratswahlen) [%];2012;23.0;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;134;Parteistärke CVP (Kantonsratswahlen) [%];2016;20.4;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;134;Parteistärke CVP (Kantonsratswahlen) [%];2020;22.2;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;136;Parteistärke FDP (Kantonsratswahlen) [%];2004;18.8;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;136;Parteistärke FDP (Kantonsratswahlen) [%];2008;18.3;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;136;Parteistärke FDP (Kantonsratswahlen) [%];2012;18.4;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;136;Parteistärke FDP (Kantonsratswahlen) [%];2016;20.3;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;136;Parteistärke FDP (Kantonsratswahlen) [%];2020;18.3;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;138;Parteistärke GP (Kantonsratswahlen) [%];2004;4.8;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;138;Parteistärke GP (Kantonsratswahlen) [%];2008;5.1;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;138;Parteistärke GP (Kantonsratswahlen) [%];2012;6.0;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;138;Parteistärke GP (Kantonsratswahlen) [%];2016;5.2;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;138;Parteistärke GP (Kantonsratswahlen) [%];2020;7.6;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;139;Parteistärke GLP (Kantonsratswahlen) [%];2004;0.8;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;139;Parteistärke GLP (Kantonsratswahlen) [%];2008;2.4;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;139;Parteistärke GLP (Kantonsratswahlen) [%];2012;5.0;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;139;Parteistärke GLP (Kantonsratswahlen) [%];2016;3.9;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;139;Parteistärke GLP (Kantonsratswahlen) [%];2020;6.1;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;140;Parteistärke SP (Kantonsratswahlen) [%];2004;18.8;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;140;Parteistärke SP (Kantonsratswahlen) [%];2008;14.4;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;140;Parteistärke SP (Kantonsratswahlen) [%];2012;16.2;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;140;Parteistärke SP (Kantonsratswahlen) [%];2016;16.0;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;140;Parteistärke SP (Kantonsratswahlen) [%];2020;15.3;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;142;Parteistärke SVP (Kantonsratswahlen) [%];2004;24.6;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;142;Parteistärke SVP (Kantonsratswahlen) [%];2008;30.5;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;142;Parteistärke SVP (Kantonsratswahlen) [%];2012;25.4;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;142;Parteistärke SVP (Kantonsratswahlen) [%];2016;29.5;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;142;Parteistärke SVP (Kantonsratswahlen) [%];2020;26.9;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;427;Parteistärke EVP (Kantonsratswahlen) [%];2004;1.8;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;427;Parteistärke EVP (Kantonsratswahlen) [%];2008;2.2;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;427;Parteistärke EVP (Kantonsratswahlen) [%];2012;2.2;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;427;Parteistärke EVP (Kantonsratswahlen) [%];2016;1.7;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;427;Parteistärke EVP (Kantonsratswahlen) [%];2020;2.3;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;141;SP = wählerstärkste Partei (Kantonsratsw.) [%];2004;0.0;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;141;SP = wählerstärkste Partei (Kantonsratsw.) [%];2008;0.0;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;141;SP = wählerstärkste Partei (Kantonsratsw.) [%];2012;0.0;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;141;SP = wählerstärkste Partei (Kantonsratsw.) [%];2016;0.0;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;141;SP = wählerstärkste Partei (Kantonsratsw.) [%];2020;0.0;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;135;CVP = wählerstärkste Partei (Kantonsratsw.) [%];2004;28.7;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;135;CVP = wählerstärkste Partei (Kantonsratsw.) [%];2008;0.0;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;135;CVP = wählerstärkste Partei (Kantonsratsw.) [%];2012;0.0;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;135;CVP = wählerstärkste Partei (Kantonsratsw.) [%];2016;0.0;%;Prozent;
17;Kanton St.Gallen;Politik;Parteistärken;null;135;CVP = wählerstärkste Partei (Kantonsratsw.) [%];2020;0.0;%;Prozent;
