BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;1;Wohnbevölkerung [Pers.];2010;489123;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;1;Wohnbevölkerung [Pers.];2011;493999;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;1;Wohnbevölkerung [Pers.];2012;498412;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;1;Wohnbevölkerung [Pers.];2013;502376;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;1;Wohnbevölkerung [Pers.];2014;506756;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;1;Wohnbevölkerung [Pers.];2015;510850;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;1;Wohnbevölkerung [Pers.];2016;512767;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;1;Wohnbevölkerung [Pers.];2017;514760;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;1;Wohnbevölkerung [Pers.];2018;518104;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;1;Wohnbevölkerung [Pers.];2019;520881;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;1;Wohnbevölkerung [Pers.];2020;524147;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;1;Wohnbevölkerung [Pers.];2021;529086;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1981;391671;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1982;394387;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1983;396520;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1984;398626;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1985;401216;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1986;403931;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1987;407012;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1988;410773;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1989;414718;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1990;420268;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1991;427648;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1992;432819;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1993;436967;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1994;440744;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1995;442350;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1996;443839;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1997;443880;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1998;444891;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];1999;447609;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2000;449399;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2001;452904;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2002;455251;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2003;457289;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2004;458821;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2005;459999;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2006;461810;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2007;465937;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2008;471152;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2009;474676;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2010;478907;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2011;483156;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2012;487060;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2013;491699;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2014;495824;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2015;499065;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2016;502552;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2017;504686;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2018;507697;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2019;510734;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2020;514504;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;2;Ständige Wohnbevölkerung [Pers.];2021;519245;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;3;Ständige Wohnbevölkerung (Szenario Trend) [Pers.];2021;519068;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;3;Ständige Wohnbevölkerung (Szenario Trend) [Pers.];2025;537391;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;3;Ständige Wohnbevölkerung (Szenario Trend) [Pers.];2030;559735;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;3;Ständige Wohnbevölkerung (Szenario Trend) [Pers.];2035;581417;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;3;Ständige Wohnbevölkerung (Szenario Trend) [Pers.];2040;603008;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;3;Ständige Wohnbevölkerung (Szenario Trend) [Pers.];2045;624378;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;3;Ständige Wohnbevölkerung (Szenario Trend) [Pers.];2050;645156;Pers.;Personen;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];1981;12.9;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];1982;13.1;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];1983;13.2;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];1984;13.2;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];1985;13.3;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];1986;13.5;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];1987;13.8;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];1988;14.2;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];1989;14.6;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];1990;15.4;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];1991;16.2;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];1992;17.0;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];1993;17.7;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];1994;18.3;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];1995;18.6;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];1996;18.8;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];1997;18.9;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];1998;19.1;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];1999;19.4;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];2000;19.6;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];2001;19.8;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];2002;20.0;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];2003;20.3;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];2004;20.4;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];2005;20.4;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];2006;20.5;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];2007;20.9;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];2008;21.5;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];2009;21.7;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];2010;21.8;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];2011;22.1;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];2012;22.5;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];2013;22.9;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];2014;23.3;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];2015;23.5;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];2016;23.8;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];2017;24.0;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];2018;24.1;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];2019;24.4;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];2020;24.7;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;4;Ausländeranteil [%];2021;24.9;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;5;Ausländer/-innen mit Aufenthalt in CH < 10 Jahre  [%];2010;7.5;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;5;Ausländer/-innen mit Aufenthalt in CH < 10 Jahre  [%];2011;7.7;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;5;Ausländer/-innen mit Aufenthalt in CH < 10 Jahre  [%];2012;8.0;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;5;Ausländer/-innen mit Aufenthalt in CH < 10 Jahre  [%];2013;8.3;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;5;Ausländer/-innen mit Aufenthalt in CH < 10 Jahre  [%];2014;8.6;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;5;Ausländer/-innen mit Aufenthalt in CH < 10 Jahre  [%];2015;8.8;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;5;Ausländer/-innen mit Aufenthalt in CH < 10 Jahre  [%];2016;9.0;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;5;Ausländer/-innen mit Aufenthalt in CH < 10 Jahre  [%];2017;8.9;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;5;Ausländer/-innen mit Aufenthalt in CH < 10 Jahre  [%];2018;8.7;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;5;Ausländer/-innen mit Aufenthalt in CH < 10 Jahre  [%];2019;8.9;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;5;Ausländer/-innen mit Aufenthalt in CH < 10 Jahre  [%];2020;9.1;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;5;Ausländer/-innen mit Aufenthalt in CH < 10 Jahre  [%];2021;9.2;%;Prozent;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;6;Bevölkerungsdichte [Einw./km2];1997;227.5;Einw./km2;Einwohner pro km2;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;6;Bevölkerungsdichte [Einw./km2];1998;228.0;Einw./km2;Einwohner pro km2;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;6;Bevölkerungsdichte [Einw./km2];1999;229.4;Einw./km2;Einwohner pro km2;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;6;Bevölkerungsdichte [Einw./km2];2000;230.3;Einw./km2;Einwohner pro km2;
17;Kanton St.Gallen;Bevölkerung;Bevölkerungsbestand;null;6;Bevölkerungsdichte [Einw./km2];2001;232.1;Einw./km2;Einwohner pro km2;
