Thema;T_d;TAG_Ja-Stimmen_in_der_Stadt_St_Gallen;TAG_Nein-Stimmen_in_der_Stadt_St_Gallen;TAG_Leer_eingereichte_Stimmen_in_der_Stadt_St_Gallen;TAG_Ungültige_Stimmen_in_der_Stadt_St_Gallen;TAG_Stimmbeteiligung_in_der_Stadt_St_Gallen
Bundesbeschluss vom 30.9.2016 über die erleichterte Einbürgerung von Personen der dritten Ausländergeneration;2017-02-12;13656.0;7258.0;127.0;3.0;46.7
Bundesgesetz über die Reform der Altersvorsorge 2020;2017-09-24;11369.0;10397.0;231.0;2.0;49.2
Neue Finanzordnung 2021;2018-03-04;20583.0;3813.0;1062.0;3.0;57.2
Kantonsratsbeschluss über Erneuerung und Umbau des Theaters St.Gallen;2018-03-04;18772.0;6253.0;432.0;4.0;57.2
Beitrag Olma-Überdeckung in der Höhe von maximal CHF 18 Mio.;2018-03-04;17792.0;6945.0;719.0;5.0;57.2
Bundesgesetz über Geldspiele (Geldspielgesetz);2018-06-10;11644.0;4891.0;421.0;0.0;37.9
Bundesbeschluss über die Velowege sowie die Fuss- und Wanderwege;2018-08-23;13320.0;4327.0;143.0;0.0;39.9
Bundesbeschluss vom 28. September 2018 über die Genehmigung und die Umsetzung des Notenaustauschs zwischen der Schweiz und der EU betreffend die Übernahme der Richtlinie (EU) 2017/853 zur Änderung der EU-Waffenrichtlinie (Weiterentwicklung des Schengen-Besitzstands);2019-05-19;15236.0;3999.0;158.0;1.0;43.6
Kantonsratsbeschluss über die Gesamterneuerung des Gewerblichen Berufs- und Weiterbildungszentrums St.Gallen, Standort Demutstrasse;2019-11-17;14246.0;1704.0;378.0;2.0;36.8
VIII. Nachtrag zum Einführungsgesetz zur Bundesgesetzgebung über die Krankenversicherung;2019-11-17;12792.0;2626.0;911.0;1.0;36.8
Bundesgesetz vom 17.6.2016 über steuerliche Massnahmen zur Stärkung der Wettbewerbsfähigkeit des Unternehmensstandorts Schweiz (Unternehmenssteuerreformgesetz III);2017-02-12;7234.0;13216.0;592.0;2.0;46.7
Energiegesetz (EnG);2017-05-21;12028.0;6547.0;52.0;5.0;41.3
Ausbau des städtischen Fernwärmenetzes, 2. Ausbauphase;2017-11-26;15280.0;2511.0;132.0;1.0;40.1
«Mobilitätsinitiative»;2018-03-04;7562.0;16725.0;1165.0;9.0;57.2
Volksinitiative «Für krisensicheres Geld: Geldschöpfung allein durch die Nationalbank! (Vollgeld-Initiative)»;2018-06-10;5246.0;11377.0;332.0;1.0;37.9
Kantonsratsbeschluss über eine Einmaleinlage in die St.Galler Pensionskasse;2018-06-10;10952.0;5416.0;587.0;1.0;37.9
III. Nachtrag zum Übertretungsstrafgesetz;2018-08-23;9224.0;7924.0;639.0;3.0;39.9
Kantonsratsbeschluss über die Erweiterung und Erneuerung des Regionalgefängnisses und der Staatsanwaltschaft Altstätten;2018-11-25;17582.0;3605.0;1236.0;2.0;50.1
V. Nachtrag zum Einführungsgesetz zur Bundesgesetzgebung über die Berufsbildung;2018-11-25;16480.0;3575.0;2367.0;3.0;50.1
Volksinitiative «Zersiedelung stoppen – für eine nachhaltige Siedlungsentwicklung (Zersiedelungsinitiative)»;2019-02-10;7303.0;9251.0;117.0;1.0;37.5
Bundesgesetz vom 28. September 2018 über die Steuerreform und die AHV-Finanzierung (STAF);2019-05-19;13513.0;5439.0;439.0;3.0;43.6
Nachtrag VI zur Gemeindeordnung (Wahl des Stadtpräsidiums und der übrigen Mitglieder des Stadtrats);2019-06-30;11669.0;1716.0;681.0;1.0;31.6
Änderung vom 14. Dezember 2018 des Strafgesetzbuches und des Militärstrafgesetzes (Diskriminierung und Aufruf zu Hass aufgrund der sexuellen Orientierung);2020-02-09;13216.0;5881.0;306.0;1.0;43.7
Bundesbeschluss vom 30.9.2016 über die Schaffung eines Fonds für die Nationalstrassen und den Agglomerationsverkehr;2017-02-12;11743.0;8553.0;746.0;2.0;46.7
Gegenvorschlag des Stadtparlaments;2017-02-12;8875.0;9329.0;1852.0;0.0;46.7
Nachtrag V zur Gemeindeordnung (Wahl des Stadtpräsidiums und der übrigen Mitglieder des Stadtrats);2017-02-12;15313.0;2717.0;3011.0;3.0;46.7
Bundesbeschluss über die Ernährungssicherheit (direkter Gegenentwurf zur zurückgezogenen Volksinitiative «Für Ernährungssicherheit»);2017-09-24;16173.0;5186.0;637.0;3.0;49.2
Volksinitiative «Für gesunde sowie umweltfreundlich und fair hergestellte Lebensmittel (Fair-Food-Initiative)»;2018-08-23;7038.0;10523.0;229.0;0.0;39.9
Volksinitiative «Für Ernährungssouveränität. Die Landwirtschaft betrifft uns alle»;2018-08-23;5126.0;12268.0;395.0;1.0;39.9
Beschluss des Stadtparlaments zur Flottenerneuerung und Umstellung der Linien 3 Heiligkreuz – St.Josefen, 4 Wittenbach – Säntispark und 6 St.Georgen – Heiligkreuz auf Batterietrolleybus-Betrieb;2018-11-25;17612.0;4152.0;660.0;1.0;50.1
Kantonsratsbeschluss über einen Sonderkredit für die IT-Bildungsoffensive;2019-02-10;11879.0;4453.0;338.0;1.0;37.5
Kantonsratsbeschluss über den Bau des Klanghauses Toggenburg;2019-06-30;8845.0;5048.0;174.0;0.0;31.6
Projekt für die Sanierung und Erweiterung des Gebäudes von Feuerwehr und Zivilschutz;2019-11-17;14011.0;1966.0;352.0;1.0;36.8
Einheitsinitiative «Behördenlöhne vors Volk»;2020-02-09;7676.0;10882.0;844.0;2.0;43.7
Zonenplaninitiative «Grünfläche erhalten – kein überdimensionierter Tageshort auf der Sömmerliwiese»;2017-02-12;11595.0;7849.0;612.0;0.0;46.7
Volksinitiative «Ja zur Abschaffung der Radio- und Fernsehgebühren (Abschaffung der Billag-Gebühren)»;2018-03-04;7443.0;17872.0;138.0;8.0;57.2
Nachtrag zum Universitätsgesetz (Ausbildung von Ärztinnen und Ärzten in St.Gallen – Joint Medical Master);2018-06-10;14423.0;2234.0;299.0;0.0;37.9
Volksinitiative «Für die Würde der landwirtschaftlichen Nutztiere (Hornkuh-Initiative)»;2018-11-25;10370.0;11375.0;677.0;3.0;50.1
Volksinitiative «Schweizer Recht statt fremde Richter (Selbstbestimmungsinitiative)»;2018-11-25;5721.0;16469.0;229.0;6.0;50.1
Änderung vom 16. März 2018 des Bundesgesetzes über den Allgemeinen Teil des Sozialversicherungsrechts (ATSG) (Gesetzliche Grundlage für die Überwachung von Versicherten);2018-11-25;14118.0;7915.0;385.0;7.0;50.1
Kantonsratsbeschluss über die Erstellung des Campus Wattwil (Ersatzneubau Kantonsschule Wattwil sowie Erneuerung und Erweiterung Berufs- und Weiterbildungszentrum Toggenburg);2019-11-17;12615.0;3020.0;694.0;1.0;36.8
Kantonsratsbeschluss über die Genehmigung des Regierungsbeschlusses über den Beitritt zur Vereinbarung über die Ost – Ostschweizer Fachhochschule;2019-11-17;12919.0;2457.0;953.0;1.0;36.8
Stichfrage: Soll die Zonenplaninitiative oder der Gegenvorschlag in Kraft treten?;2017-02-12;9797.0;8568.0;1691.0;0.0;46.7
Bundesbeschluss über die Zusatzfinanzierung der AHV durch eine Erhöhung der Mehrwertsteuer;2017-09-24;11942.0;9853.0;202.0;2.0;49.2
Sanierung und Erneuerung Schulhaus Zil;2018-08-23;14035.0;3296.0;459.0;0.0;39.9
Kantonsratsbeschluss über die Erstellung des Campus Platztor der Universität St.Gallen;2019-06-30;9246.0;4668.0;153.0;0.0;31.7
Volksinitiative «Mehr bezahlbare Wohnungen»;2020-02-09;9743.0;9428.0;233.0;0.0;43.7
