T_h;Bad_ID;Name;TAG_Besucherstand_Bäder_dSSG;TAG_Max._Kapazität_der_Bäder_während_Corona;Bemerkung Max. Kapazitäten
2020-12-19T10:00:00+01:00;c5ed7622ecbf1f;Freibad Lerchenfeld;48;1480;Eislaufen im Winter für max. 180 Personen
2020-12-19T14:30:00+01:00;c5ed7622ecbf1f;Freibad Lerchenfeld;158;1480;Eislaufen im Winter für max. 180 Personen
2020-12-19T16:15:00+01:00;c5ed7622ecbf1f;Freibad Lerchenfeld;129;1480;Eislaufen im Winter für max. 180 Personen
2020-12-19T18:00:00+01:00;c5ed7622ecbf1f;Freibad Lerchenfeld;49;1480;Eislaufen im Winter für max. 180 Personen
2020-12-19T18:45:00+01:00;c5ed7622ecbf1f;Freibad Lerchenfeld;0;1480;Eislaufen im Winter für max. 180 Personen
2020-12-21T09:45:00+01:00;c5ed7622ecbf1f;Freibad Lerchenfeld;14;1480;Eislaufen im Winter für max. 180 Personen
2020-12-21T12:00:00+01:00;c5ed7622ecbf1f;Freibad Lerchenfeld;118;1480;Eislaufen im Winter für max. 180 Personen
2020-12-21T13:15:00+01:00;c5ed7622ecbf1f;Freibad Lerchenfeld;106;1480;Eislaufen im Winter für max. 180 Personen
2020-12-21T14:00:00+01:00;c5ed7622ecbf1f;Freibad Lerchenfeld;155;1480;Eislaufen im Winter für max. 180 Personen
2020-12-21T16:00:00+01:00;c5ed7622ecbf1f;Freibad Lerchenfeld;174;1480;Eislaufen im Winter für max. 180 Personen
2020-12-22T12:45:00+01:00;c5ed7622ecbf1f;Freibad Lerchenfeld;0;1480;Eislaufen im Winter für max. 180 Personen
2020-06-05T11:45:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;0;1200;
2020-06-06T14:00:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;7;1200;
2020-06-12T12:30:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;49;1200;
2020-06-12T12:45:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;52;1200;
2020-06-12T13:30:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;57;1200;
2020-06-12T13:45:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;60;1200;
2020-06-12T15:15:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;88;1200;
2020-06-12T18:30:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;23;1200;
2020-06-12T20:15:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;0;1200;
2020-06-13T09:30:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;12;1200;
2020-06-13T10:30:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;25;1200;
2020-06-13T11:15:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;35;1200;
2020-06-13T13:00:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;60;1200;
2020-06-13T13:15:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;69;1200;
2020-06-13T15:30:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;67;1200;
2020-06-13T17:00:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;36;1200;
2020-06-13T18:30:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;0;1200;
2020-06-20T09:15:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;1;1200;
2020-06-20T09:30:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;3;1200;
2020-06-20T10:45:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;2;1200;
2020-06-20T12:15:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;3;1200;
2020-06-20T14:30:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;7;1200;
2020-06-20T16:00:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;11;1200;
2020-06-21T14:30:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;37;1200;
2020-06-21T18:45:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;0;1200;
2020-06-22T10:00:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;0;1200;
2020-06-22T10:30:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;0;1200;
2020-06-22T15:15:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;5;1200;
2020-06-22T15:45:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;8;1200;
2020-06-22T16:15:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;7;1200;
2020-06-22T18:00:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;3;1200;
2020-06-22T18:45:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;2;1200;
2020-06-23T09:15:00+02:00;c5ed7621c47da1;Familienbad Dreilinden;20;1200;
