T_d;Wochentag;Arbeitstag;Wetter;TAG_Höchsttemperatur_an_der_Multergasse_dSSG;TAG_Tiefsttemperatur_an_der_Multergasse_dSSG;TAG_Gesamtanzahl_Passanten_an_der_Multergasse_dSSG;TAG_Anzahl_Passanten_richtung_Marktgasse_an_der_Multergasse_dSSG;TAG_Anzahl_Passanten_richtung_Oberer_Graben_an_der_Multergasse_dSSG;TAG_Gesamtanzahl_Erwachsene_Passanten_an_der_Multergasse_dSSG;TAG_Gesamtanzahl_Kinder_Passanten_an_der_Multergasse_dSSG;TAG_Anzahl_Erwachsene_Passanten_richtung_Marktgasse_an_der_Multergasse_dSSG;TAG_Anzahl_Erwachsene_Passanten_richtung_Oberer_Graben_an_der_Multergasse_dSSG;TAG_Anzahl_Kinder_Passanten_richtung_Marktgasse_an_der_Multergasse_dSSG;TAG_Anzahl_Kinder_Passanten_richtung_Oberer_Graben_an_der_Multergasse_dSSG
2020-08-21;Freitag;Werktage;clear-day;31.0 °C;17.4 °C;11132;5893;5239;10832;300;5734;5098;159;141
2020-08-22;Samstag;Wochenende;rain;21.63;16.89;16852;9132;7720;16227;625;8814;7413;318;307
2020-08-23;Sonntag;Wochenende;partly-cloudy-day;21.77;14.84;4430;2822;1608;4321;109;2754;1567;68;41
2020-08-24;Montag;Werktage;partly-cloudy-day;20.97;12.35;11504;6205;5299;11114;390;5988;5126;217;173
2020-08-25;Dienstag;Werktage;partly-cloudy-day;23.46;10.87;12762;6779;5983;12334;428;6554;5780;225;203
2020-08-26;Mittwoch;Werktage;partly-cloudy-day;25.6;16.31;13245;6907;6338;12860;385;6723;6137;184;201
2020-08-27;Donnerstag;Werktage;partly-cloudy-day;23.22;12.62;14407;7583;6824;13967;440;7345;6622;238;202
2020-08-28;Freitag;Werktage;rain;22.94;12.96;11080;5810;5270;10740;340;5641;5099;169;171
2020-08-29;Samstag;Wochenende;rain;15.08;11.69;6813;3505;3308;6529;284;3344;3185;161;123
2020-08-30;Sonntag;Wochenende;rain;12.63;10.27;992;565;427;963;29;558;405;7;22
2020-08-31;Montag;Werktage;rain;17.25;7.17;11757;6245;5512;11387;370;6040;5347;205;165
2020-09-01;Dienstag;Werktage;rain;17.07;9.97;9690;5015;4675;9397;293;4859;4538;156;137
2020-09-02;Mittwoch;Werktage;partly-cloudy-day;18.13;9.1;14135;7328;6807;13627;508;7062;6565;266;242
2020-09-03;Donnerstag;Werktage;clear-day;21.07;8.51;14944;7743;7201;14377;567;7455;6922;288;279
2020-09-04;Freitag;Werktage;clear-day;24.71;11.28;14142;7593;6549;13619;523;7316;6303;277;246
2020-09-05;Samstag;Wochenende;rain;24.85;14.18;18587;9768;8819;17922;665;9445;8477;323;342
2020-09-06;Sonntag;Wochenende;rain;15.6;12.08;2507;1424;1083;2436;71;1386;1050;38;33
2020-09-07;Montag;Werktage;rain;18.42;10.64;11932;6351;5581;11536;396;6134;5402;217;179
2020-09-08;Dienstag;Werktage;clear-day;21.27;8.79;12313;6481;5832;11865;448;6233;5632;248;200
2020-09-09;Mittwoch;Werktage;clear-day;23.53;11.12;13274;6953;6321;12837;437;6729;6108;224;213
2020-09-10;Donnerstag;Werktage;partly-cloudy-day;22.46;11.87;14111;7443;6668;13719;392;7245;6474;198;194
2020-09-11;Freitag;Werktage;partly-cloudy-day;22.9;13.19;13736;7343;6393;13280;456;7099;6181;244;212
2020-09-12;Samstag;Wochenende;clear-day;24.02;13.32;18234;9789;8445;17535;699;9433;8102;356;343
2020-09-13;Sonntag;Wochenende;clear-day;24.67;13.54;3606;1974;1632;3517;89;1927;1590;47;42
2020-09-14;Montag;Werktage;partly-cloudy-day;24.75;13.68;10640;5639;5001;10338;302;5474;4864;165;137
2020-09-15;Dienstag;Werktage;clear-day;25.97;15.01;11000;5753;5247;10663;337;5571;5092;182;155
2020-09-16;Mittwoch;Werktage;partly-cloudy-day;25.38;15.23;12045;6351;5694;11673;372;6141;5532;210;162
2020-09-17;Donnerstag;Werktage;rain;23.58;13.83;13711;7399;6312;13307;404;7182;6125;217;187
2020-09-18;Freitag;Werktage;clear-day;22.28;12.87;12791;6777;6014;12416;375;6590;5826;187;188
2020-09-19;Samstag;Wochenende;partly-cloudy-day;20.48;12.77;19186;10296;8890;18518;668;9943;8575;353;315
2020-09-20;Sonntag;Wochenende;partly-cloudy-day;21.37;12.84;3942;2167;1775;3827;115;2111;1716;56;59
2020-09-21;Montag;Werktage;rain;21.61;12.3;10561;5589;4972;10197;364;5398;4799;191;173
