Sensor ID;Sensorname;T_d;Tag_NR;Wochentag;Arbeitstag;TAG_Anzahl_Passanten_Vadianstrasse_in_Richtung_Neumarkt_dSSG;TAG_Anzahl_Passanten_Vadianstrasse_in_Richtung_Multergasse_dSSG;TAG_Gesamtzahl_Passanten_Vadianstrasse_dSSG;Standortkoordinaten
8a360f09-d606-4d26-b79f-3b6138002b8c;Parametric | PCR2 | 7E10;2019-06-02;7;Sonntag;Wochenende;556.0;639.0;1195.0;47.422995516099036,9.373069675639272
8a360f09-d606-4d26-b79f-3b6138002b8c;Parametric | PCR2 | 7E10;2019-06-08;6;Samstag;Wochenende;1571.0;2215.0;3786.0;47.422995516099036,9.373069675639272
8a360f09-d606-4d26-b79f-3b6138002b8c;Parametric | PCR2 | 7E10;2019-06-13;4;Donnerstag;Werktage;1815.0;2743.0;4558.0;47.422995516099036,9.373069675639272
8a360f09-d606-4d26-b79f-3b6138002b8c;Parametric | PCR2 | 7E10;2019-06-16;7;Sonntag;Wochenende;537.0;664.0;1201.0;47.422995516099036,9.373069675639272
8a360f09-d606-4d26-b79f-3b6138002b8c;Parametric | PCR2 | 7E10;2019-06-18;2;Dienstag;Werktage;1672.0;2481.0;4153.0;47.422995516099036,9.373069675639272
8a360f09-d606-4d26-b79f-3b6138002b8c;Parametric | PCR2 | 7E10;2019-06-21;5;Freitag;Werktage;1717.0;2580.0;4297.0;47.422995516099036,9.373069675639272
8a360f09-d606-4d26-b79f-3b6138002b8c;Parametric | PCR2 | 7E10;2019-06-24;1;Montag;Werktage;1673.0;2406.0;4079.0;47.422995516099036,9.373069675639272
8a360f09-d606-4d26-b79f-3b6138002b8c;Parametric | PCR2 | 7E10;2019-06-30;7;Sonntag;Wochenende;499.0;581.0;1080.0;47.422995516099036,9.373069675639272
8a360f09-d606-4d26-b79f-3b6138002b8c;Parametric | PCR2 | 7E10;2019-07-01;1;Montag;Werktage;1462.0;2145.0;3607.0;47.422995516099036,9.373069675639272
8a360f09-d606-4d26-b79f-3b6138002b8c;Parametric | PCR2 | 7E10;2019-07-03;3;Mittwoch;Werktage;1707.0;2428.0;4135.0;47.422995516099036,9.373069675639272
8a360f09-d606-4d26-b79f-3b6138002b8c;Parametric | PCR2 | 7E10;2019-07-08;1;Montag;Werktage;1402.0;2125.0;3527.0;47.422995516099036,9.373069675639272
8a360f09-d606-4d26-b79f-3b6138002b8c;Parametric | PCR2 | 7E10;2019-07-09;2;Dienstag;Werktage;1443.0;2196.0;3639.0;47.422995516099036,9.373069675639272
8a360f09-d606-4d26-b79f-3b6138002b8c;Parametric | PCR2 | 7E10;2019-07-13;6;Samstag;Wochenende;1410.0;1948.0;3358.0;47.422995516099036,9.373069675639272
