Projektname;Direktion Abkürzung;Direktion Name;Dienststelle Abkürzung;Dienststelle Name;Objekt;Verfahren;Arbeitsgattung;Beschreibung zur Arbeitsgattung;T_d;Zuschlagsempfänger;TAG_Auftragsvolumen_exkl._MWST_dSSG;Bemerkung
KHK St.Gallen / Erneuerung Rauchgasreinigung;DTB;Direktion Technische Betriebe;ESG;Entsorgung St.Gallen;KHK;Freihändig;Installation;Ersatz Kondensatsystem;2021-01-11;"Hälg & Co. AG
Lukasstrasse 30
9001 St.Gallen";129039.8 CHF;
Los 325 Brauerstrasse - Tiefbauarbeiten;DTB;Direktion Technische Betriebe;SGSW;St.Galler Stadtwerke;Los 325 Brauerstrasse;Offen;Tiefbau für Fernwärme / Netz Gas und Wasser;;2021-01-26;"Morant AG
St.Gallen";893177.15;
Heizungsinstallationen BKP 24 Wärmeverbund Ramsenstrasse 2b-2f, 4-4f, 6-6f;DTB;Direktion Technische Betriebe;SGSW;St.Galler Stadtwerke;BKP 24 Ramsenstrasse;Offen;Montage der Heizungsinstallationen;;2021-03-02;"Hälg & Co. AG
Lukasstrasse 30
9001 St.Gallen";228391.8;
Oberstufenzentrum Zil, Sanierung Schulhaus und Turnhalle;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Oberstufenzentrum Zil;Offen;273.3 Allgemeine Schreinerarbeiten;;2021-03-23;"Eilinger Holz AG
Goldach";318053.55;
Los 321 Fernwärmeleitung Lukasstrasse;DTB;Direktion Technische Betriebe;SGSW;St.Galler Stadtwerke;Los 321 Lukasstrasse;Offen;Rohrbauarbeiten;;2021-03-23;"Kelag Systems AG
Sennwald";564590.0;
Strategie Schul- und Betreuungsraum;DBF;Direktion Bildung und Freizeit;IBF;Infrastruktur Bildung und Freizeit;Strategie Schul- und Betreuungsraum;Freihändig;Erarbeitung und Unterstützung Richtraumprogramme;Erarbeitung und Unterstützung Richtraumprogramme;2021-04-21;"Basler & Hofmann
Ingenieure, Planer und Berater
Forchstrasse 395
8032 Zürich";134633.25;
Energetische Sanierung Doppelkindergarten Waldgutstrasse 6a;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Doppelkindergarten Waldgutstrasse 6a;Freihändig;BKP 221 Fenster;Energetische Sanierung;2021-04-14;"Fenster Keller AG
Bütschwil";105169.9;
Amtshaus Neugasse 1;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Amtshaus;Freihändig;BKP 24 Heizungsanlagen, Anschluss an die Fernwärme;Heizungsanlage, Anschluss Fernwärme;2021-04-13;"H. Fatzer AG
St.Gallen";97623.0;
Oberstufenzentrum Zil, Sanierung Schulhaus und Turnhalle;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Oberstufenzentrum Zil;Offen;BKP 273.1 Wandschränke, Gestelle und dergl.;Mobiliar;2021-04-27;"Zomo form AG
Hauptstrasse 150
9434 Au";315216.3;
Spiltrücklistrasse, St.Georgen-Strasse bis Haus Nr. 3;DPB;Direktion Planung und Bau;TBA;Tiefbauamt;Spiltrückstrasse, St.Georgen-Strasse bis Haus Nr. 3;Einladung;NPK 111, 113, 211, 221, 222, 223, 237;Instandstellung;2021-05-03;"Morant AG
St.Gallen";130635.95;
Jägerstrasse und Sonnenstrasse;DPB;Direktion Planung und Bau;TBA;Tiefbauamt;Jägerstrasse und Sonnenstrasse;Einladung;NPK 111,  113, 117, 211, 221, 222, 223, 237;Grabeninstandstellung Fernwärme;2021-05-03;"Cellere Bau AG
St.Gallen";215868.05;
Rehetobelstrasse, Deckbelag Oberhaldenstrasse bis Kublystrasse;DPB;Direktion Planung und Bau;TBA;Tiefbauamt;Rehetobelstrasse, Deckbelag Oberhaldenstrasse bis Kublystrasse;Einladung;NPK 111, 113, 117, 211, 222, 223, 237;Strasseninstandstellung;2021-05-03;"Stutz AG
St.Gallen";173900.0;
Rorschacher Strasse, Haus Nr. 33 bis Singenbergstrasse;DPB;Direktion Planung und Bau;TBA;Tiefbauamt;Rorschacher Strasse, Haus Nr. 33 bis Singenbergstrasse;Offen;;Instandstellung;2021-05-04;"Implenia Schweiz AG
St.Gallen";849841.8;
