T_Y;Oberkategorie;Kategorie;Standort;Sektor;Untersektor;TAG_CO2-eq./a_Schweiz;TAG/a_Schweiz;TAG_CO2-eq./a_Stadt_St.Gallen;TAG/a_Stadt_St.Gallen
2018;Energie;Brennstoff;Schweiz;Bau;"Kompost/
Biogas";0.0 t;0 t;0.0 t;0.0 t
2018;Energie;Elektrizität;Schweiz;Bau;Abwasser;0.0;0;0.0;0.0
2018;Energie;Elektrizität;Schweiz;Bau;Verbrennung;0.0;0;0.0;0.0
2018;Energie;Treibstoff;Schweiz;Bau;Abwasser;0.0;0;0.0;0.0
2018;Energie;Treibstoff;Schweiz;Bau;"Kompost/
Biogas";0.0;0;0.0;0.0
2018;Nahrung;Nahrung für Menschen;Schweiz;Bau;Abwasser;0.0;0;0.0;0.0
2018;Nahrung;Nahrung für Menschen;Schweiz;Bau;"Kompost/
Biogas";0.0;0;0.0;0.0
2018;Nahrung;Nahrung für Menschen;Schweiz;Bau;Verbrennung;0.0;0;0.0;0.0
2018;Nahrung;Tierfutter, Tiere;Schweiz;Bau;Verbrennung;0.0;0;0.0;0.0
2018;Übrige Materialien;Aluminium;Schweiz;Bau;Deponie;10.67325949;310;0.09468465906044823;2.7500731464684884
2018;Übrige Materialien;Aluminium;Schweiz;Bau;"Kompost/
Biogas";0.0;0;0.0;0.0
2018;Übrige Materialien;Andere Metalle;Schweiz;Bau;"Kompost/
Biogas";0.0;0;0.0;0.0
2018;Übrige Materialien;Kies, Sand;Schweiz;Bau;Recycling;8134.0;1973075;72.15837088185383;17503.550236994557
2018;Übrige Materialien;Stahl;Schweiz;Bau;Recycling;24307.23933;494307;215.63447143940544;4385.098086488385
2018;Übrige Materialien;Stahl;Schweiz;Bau;Verbrennung;0.0;0;0.0;0.0
2018;Wasser;Wasser;Schweiz;Bau;Deponie;0.0;0;0.0;0.0
2018;Energie;Elektrizität;Schweiz;Mobilität;"Kompost/
Biogas";0.0;0;0.0;0.0
2018;Energie;Treibstoff;Schweiz;Mobilität;Deponie;0.0;0;0.0;0.0
2018;Energie;Treibstoff;Schweiz;Mobilität;"Kompost/
Biogas";0.0;0;0.0;0.0
2018;Nahrung;Nahrung für Menschen;Schweiz;Mobilität;Abwasser;0.0;0;0.0;0.0
2018;Nahrung;Tierfutter, Tiere;Schweiz;Mobilität;"Kompost/
Biogas";0.0;0;0.0;0.0
2018;Übrige Materialien;Andere Metalle;Schweiz;Mobilität;Verbrennung;9.230209764;0;0.08188307099434723;0.0
2018;Übrige Materialien;Asphalt;Schweiz;Mobilität;Deponie;0.0;0;0.0;0.0
2018;Übrige Materialien;Asphalt;Schweiz;Mobilität;Verbrennung;0.0;0;0.0;0.0
2018;Übrige Materialien;Beton;Schweiz;Mobilität;Abwasser;0.0;0;0.0;0.0
2018;Übrige Materialien;Chemische Grundstoffe;Schweiz;Mobilität;"Kompost/
Biogas";0.0;0;0.0;0.0
2018;Übrige Materialien;Elektronik, Batterien;Schweiz;Mobilität;Abwasser;0.0;0;0.0;0.0
2018;Übrige Materialien;Elektronik, Batterien;Schweiz;Mobilität;Recycling;2607.7452;7006;23.133838862426124;62.151653110187844
2018;Übrige Materialien;Holz, Papier;Schweiz;Mobilität;Verbrennung;0.0;0;0.0;0.0
2018;Übrige Materialien;Mauerwerk;Schweiz;Mobilität;Abwasser;0.0;0;0.0;0.0
2018;Übrige Materialien;Stahl;Schweiz;Mobilität;Deponie;23.74360857;4334;0.21063438815682603;38.44779682836912
2018;Übrige Materialien;Textilien, Leder;Schweiz;Mobilität;Recycling;0.0;0;0.0;0.0
2018;Energie;Brennstoff;Schweiz;Produktion und Konsum;Abwasser;0.0;0;0.0;0.0
