h_date;h_Mio.Fr.;d_date;d_Mio.Fr.;M_date;M_Mio.Fr.;Y_date;Y_Mio.Fr.
;;;;;;2010;9.60
;;;;;;2011;10.40
;;;;;;2012;11.30
;;;;;;2013;12.10
;;;;;;2014;12.80
;;;;;;2015;13.40
;;;;;;2016;13.90
;;;;;;2017;14.50
;;;;;;2018;15.10
;;;;;;2019;15.70
;;;;;;2020;16.30
;;;;;;2021;16.90
;;;;;;2009;4.80
;;;;;;2010;5.30
;;;;;;2011;6.00
;;;;;;2012;6.40
;;;;;;2013;6.90
;;;;;;2014;7.30
;;;;;;2015;7.60
;;;;;;2016;7.80
;;;;;;2017;7.80
;;;;;;2018;8.00
;;;;;;2019;8.50
;;;;;;2020;9.00
;;;;;;2021;9.50
