h_date;h_Anz.;d_date;d_Anz.;M_date;M_Anz.;Y_date;Y_Anz.
;;;;;;2010;8193.00
;;;;;;2011;5827.00
;;;;;;2012;6209.00
;;;;;;2013;6531.00
;;;;;;2014;6164.00
;;;;;;2015;6517.00
;;;;;;2016;6976.00
;;;;;;2017;6554.00
;;;;;;2018;5532.00
;;;;;;2019;5137.00
;;;;;;2020;7134.00
;;;;;;2021;6647.00
;;;;;;2022;4139.00
;;;;;;2009;1553.00
;;;;;;2010;1684.00
;;;;;;2011;1183.00
;;;;;;2012;1271.00
;;;;;;2013;1301.00
;;;;;;2014;1307.00
;;;;;;2015;1324.00
;;;;;;2016;1358.00
;;;;;;2017;1285.00
;;;;;;2018;1110.00
;;;;;;2019;1001.00
;;;;;;2020;1360.00
;;;;;;2021;1317.00
;;;;;;2022;756.00
