h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
;;2017-09-24;11369.00;2017-09;11942.00;2017;15280.00
;;2018-03-04;20583.00;2018-03;7443.00;2018;14118.00
;;2018-03-04;18772.00;2018-06;14423.00;2019;9246.00
;;2018-03-04;17792.00;2018-08;14035.00;2020;9743.00
;;2018-06-10;11644.00;2019-05;13513.00;;
;;2018-08-23;13320.00;2019-11;12919.00;;
;;2019-05-19;15236.00;2017-02;9797.00;;
;;2019-11-17;14246.00;2017-05;12028.00;;
;;2019-11-17;12792.00;2017-11;15280.00;;
;;2017-02-12;7234.00;2018-11;14118.00;;
;;2017-05-21;12028.00;2019-02;11879.00;;
;;2017-11-26;15280.00;2019-06;9246.00;;
;;2018-03-04;7562.00;2020-02;9743.00;;
;;2018-06-10;5246.00;;;;
;;2018-06-10;10952.00;;;;
;;2018-08-23;9224.00;;;;
;;2018-11-25;17582.00;;;;
;;2018-11-25;16480.00;;;;
;;2019-02-10;7303.00;;;;
;;2019-05-19;13513.00;;;;
;;2019-06-30;11669.00;;;;
;;2020-02-09;13216.00;;;;
;;2017-02-12;11743.00;;;;
;;2017-02-12;8875.00;;;;
;;2017-02-12;15313.00;;;;
;;2017-09-24;16173.00;;;;
;;2018-08-23;7038.00;;;;
;;2018-08-23;5126.00;;;;
;;2018-11-25;17612.00;;;;
;;2019-02-10;11879.00;;;;
;;2019-06-30;8845.00;;;;
;;2019-11-17;14011.00;;;;
;;2020-02-09;7676.00;;;;
;;2017-02-12;11595.00;;;;
;;2018-03-04;7443.00;;;;
;;2018-06-10;14423.00;;;;
;;2018-11-25;10370.00;;;;
;;2018-11-25;5721.00;;;;
;;2018-11-25;14118.00;;;;
;;2019-11-17;12615.00;;;;
;;2019-11-17;12919.00;;;;
;;2017-02-12;9797.00;;;;
;;2017-09-24;11942.00;;;;
;;2018-08-23;14035.00;;;;
;;2019-06-30;9246.00;;;;
;;2020-02-09;9743.00;;;;
