h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
;;2017-09-24;10397.00;2017-09;9853.00;2017;2511.00
;;2018-03-04;3813.00;2018-03;17872.00;2018;7915.00
;;2018-03-04;6253.00;2018-06;2234.00;2019;4668.00
;;2018-03-04;6945.00;2018-08;3296.00;2020;9428.00
;;2018-06-10;4891.00;2019-05;5439.00;;
;;2018-08-23;4327.00;2019-11;2457.00;;
;;2019-05-19;3999.00;2017-02;8568.00;;
;;2019-11-17;1704.00;2017-05;6547.00;;
;;2019-11-17;2626.00;2017-11;2511.00;;
;;2017-02-12;13216.00;2018-11;7915.00;;
;;2017-05-21;6547.00;2019-02;4453.00;;
;;2017-11-26;2511.00;2019-06;4668.00;;
;;2018-03-04;16725.00;2020-02;9428.00;;
;;2018-06-10;11377.00;;;;
;;2018-06-10;5416.00;;;;
;;2018-08-23;7924.00;;;;
;;2018-11-25;3605.00;;;;
;;2018-11-25;3575.00;;;;
;;2019-02-10;9251.00;;;;
;;2019-05-19;5439.00;;;;
;;2019-06-30;1716.00;;;;
;;2020-02-09;5881.00;;;;
;;2017-02-12;8553.00;;;;
;;2017-02-12;9329.00;;;;
;;2017-02-12;2717.00;;;;
;;2017-09-24;5186.00;;;;
;;2018-08-23;10523.00;;;;
;;2018-08-23;12268.00;;;;
;;2018-11-25;4152.00;;;;
;;2019-02-10;4453.00;;;;
;;2019-06-30;5048.00;;;;
;;2019-11-17;1966.00;;;;
;;2020-02-09;10882.00;;;;
;;2017-02-12;7849.00;;;;
;;2018-03-04;17872.00;;;;
;;2018-06-10;2234.00;;;;
;;2018-11-25;11375.00;;;;
;;2018-11-25;16469.00;;;;
;;2018-11-25;7915.00;;;;
;;2019-11-17;3020.00;;;;
;;2019-11-17;2457.00;;;;
;;2017-02-12;8568.00;;;;
;;2017-09-24;9853.00;;;;
;;2018-08-23;3296.00;;;;
;;2019-06-30;4668.00;;;;
;;2020-02-09;9428.00;;;;
