h_date;h_ha;d_date;d_ha;M_date;M_ha;Y_date;Y_ha
;;;;;;1992;404.00
;;;;;;1993;404.00
;;;;;;1994;409.00
;;;;;;1995;417.00
;;;;;;1996;423.00
;;;;;;1997;427.00
;;;;;;1998;436.00
;;;;;;1999;446.00
;;;;;;2000;454.00
;;;;;;2001;464.00
;;;;;;2002;473.00
;;;;;;2003;479.00
;;;;;;2004;486.00
;;;;;;2005;488.00
;;;;;;2006;497.00
;;;;;;2007;501.00
;;;;;;2008;499.00
;;;;;;2009;506.00
;;;;;;2010;518.00
;;;;;;2011;528.00
;;;;;;2012;537.00
;;;;;;2013;544.00
;;;;;;2014;547.00
;;;;;;2015;549.00
;;;;;;2016;553.00
;;;;;;2017;555.00
;;;;;;2018;556.00
;;;;;;2019;557.00
;;;;;;2020;560.00
;;;;;;2021;560.00
;;;;;;1991;356.00
;;;;;;1992;367.00
;;;;;;1993;365.00
;;;;;;1994;368.00
;;;;;;1995;373.00
;;;;;;1996;378.00
;;;;;;1997;379.00
;;;;;;1998;388.00
;;;;;;1999;401.00
;;;;;;2000;406.00
;;;;;;2001;409.00
;;;;;;2002;419.00
;;;;;;2003;420.00
;;;;;;2004;426.00
;;;;;;2005;430.00
;;;;;;2006;439.00
;;;;;;2007;439.00
;;;;;;2008;427.00
;;;;;;2009;429.00
;;;;;;2010;437.00
;;;;;;2011;443.00
;;;;;;2012;450.00
;;;;;;2013;454.00
;;;;;;2014;456.00
;;;;;;2015;453.00
;;;;;;2016;455.00
;;;;;;2017;455.00
;;;;;;2018;456.00
;;;;;;2019;452.00
;;;;;;2020;451.00
;;;;;;2021;449.00
