h_date;h_Pers.;d_date;d_Pers.;M_date;M_Pers.;Y_date;Y_Pers.
;;;;;;1983;0.50
;;;;;;1984;0.50
;;;;;;1985;0.60
;;;;;;1986;0.70
;;;;;;1987;0.80
;;;;;;1988;0.90
;;;;;;1989;1.00
;;;;;;1990;1.30
;;;;;;1991;1.80
;;;;;;1992;1.20
;;;;;;1993;1.00
;;;;;;1994;0.90
;;;;;;1995;0.40
;;;;;;1996;0.30
;;;;;;1997;0.00
;;;;;;1998;0.20
;;;;;;1999;0.60
;;;;;;2000;0.40
;;;;;;2001;0.80
;;;;;;2002;0.50
;;;;;;2003;0.40
;;;;;;2004;0.30
;;;;;;2005;0.30
;;;;;;2006;0.40
;;;;;;2007;0.90
;;;;;;2008;1.10
;;;;;;2009;0.70
;;;;;;2010;0.90
;;;;;;2011;0.90
;;;;;;2012;0.80
;;;;;;2013;1.00
;;;;;;2014;0.80
;;;;;;2015;0.70
;;;;;;2016;0.70
;;;;;;2017;0.40
;;;;;;2018;0.60
;;;;;;2019;0.60
;;;;;;2020;0.70
;;;;;;2021;0.90
;;;;;;1982;-0.40
;;;;;;1983;-0.60
;;;;;;1984;-0.30
;;;;;;1985;-0.30
;;;;;;1986;-0.40
;;;;;;1987;-0.40
;;;;;;1988;0.40
;;;;;;1989;0.40
;;;;;;1990;0.20
;;;;;;1991;-2.30
;;;;;;1992;0.50
;;;;;;1993;0.50
;;;;;;1994;0.20
;;;;;;1995;-0.90
;;;;;;1996;-0.70
;;;;;;1997;-1.10
;;;;;;1998;-1.20
;;;;;;1999;0.00
;;;;;;2000;0.10
;;;;;;2001;0.00
;;;;;;2002;0.80
;;;;;;2003;0.30
;;;;;;2004;-0.10
;;;;;;2005;-0.30
;;;;;;2006;0.10
;;;;;;2007;1.10
;;;;;;2008;1.30
;;;;;;2009;0.80
;;;;;;2010;0.40
;;;;;;2011;0.70
;;;;;;2012;0.80
;;;;;;2013;0.60
;;;;;;2014;1.00
;;;;;;2015;0.30
;;;;;;2016;-0.10
;;;;;;2017;0.10
;;;;;;2018;0.40
;;;;;;2019;0.30
;;;;;;2020;0.20
;;;;;;2021;0.20
