h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
2021-12-26T10;2.00;2021-12-26;1.00;2021-12;0.00;2021;0.00
2021-12-26T10;1.00;2021-12-27;0.00;2022-01;0.00;2022;0.00
2021-12-26T12;3.00;2021-12-29;0.00;2022-02;0.00;;
2021-12-26T12;0.00;2021-12-30;0.00;2022-03;0.00;;
2021-12-26T12;0.00;2022-01-02;0.00;;;;
2021-12-26T12;1.00;2022-01-05;3.00;;;;
2021-12-26T12;1.00;2022-01-07;2.00;;;;
2021-12-26T13;1.00;2022-01-12;0.00;;;;
2021-12-26T14;1.00;2022-01-13;0.00;;;;
2021-12-26T14;2.00;2022-01-14;0.00;;;;
2021-12-26T14;1.00;2022-01-15;0.00;;;;
2021-12-27T12;0.00;2022-01-17;0.00;;;;
2021-12-27T14;0.00;2022-01-18;0.00;;;;
2021-12-27T14;0.00;2022-01-22;0.00;;;;
2021-12-29T09;0.00;2022-02-11;0.00;;;;
2021-12-30T15;0.00;2022-02-14;0.00;;;;
2021-12-30T15;0.00;2022-02-17;1.00;;;;
2021-12-30T15;0.00;2022-02-25;0.00;;;;
2022-01-02T12;0.00;2022-02-28;0.00;;;;
2022-01-05T14;1.00;2022-03-01;0.00;;;;
2022-01-05T19;3.00;2022-03-03;0.00;;;;
2022-01-07T00;2.00;2022-03-04;0.00;;;;
2022-01-12T13;0.00;2022-03-08;0.00;;;;
2022-01-12T21;0.00;2022-03-11;0.00;;;;
2022-01-12T22;0.00;;;;;;
2022-01-13T01;0.00;;;;;;
2022-01-13T01;0.00;;;;;;
2022-01-13T10;1.00;;;;;;
2022-01-13T10;0.00;;;;;;
2022-01-13T10;0.00;;;;;;
2022-01-13T19;3.00;;;;;;
2022-01-13T19;0.00;;;;;;
2022-01-13T21;1.00;;;;;;
2022-01-13T22;0.00;;;;;;
2022-01-14T10;0.00;;;;;;
2022-01-14T15;2.00;;;;;;
2022-01-14T15;1.00;;;;;;
2022-01-14T15;1.00;;;;;;
2022-01-14T23;0.00;;;;;;
2022-01-15T13;0.00;;;;;;
2022-01-17T17;1.00;;;;;;
2022-01-17T17;1.00;;;;;;
2022-01-17T17;0.00;;;;;;
2022-01-17T18;0.00;;;;;;
2022-01-18T12;0.00;;;;;;
2022-01-18T13;0.00;;;;;;
2022-01-22T14;1.00;;;;;;
2022-01-22T14;0.00;;;;;;
2022-01-22T14;0.00;;;;;;
2022-01-22T18;0.00;;;;;;
2022-02-11T14;0.00;;;;;;
2022-02-11T15;0.00;;;;;;
2022-02-11T16;0.00;;;;;;
2022-02-14T12;0.00;;;;;;
2022-02-17T20;1.00;;;;;;
2022-02-25T11;0.00;;;;;;
2022-02-25T12;0.00;;;;;;
2022-02-25T12;0.00;;;;;;
2022-02-25T12;0.00;;;;;;
2022-02-25T12;1.00;;;;;;
2022-02-25T12;0.00;;;;;;
2022-02-25T13;0.00;;;;;;
2022-02-25T13;0.00;;;;;;
2022-02-25T13;0.00;;;;;;
2022-02-25T14;0.00;;;;;;
2022-02-25T15;0.00;;;;;;
2022-02-25T17;0.00;;;;;;
2022-02-25T18;0.00;;;;;;
2022-02-28T23;0.00;;;;;;
2022-02-28T23;0.00;;;;;;
2022-03-01T14;0.00;;;;;;
2022-03-03T16;0.00;;;;;;
2022-03-03T17;0.00;;;;;;
2022-03-03T18;0.00;;;;;;
2022-03-03T18;0.00;;;;;;
2022-03-03T18;0.00;;;;;;
2022-03-04T18;0.00;;;;;;
2022-03-04T18;0.00;;;;;;
2022-03-08T13;0.00;;;;;;
2022-03-11T10;0.00;;;;;;
2022-03-11T20;0.00;;;;;;
