h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
;;2019-05-19;66.34;2019-05;64.00;2019;0
;;2019-11-17;84.01;2019-11;78.62;2011;0
;;2019-11-17;81.79;2011-02;0;2014;78.02
;;2019-11-17;0;2011-05;0;2018;0
;;2011-02-13;82.43;2011-10;0;2016;0
;;2011-05-15;0;2011-11;0;2015;0
;;2011-10-23;0;2014-02;42.35;2012;59.79
;;2011-11-27;63.42;2014-05;18.34;2003;0
;;2014-02-09;55.95;2014-11;0;2008;0
;;2014-05-18;85.06;2018-06;0;2007;0
;;2014-11-30;44.47;2018-09;0;2006;0
;;2014-11-30;0;2018-11;74.78;2010;0
;;2014-11-30;0;2016-02;0;2005;51.66
;;2018-06-10;68.98;2016-04;0;2017;52.22
;;2018-09-23;66.65;2016-06;18.58;2020;0
;;2018-09-23;0;2015-06;0;2013;45.94
;;2018-11-25;81.95;2015-11;0;2009;55.62
;;2016-02-28;0;2012-03;0;2004;0
;;2016-02-28;0;2012-04;0;2021;0
;;2016-02-28;0;2012-09;0;2022;59.52
;;2016-04-24;0;2003-02;0;2002;60.87
;;2016-06-05;34.73;2003-05;36.31;;
;;2015-06-14;27.99;2008-02;53.07;;
;;2015-06-14;27.63;2008-03;0;;
;;2015-11-15;0;2008-11;0;;
;;2012-03-11;0;2007-06;0;;
;;2012-03-11;0;2007-09;82.24;;
;;2012-04-29;0;2007-10;0;;
;;2012-09-23;67.34;2006-05;59.83;;
;;2003-02-09;0;2006-09;75.80;;
;;2003-02-09;0;2006-11;0;;
;;2003-02-09;0;2010-03;78.10;;
;;2003-02-09;0;2010-09;0;;
;;2003-02-09;0;2005-06;46.94;;
;;2003-05-18;77.60;2005-09;52.22;;
;;2003-05-18;29.83;2017-02;49.83;;
;;2008-02-24;0;2020-03;0;;
;;2008-03-16;0;2020-11;0;;
;;2008-03-16;0;2013-06;70.37;;
;;2008-03-16;0;2009-09;72.28;;
;;2008-11-30;57.49;2004-02;41.78;;
;;2008-11-30;0;2004-05;40.21;;
;;2008-11-30;0;2004-09;41.46;;
;;2008-11-30;0;2004-11;45.89;;
;;2007-06-17;68.49;2021-03;0;;
;;2007-06-17;82.92;2021-06;56.48;;
;;2007-06-17;61.59;2021-11;56.75;;
;;2007-06-17;0;2022-05;0;;
;;2007-09-23;75.25;2002-03;46.48;;
;;2007-10-21;0;2020-02;46.95;;
;;2006-05-21;84.10;2020-09;32.67;;
;;2006-09-24;39.35;2018-03;0;;
;;2006-11-26;61.92;2019-06;0;;
;;2006-11-26;0;2017-09;0;;
;;2010-03-07;30.91;2020-04;0;;
;;2010-09-26;36.50;2016-11;39.86;;
;;2010-09-26;0;2019-02;69.84;;
