h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
;;2019-05-19;78.00;2019-05;78.00;2019;77.00
;;2019-11-17;77.00;2019-11;77.00;2011;9.00
;;2019-11-17;77.00;2011-02;13.00;2014;77.00
;;2019-11-17;77.00;2011-05;10.00;2018;10.00
;;2011-02-13;85.00;2011-10;13.00;2016;9.00
;;2011-05-15;10.00;2011-11;9.00;2015;77.00
;;2011-10-23;13.00;2014-02;78.00;2012;86.00
;;2011-11-27;85.00;2014-05;78.00;2003;90.00
;;2014-02-09;78.00;2014-11;14.00;2008;88.00
;;2014-05-18;78.00;2018-06;10.00;2007;9.00
;;2014-11-30;78.00;2018-09;14.00;2006;12.00
;;2014-11-30;9.00;2018-11;78.00;2010;9.00
;;2014-11-30;14.00;2016-02;8.00;2005;89.00
;;2018-06-10;78.00;2016-04;77.00;2017;78.00
;;2018-09-23;77.00;2016-06;78.00;2020;77.00
;;2018-09-23;13.00;2015-06;9.00;2013;78.00
;;2018-11-25;77.00;2015-11;9.00;2009;86.00
;;2016-02-28;77.00;2012-03;15.00;2004;90.00
;;2016-02-28;13.00;2012-04;9.00;2021;13.00
;;2016-02-28;10.00;2012-09;12.00;2022;78.00
;;2016-04-24;77.00;2003-02;9.00;2002;90.00
;;2016-06-05;78.00;2003-05;90.00;;
;;2015-06-14;78.00;2008-02;88.00;;
;;2015-06-14;77.00;2008-03;8.00;;
;;2015-11-15;77.00;2008-11;11.00;;
;;2012-03-11;8.00;2007-06;11.00;;
;;2012-03-11;9.00;2007-09;88.00;;
;;2012-04-29;85.00;2007-10;88.00;;
;;2012-09-23;86.00;2006-05;89.00;;
;;2003-02-09;10.00;2006-09;89.00;;
;;2003-02-09;10.00;2006-11;12.00;;
;;2003-02-09;14.00;2010-03;85.00;;
;;2003-02-09;4.00;2010-09;9.00;;
;;2003-02-09;14.00;2005-06;89.00;;
;;2003-05-18;90.00;2005-09;89.00;;
;;2003-05-18;90.00;2017-02;78.00;;
;;2008-02-24;4.00;2020-03;12.00;;
;;2008-03-16;8.00;2020-11;12.00;;
;;2008-03-16;88.00;2013-06;77.00;;
;;2008-03-16;11.00;2009-09;86.00;;
;;2008-11-30;88.00;2004-02;90.00;;
;;2008-11-30;9.00;2004-05;90.00;;
;;2008-11-30;10.00;2004-09;90.00;;
;;2008-11-30;13.00;2004-11;90.00;;
;;2007-06-17;88.00;2021-03;9.00;;
;;2007-06-17;88.00;2021-06;78.00;;
;;2007-06-17;88.00;2021-11;78.00;;
;;2007-06-17;11.00;2022-05;10.00;;
;;2007-09-23;88.00;2002-03;90.00;;
;;2007-10-21;88.00;2020-02;77.00;;
;;2006-05-21;89.00;2020-09;78.00;;
;;2006-09-24;89.00;2018-03;10.00;;
;;2006-11-26;89.00;2019-06;14.00;;
;;2006-11-26;11.00;2017-09;10.00;;
;;2010-03-07;86.00;2020-04;77.00;;
;;2010-09-26;85.00;2016-11;78.00;;
;;2010-09-26;9.00;2019-02;77.00;;
;;2010-09-26;9.00;2019-03;77.00;;
;;2005-06-05;89.00;2019-10;77.00;;
;;2005-06-05;4.00;2015-03;78.00;;
;;2005-09-25;89.00;2008-06;88.00;;
;;2017-02-12;78.00;2008-09;88.00;;
;;2020-03-08;9.00;2012-06;86.00;;
;;2020-11-29;10.00;2012-11;86.00;;
;;2013-06-09;78.00;2010-11;86.00;;
;;2009-09-27;10.00;2009-05;10.00;;
;;2004-02-08;90.00;2009-11;86.00;;
;;2004-02-08;90.00;2007-03;4.00;;
;;2004-05-16;90.00;2007-11;9.00;;
;;2004-05-16;90.00;2013-03;9.00;;
;;2004-09-26;90.00;2013-09;78.00;;
;;2004-09-26;90.00;2013-11;78.00;;
;;2004-11-28;90.00;2014-09;77.00;;
;;2021-03-07;78.00;2016-09;9.00;;
;;2021-03-07;78.00;2015-10;77.00;;
;;2021-03-07;78.00;2009-02;86.00;;
;;2021-06-13;78.00;2021-09;13.00;;
;;2021-06-13;77.00;2005-11;89.00;;
;;2021-11-28;78.00;2002-06;9.00;;
;;2022-05-15;78.00;2002-09;90.00;;
;;2022-05-15;78.00;2002-11;90.00;;
;;2022-05-15;13.00;2022-02;9.00;;
;;2022-05-15;10.00;2022-09;78.00;;
;;2002-03-03;90.00;2017-05;78.00;;
;;2020-02-09;78.00;2004-03;90.00;;
;;2020-02-09;78.00;2003-10;90.00;;
;;2020-03-08;8.00;2010-06;9.00;;
;;2020-03-08;6.00;2008-05;88.00;;
;;2020-09-27;78.00;;;;
;;2020-11-29;9.00;;;;
;;2020-11-29;14.00;;;;
;;2020-11-29;14.00;;;;
;;2020-11-29;10.00;;;;
;;2018-03-04;77.00;;;;
;;2018-06-10;77.00;;;;
;;2018-09-23;10.00;;;;
;;2018-11-25;77.00;;;;
;;2019-06-30;77.00;;;;
;;2019-06-30;77.00;;;;
;;2019-11-17;77.00;;;;
;;2017-09-24;78.00;;;;
;;2020-02-09;9.00;;;;
;;2020-03-08;9.00;;;;
;;2020-03-08;10.00;;;;
;;2020-04-19;77.00;;;;
;;2020-09-27;78.00;;;;
;;2020-09-27;78.00;;;;
;;2020-11-29;77.00;;;;
;;2020-11-29;9.00;;;;
;;2020-11-29;10.00;;;;
;;2020-11-29;9.00;;;;
;;2020-11-29;12.00;;;;
;;2020-11-29;14.00;;;;
;;2020-11-29;10.00;;;;
;;2014-02-09;78.00;;;;
;;2014-11-30;78.00;;;;
;;2014-11-30;13.00;;;;
;;2014-11-30;9.00;;;;
;;2014-11-30;9.00;;;;
;;2014-11-30;10.00;;;;
;;2014-11-30;10.00;;;;
;;2014-11-30;12.00;;;;
;;2014-11-30;14.00;;;;
;;2016-02-28;78.00;;;;
;;2016-06-05;78.00;;;;
;;2016-06-05;77.00;;;;
;;2016-11-27;9.00;;;;
;;2019-02-10;78.00;;;;
;;2019-02-10;14.00;;;;
;;2019-03-10;77.00;;;;
;;2019-05-19;77.00;;;;
;;2019-10-20;78.00;;;;
;;2015-03-08;10.00;;;;
;;2015-11-15;77.00;;;;
;;2015-11-15;77.00;;;;
;;2018-06-10;78.00;;;;
;;2018-09-23;13.00;;;;
;;2008-02-24;88.00;;;;
;;2008-02-24;88.00;;;;
;;2008-03-16;9.00;;;;
;;2008-03-16;18.00;;;;
;;2008-06-01;88.00;;;;
;;2008-06-01;88.00;;;;
;;2008-09-28;88.00;;;;
;;2008-11-30;88.00;;;;
;;2008-11-30;88.00;;;;
;;2008-11-30;88.00;;;;
;;2008-11-30;88.00;;;;
;;2008-11-30;9.00;;;;
;;2008-11-30;11.00;;;;
;;2012-03-11;86.00;;;;
;;2012-03-11;86.00;;;;
;;2012-03-11;8.00;;;;
;;2012-03-11;86.00;;;;
;;2012-03-11;13.00;;;;
;;2012-03-11;14.00;;;;
;;2012-03-11;11.00;;;;
;;2012-06-17;86.00;;;;
;;2012-06-17;85.00;;;;
;;2012-09-23;86.00;;;;
;;2012-09-23;85.00;;;;
;;2012-09-23;10.00;;;;
;;2012-11-25;85.00;;;;
;;2008-03-16;13.00;;;;
;;2008-03-16;14.00;;;;
;;2008-03-16;9.00;;;;
;;2008-03-16;6.00;;;;
;;2008-06-01;4.00;;;;
;;2008-11-30;88.00;;;;
;;2008-11-30;13.00;;;;
;;2008-11-30;13.00;;;;
;;2008-11-30;14.00;;;;
;;2010-03-07;86.00;;;;
;;2010-03-07;86.00;;;;
;;2010-09-26;85.00;;;;
;;2010-11-28;86.00;;;;
;;2010-11-28;86.00;;;;
;;2010-11-28;14.00;;;;
;;2009-05-17;86.00;;;;
;;2009-09-27;86.00;;;;
;;2009-09-27;86.00;;;;
;;2009-09-27;86.00;;;;
;;2009-11-29;86.00;;;;
;;2007-03-11;88.00;;;;
;;2007-03-11;88.00;;;;
;;2007-09-23;88.00;;;;
;;2007-11-25;88.00;;;;
;;2007-11-25;11.00;;;;
;;2007-11-25;4.00;;;;
;;2013-03-03;78.00;;;;
;;2013-03-03;9.00;;;;
;;2013-06-09;78.00;;;;
;;2013-09-22;78.00;;;;
;;2013-09-22;78.00;;;;
;;2013-11-24;78.00;;;;
;;2013-11-24;78.00;;;;
;;2012-03-11;86.00;;;;
;;2012-03-11;6.00;;;;
;;2012-06-17;86.00;;;;
;;2012-09-23;86.00;;;;
;;2012-11-25;86.00;;;;
;;2020-03-08;13.00;;;;
;;2020-03-08;10.00;;;;
;;2020-09-27;78.00;;;;
;;2020-11-29;78.00;;;;
;;2020-11-29;77.00;;;;
;;2020-11-29;13.00;;;;
;;2020-11-29;13.00;;;;
;;2020-11-29;9.00;;;;
;;2020-11-29;9.00;;;;
;;2020-11-29;9.00;;;;
;;2020-11-29;12.00;;;;
;;2019-02-10;12.00;;;;
;;2019-06-30;14.00;;;;
;;2019-10-20;77.00;;;;
;;2014-05-18;77.00;;;;
;;2014-09-28;78.00;;;;
;;2014-09-28;77.00;;;;
;;2014-11-30;78.00;;;;
;;2014-11-30;77.00;;;;
;;2014-11-30;77.00;;;;
;;2014-11-30;77.00;;;;
;;2014-11-30;13.00;;;;
;;2014-11-30;10.00;;;;
;;2014-11-30;12.00;;;;
;;2014-11-30;10.00;;;;
;;2018-03-04;78.00;;;;
;;2018-06-10;77.00;;;;
;;2018-06-10;9.00;;;;
;;2018-06-10;10.00;;;;
;;2018-09-23;78.00;;;;
;;2018-09-23;78.00;;;;
;;2018-09-23;9.00;;;;
;;2018-09-23;14.00;;;;
;;2012-03-11;86.00;;;;
;;2012-04-29;9.00;;;;
;;2012-04-29;15.00;;;;
;;2012-04-29;14.00;;;;
;;2012-06-17;86.00;;;;
;;2012-09-23;9.00;;;;
;;2012-09-23;9.00;;;;
;;2012-09-23;14.00;;;;
;;2016-02-28;78.00;;;;
;;2016-02-28;9.00;;;;
;;2016-02-28;10.00;;;;
;;2016-06-05;78.00;;;;
;;2016-09-25;78.00;;;;
;;2016-11-27;9.00;;;;
;;2015-03-08;78.00;;;;
;;2015-06-14;78.00;;;;
;;2015-06-14;78.00;;;;
;;2015-10-18;78.00;;;;
;;2015-11-15;77.00;;;;
;;2011-02-13;86.00;;;;
;;2011-02-13;85.00;;;;
;;2011-02-13;13.00;;;;
;;2011-10-23;13.00;;;;
;;2011-10-23;9.00;;;;
;;2020-02-09;77.00;;;;
;;2020-03-08;8.00;;;;
;;2020-03-08;77.00;;;;
;;2020-03-08;12.00;;;;
;;2020-09-27;78.00;;;;
;;2020-11-29;78.00;;;;
;;2020-11-29;13.00;;;;
;;2020-11-29;10.00;;;;
;;2020-11-29;10.00;;;;
;;2020-11-29;12.00;;;;
;;2018-03-04;78.00;;;;
;;2018-03-04;10.00;;;;
;;2018-09-23;78.00;;;;
;;2018-09-23;14.00;;;;
;;2018-11-25;78.00;;;;
;;2018-11-25;78.00;;;;
;;2018-11-25;78.00;;;;
;;2019-02-10;77.00;;;;
;;2019-05-19;78.00;;;;
;;2019-06-30;14.00;;;;
;;2019-11-17;77.00;;;;
;;2017-02-12;78.00;;;;
;;2017-09-24;78.00;;;;
;;2014-02-09;78.00;;;;
;;2014-05-18;78.00;;;;
;;2014-09-28;78.00;;;;
;;2014-11-30;77.00;;;;
;;2014-11-30;77.00;;;;
;;2014-11-30;13.00;;;;
;;2014-11-30;9.00;;;;
;;2014-11-30;12.00;;;;
;;2014-11-30;10.00;;;;
;;2014-11-30;10.00;;;;
;;2016-02-28;78.00;;;;
;;2016-02-28;8.00;;;;
;;2016-02-28;9.00;;;;
;;2016-02-28;12.00;;;;
;;2016-02-28;6.00;;;;
;;2016-06-05;78.00;;;;
;;2016-09-25;78.00;;;;
;;2016-09-25;78.00;;;;
;;2016-09-25;10.00;;;;
;;2016-11-27;10.00;;;;
;;2012-03-11;86.00;;;;
;;2012-03-11;9.00;;;;
;;2012-03-11;15.00;;;;
;;2012-04-29;9.00;;;;
;;2012-04-29;9.00;;;;
;;2012-09-23;9.00;;;;
;;2012-09-23;12.00;;;;
;;2009-02-08;9.00;;;;
;;2009-05-17;86.00;;;;
;;2009-05-17;86.00;;;;
;;2009-11-29;86.00;;;;
;;2009-11-29;12.00;;;;
;;2003-02-09;90.00;;;;
;;2003-02-09;14.00;;;;
;;2003-02-09;14.00;;;;
;;2003-02-09;14.00;;;;
;;2003-02-09;14.00;;;;
;;2003-05-18;90.00;;;;
;;2015-06-14;78.00;;;;
;;2015-06-14;9.00;;;;
;;2015-11-15;77.00;;;;
;;2015-11-15;13.00;;;;
;;2009-05-17;86.00;;;;
;;2009-09-27;86.00;;;;
;;2009-09-27;86.00;;;;
;;2009-09-27;86.00;;;;
;;2004-05-16;90.00;;;;
;;2004-05-16;90.00;;;;
;;2004-09-26;90.00;;;;
;;2004-11-28;90.00;;;;
;;2021-06-13;78.00;;;;
;;2021-06-13;13.00;;;;
;;2021-09-26;9.00;;;;
;;2005-06-05;89.00;;;;
;;2005-11-27;89.00;;;;
;;2006-09-24;4.00;;;;
;;2006-11-26;89.00;;;;
;;2011-11-27;85.00;;;;
;;2011-11-27;14.00;;;;
;;2013-03-03;78.00;;;;
;;2007-10-21;88.00;;;;
;;2007-11-25;9.00;;;;
;;2016-02-28;78.00;;;;
;;2016-02-28;8.00;;;;
;;2016-06-05;78.00;;;;
;;2016-09-25;78.00;;;;
;;2016-09-25;13.00;;;;
;;2016-09-25;9.00;;;;
;;2016-11-27;78.00;;;;
;;2014-05-18;78.00;;;;
;;2014-05-18;78.00;;;;
;;2014-09-28;77.00;;;;
;;2014-11-30;77.00;;;;
;;2014-11-30;9.00;;;;
;;2014-11-30;9.00;;;;
;;2014-11-30;14.00;;;;
;;2002-03-03;90.00;;;;
;;2002-06-02;90.00;;;;
;;2002-06-02;90.00;;;;
;;2002-09-22;90.00;;;;
;;2002-09-22;90.00;;;;
;;2002-11-24;90.00;;;;
;;2022-05-15;78.00;;;;
;;2021-03-07;14.00;;;;
;;2021-06-13;77.00;;;;
;;2021-06-13;77.00;;;;
;;2021-09-26;78.00;;;;
;;2021-11-28;78.00;;;;
;;2022-02-13;78.00;;;;
;;2022-02-13;9.00;;;;
;;2022-09-25;78.00;;;;
;;2022-09-25;9.00;;;;
;;2003-02-09;11.00;;;;
;;2003-05-18;90.00;;;;
;;2003-05-18;90.00;;;;
;;2003-05-18;90.00;;;;
;;2006-09-24;89.00;;;;
;;2006-09-24;89.00;;;;
;;2017-05-21;78.00;;;;
;;2017-09-24;78.00;;;;
;;2004-05-16;90.00;;;;
;;2011-10-23;86.00;;;;
;;2011-11-27;9.00;;;;
;;2002-06-02;9.00;;;;
;;2003-02-09;12.00;;;;
;;2003-02-09;12.00;;;;
;;2003-02-09;9.00;;;;
;;2003-02-09;4.00;;;;
;;2003-02-09;11.00;;;;
