h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
;;2019-05-19;41.81;2019-05;42.00;2019;45.22
;;2019-11-17;34.05;2019-11;34.15;2011;0.00
;;2019-11-17;33.85;2011-02;42.49;2014;40.38
;;2019-11-17;36.10;2011-05;0.00;2018;0.00
;;2011-02-13;45.41;2011-10;0.00;2016;42.00
;;2011-05-15;0.00;2011-11;0.00;2015;49.37
;;2011-10-23;0.00;2014-02;55.35;2012;29.25
;;2011-11-27;43.32;2014-05;54.30;2003;42.57
;;2014-02-09;55.55;2014-11;0.00;2008;37.90
;;2014-05-18;53.28;2018-06;28.87;2007;0.00
;;2014-11-30;48.83;2018-09;0.00;2006;0.00
;;2014-11-30;0.00;2018-11;48.18;2010;0.00
;;2014-11-30;37.13;2016-02;0;2005;40.57
;;2018-06-10;32.29;2016-04;33.70;2017;40.91
;;2018-09-23;35.82;2016-06;44.35;2020;34.41
;;2018-09-23;0.00;2015-06;0.00;2013;51.96
;;2018-11-25;44.28;2015-11;0.00;2009;51.23
;;2016-02-28;51.96;2012-03;39.76;2004;35.98
;;2016-02-28;46.86;2012-04;0.00;2021;0.00
;;2016-02-28;43.94;2012-09;0.00;2022;51.31
;;2016-04-24;33.70;2003-02;0.00;2002;48.97
;;2016-06-05;44.09;2003-05;48.55;;
;;2015-06-14;42.48;2008-02;34.71;;
;;2015-06-14;40.82;2008-03;35.12;;
;;2015-11-15;39.23;2008-11;37.98;;
;;2012-03-11;37.48;2007-06;0.00;;
;;2012-03-11;37.88;2007-09;22.22;;
;;2012-04-29;31.57;2007-10;46.78;;
;;2012-09-23;45.87;2006-05;26.03;;
;;2003-02-09;0.00;2006-09;44.57;;
;;2003-02-09;0.00;2006-11;0.00;;
;;2003-02-09;25.12;2010-03;40.22;;
;;2003-02-09;0.00;2010-09;0.00;;
;;2003-02-09;0.00;2005-06;55.23;;
;;2003-05-18;47.88;2005-09;53.22;;
;;2003-05-18;48.34;2017-02;44.51;;
;;2008-02-24;15.68;2020-03;37.50;;
;;2008-03-16;0;2020-11;0.00;;
;;2008-03-16;38.23;2013-06;33.35;;
;;2008-03-16;34.07;2009-09;40.38;;
;;2008-11-30;47.03;2004-02;42.10;;
;;2008-11-30;0.00;2004-05;46.83;;
;;2008-11-30;0.00;2004-09;54.44;;
;;2008-11-30;0.00;2004-11;32.83;;
;;2007-06-17;36.97;2021-03;40.82;;
;;2007-06-17;34.71;2021-06;59.45;;
;;2007-06-17;34.34;2021-11;68.27;;
;;2007-06-17;0.00;2022-05;0.00;;
;;2007-09-23;22.20;2002-03;61.82;;
;;2007-10-21;48.51;2020-02;38.38;;
;;2006-05-21;26.24;2020-09;58.97;;
;;2006-09-24;47.81;2018-03;0.00;;
;;2006-11-26;41.77;2019-06;20.62;;
;;2006-11-26;0.00;2017-09;0.00;;
;;2010-03-07;42.09;2020-04;34.41;;
;;2010-09-26;39.58;2016-11;43.92;;
;;2010-09-26;0.00;2019-02;34.71;;
;;2010-09-26;0.00;2019-03;31.03;;
;;2005-06-05;51.78;2019-10;45.22;;
;;2005-06-05;41.08;2015-03;42.05;;
;;2005-09-25;53.22;2008-06;39.39;;
;;2017-02-12;44.24;2008-09;35.31;;
;;2020-03-08;33.69;2012-06;35.30;;
;;2020-11-29;0.00;2012-11;29.25;;
;;2013-06-09;36.22;2010-11;52.63;;
;;2009-09-27;0.00;2009-05;0.00;;
;;2004-02-08;42.53;2009-11;51.55;;
;;2004-02-08;42.50;2007-03;0.00;;
;;2004-05-16;47.02;2007-11;0.00;;
;;2004-05-16;39.99;2013-03;0.00;;
;;2004-09-26;54.39;2013-09;45.88;;
;;2004-09-26;47.61;2013-11;51.96;;
;;2004-11-28;33.67;2014-09;40.38;;
;;2021-03-07;48.16;2016-09;42.00;;
;;2021-03-07;48.02;2015-10;49.37;;
;;2021-03-07;47.74;2009-02;51.23;;
;;2021-06-13;59.57;2021-09;0.00;;
;;2021-06-13;52.58;2005-11;40.57;;
;;2021-11-28;68.89;2002-06;27.59;;
;;2022-05-15;37.77;2002-09;42.29;;
;;2022-05-15;38.13;2002-11;48.97;;
;;2022-05-15;0.00;2022-02;37.00;;
;;2022-05-15;31.46;2022-09;51.31;;
;;2002-03-03;61.35;2017-05;40.91;;
;;2020-02-09;38.99;2004-03;35.98;;
;;2020-02-09;39.04;2003-10;42.57;;
;;2020-03-08;35.28;2010-06;0.00;;
;;2020-03-08;32.28;2008-05;37.90;;
;;2020-09-27;59.20;;;;
;;2020-11-29;0.00;;;;
;;2020-11-29;0.00;;;;
;;2020-11-29;36.55;;;;
;;2020-11-29;0.00;;;;
;;2018-03-04;51.30;;;;
;;2018-06-10;31.69;;;;
;;2018-09-23;31.52;;;;
;;2018-11-25;45.10;;;;
;;2019-06-30;26.14;;;;
;;2019-06-30;26.08;;;;
;;2019-11-17;34.07;;;;
;;2017-09-24;46.74;;;;
;;2020-02-09;37.39;;;;
;;2020-03-08;32.43;;;;
;;2020-03-08;29.43;;;;
;;2020-04-19;34.41;;;;
;;2020-09-27;59.38;;;;
;;2020-09-27;59.19;;;;
;;2020-11-29;44.24;;;;
;;2020-11-29;38.11;;;;
;;2020-11-29;34.93;;;;
;;2020-11-29;0.00;;;;
;;2020-11-29;0.00;;;;
;;2020-11-29;0.00;;;;
;;2020-11-29;0.00;;;;
;;2014-02-09;55.06;;;;
;;2014-11-30;48.95;;;;
;;2014-11-30;0.00;;;;
;;2014-11-30;0.00;;;;
;;2014-11-30;0.00;;;;
;;2014-11-30;0.00;;;;
;;2014-11-30;0.00;;;;
;;2014-11-30;0.00;;;;
;;2014-11-30;0.00;;;;
;;2016-02-28;62.39;;;;
;;2016-06-05;44.11;;;;
;;2016-06-05;42.48;;;;
;;2016-11-27;39.60;;;;
;;2019-02-10;35.47;;;;
;;2019-02-10;30.73;;;;
;;2019-03-10;31.03;;;;
;;2019-05-19;39.64;;;;
;;2019-10-20;41.93;;;;
;;2015-03-08;33.22;;;;
;;2015-11-15;37.56;;;;
;;2015-11-15;37.14;;;;
;;2018-06-10;32.35;;;;
;;2018-09-23;0.00;;;;
;;2008-02-24;34.90;;;;
;;2008-02-24;33.50;;;;
;;2008-03-16;34.91;;;;
;;2008-03-16;41.32;;;;
;;2008-06-01;40.32;;;;
;;2008-06-01;39.51;;;;
;;2008-09-28;35.13;;;;
;;2008-11-30;47.27;;;;
;;2008-11-30;46.33;;;;
;;2008-11-30;46.53;;;;
;;2008-11-30;45.89;;;;
;;2008-11-30;0.00;;;;
;;2008-11-30;0.00;;;;
;;2012-03-11;45.46;;;;
;;2012-03-11;44.78;;;;
;;2012-03-11;0;;;;
;;2012-03-11;42.25;;;;
;;2012-03-11;38.48;;;;
;;2012-03-11;36.23;;;;
;;2012-03-11;36.51;;;;
;;2012-06-17;35.16;;;;
;;2012-06-17;34.15;;;;
;;2012-09-23;46.75;;;;
;;2012-09-23;43.69;;;;
;;2012-09-23;0.00;;;;
;;2012-11-25;28.75;;;;
;;2008-03-16;35.81;;;;
;;2008-03-16;31.65;;;;
;;2008-03-16;35.32;;;;
;;2008-03-16;35.34;;;;
;;2008-06-01;36.47;;;;
;;2008-11-30;45.96;;;;
;;2008-11-30;0.00;;;;
;;2008-11-30;0.00;;;;
;;2008-11-30;0.00;;;;
;;2010-03-07;41.63;;;;
;;2010-03-07;42.17;;;;
;;2010-09-26;38.99;;;;
;;2010-11-28;53.73;;;;
;;2010-11-28;47.39;;;;
;;2010-11-28;0.00;;;;
;;2009-05-17;33.51;;;;
;;2009-09-27;41.09;;;;
;;2009-09-27;39.95;;;;
;;2009-09-27;40.84;;;;
;;2009-11-29;53.14;;;;
;;2007-03-11;41.82;;;;
;;2007-03-11;38.53;;;;
;;2007-09-23;22.21;;;;
;;2007-11-25;49.43;;;;
;;2007-11-25;38.76;;;;
;;2007-11-25;0.00;;;;
;;2013-03-03;43.99;;;;
;;2013-03-03;39.01;;;;
;;2013-06-09;36.10;;;;
;;2013-09-22;46.19;;;;
;;2013-09-22;45.89;;;;
;;2013-11-24;52.02;;;;
;;2013-11-24;52.06;;;;
;;2012-03-11;44.68;;;;
;;2012-03-11;36.64;;;;
;;2012-06-17;35.16;;;;
;;2012-09-23;46.21;;;;
;;2012-11-25;29.25;;;;
;;2020-03-08;31.11;;;;
;;2020-03-08;31.57;;;;
;;2020-09-27;59.24;;;;
;;2020-11-29;45.33;;;;
;;2020-11-29;44.10;;;;
;;2020-11-29;0.00;;;;
;;2020-11-29;33.61;;;;
;;2020-11-29;0.00;;;;
;;2020-11-29;0.00;;;;
;;2020-11-29;38.17;;;;
;;2020-11-29;0.00;;;;
;;2019-02-10;0.00;;;;
;;2019-06-30;0.00;;;;
;;2019-10-20;45.22;;;;
;;2014-05-18;44.80;;;;
;;2014-09-28;43.47;;;;
;;2014-09-28;40.30;;;;
;;2014-11-30;48.68;;;;
;;2014-11-30;45.72;;;;
;;2014-11-30;45.33;;;;
;;2014-11-30;45.18;;;;
;;2014-11-30;0.00;;;;
;;2014-11-30;0.00;;;;
;;2014-11-30;0.00;;;;
;;2014-11-30;0.00;;;;
;;2018-03-04;52.54;;;;
;;2018-06-10;31.83;;;;
;;2018-06-10;0.00;;;;
;;2018-06-10;28.87;;;;
;;2018-09-23;37.25;;;;
;;2018-09-23;37.18;;;;
;;2018-09-23;0.00;;;;
;;2018-09-23;0.00;;;;
;;2012-03-11;45.14;;;;
;;2012-04-29;35.68;;;;
;;2012-04-29;30.32;;;;
;;2012-04-29;28.49;;;;
;;2012-06-17;35.30;;;;
;;2012-09-23;41.02;;;;
;;2012-09-23;0.00;;;;
;;2012-09-23;0.00;;;;
;;2016-02-28;61.73;;;;
;;2016-02-28;43.07;;;;
;;2016-02-28;44.65;;;;
;;2016-06-05;43.93;;;;
;;2016-09-25;45.14;;;;
;;2016-11-27;39.48;;;;
;;2015-03-08;42.08;;;;
;;2015-06-14;42.10;;;;
;;2015-06-14;42.39;;;;
;;2015-10-18;46.47;;;;
;;2015-11-15;37.87;;;;
;;2011-02-13;47.83;;;;
;;2011-02-13;46.50;;;;
;;2011-02-13;42.49;;;;
;;2011-10-23;0.00;;;;
;;2011-10-23;0.00;;;;
;;2020-02-09;38.38;;;;
;;2020-03-08;0;;;;
;;2020-03-08;34.43;;;;
;;2020-03-08;37.50;;;;
;;2020-09-27;58.97;;;;
;;2020-11-29;45.46;;;;
;;2020-11-29;0.00;;;;
;;2020-11-29;33.94;;;;
;;2020-11-29;33.54;;;;
;;2020-11-29;0.00;;;;
;;2018-03-04;53.85;;;;
;;2018-03-04;0.00;;;;
;;2018-09-23;37.26;;;;
;;2018-09-23;0.00;;;;
;;2018-11-25;48.14;;;;
;;2018-11-25;48.22;;;;
;;2018-11-25;48.18;;;;
;;2019-02-10;34.71;;;;
;;2019-05-19;42.00;;;;
;;2019-06-30;20.62;;;;
;;2019-11-17;34.15;;;;
;;2017-02-12;44.21;;;;
;;2017-09-24;47.12;;;;
;;2014-02-09;55.35;;;;
;;2014-05-18;54.12;;;;
;;2014-09-28;43.81;;;;
;;2014-11-30;45.21;;;;
;;2014-11-30;45.75;;;;
;;2014-11-30;0.00;;;;
;;2014-11-30;37.55;;;;
;;2014-11-30;0.00;;;;
;;2014-11-30;34.47;;;;
;;2014-11-30;0.00;;;;
;;2016-02-28;61.07;;;;
;;2016-02-28;48.10;;;;
;;2016-02-28;44.45;;;;
;;2016-02-28;49.15;;;;
;;2016-02-28;43.94;;;;
;;2016-06-05;44.06;;;;
;;2016-09-25;45.71;;;;
;;2016-09-25;43.41;;;;
;;2016-09-25;36.57;;;;
;;2016-11-27;36.10;;;;
;;2012-03-11;45.99;;;;
;;2012-03-11;38.09;;;;
;;2012-03-11;39.76;;;;
;;2012-04-29;0.00;;;;
;;2012-04-29;0.00;;;;
;;2012-09-23;0.00;;;;
;;2012-09-23;0.00;;;;
;;2009-02-08;0.00;;;;
;;2009-05-17;33.55;;;;
;;2009-05-17;31.48;;;;
;;2009-11-29;53.82;;;;
;;2009-11-29;0.00;;;;
;;2003-02-09;28.46;;;;
;;2003-02-09;0.00;;;;
;;2003-02-09;0.00;;;;
;;2003-02-09;0.00;;;;
;;2003-02-09;0.00;;;;
;;2003-05-18;47.11;;;;
;;2015-06-14;42.24;;;;
;;2015-06-14;0.00;;;;
;;2015-11-15;37.57;;;;
;;2015-11-15;0.00;;;;
;;2009-05-17;30.95;;;;
;;2009-09-27;42.39;;;;
;;2009-09-27;40.14;;;;
;;2009-09-27;40.43;;;;
;;2004-05-16;46.93;;;;
;;2004-05-16;43.48;;;;
;;2004-09-26;53.79;;;;
;;2004-11-28;32.79;;;;
;;2021-06-13;59.77;;;;
;;2021-06-13;0.00;;;;
;;2021-09-26;0.00;;;;
;;2005-06-05;54.96;;;;
;;2005-11-27;40.80;;;;
;;2006-09-24;0.00;;;;
;;2006-11-26;41.72;;;;
;;2011-11-27;47.79;;;;
;;2011-11-27;40.38;;;;
;;2013-03-03;43.79;;;;
;;2007-10-21;46.78;;;;
;;2007-11-25;0.00;;;;
;;2016-02-28;61.97;;;;
;;2016-02-28;0;;;;
;;2016-06-05;44.35;;;;
;;2016-09-25;45.35;;;;
;;2016-09-25;0.00;;;;
;;2016-09-25;42.00;;;;
;;2016-11-27;43.92;;;;
;;2014-05-18;53.96;;;;
;;2014-05-18;54.30;;;;
;;2014-09-28;40.38;;;;
;;2014-11-30;45.34;;;;
;;2014-11-30;0.00;;;;
;;2014-11-30;0.00;;;;
;;2014-11-30;0.00;;;;
;;2002-03-03;61.82;;;;
;;2002-06-02;39.92;;;;
;;2002-06-02;39.67;;;;
;;2002-09-22;43.13;;;;
;;2002-09-22;38.10;;;;
;;2002-11-24;48.23;;;;
;;2022-05-15;37.70;;;;
;;2021-03-07;38.46;;;;
;;2021-06-13;52.84;;;;
;;2021-06-13;52.41;;;;
;;2021-09-26;51.17;;;;
;;2021-11-28;67.48;;;;
;;2022-02-13;42.87;;;;
;;2022-02-13;0.00;;;;
;;2022-09-25;50.62;;;;
;;2022-09-25;0.00;;;;
;;2003-02-09;0.00;;;;
;;2003-05-18;48.04;;;;
;;2003-05-18;48.29;;;;
;;2003-05-18;48.26;;;;
;;2006-09-24;48.19;;;;
;;2006-09-24;45.08;;;;
;;2017-05-21;40.91;;;;
;;2017-09-24;47.12;;;;
;;2004-05-16;46.83;;;;
;;2011-10-23;46.76;;;;
;;2011-11-27;0.00;;;;
;;2002-06-02;27.88;;;;
;;2003-02-09;0.00;;;;
;;2003-02-09;0.00;;;;
;;2003-02-09;0.00;;;;
;;2003-02-09;21.40;;;;
;;2003-02-09;0.00;;;;
;;2003-05-18;48.03;;;;
;;2003-05-18;48.04;;;;
;;2009-02-08;51.23;;;;
;;2009-05-17;31.44;;;;
;;2009-05-17;0.00;;;;
;;2009-09-27;40.38;;;;
;;2009-11-29;51.55;;;;
;;2017-02-12;44.51;;;;
;;2017-09-24;40.82;;;;
;;2017-09-24;0.00;;;;
;;2004-03-14;35.98;;;;
;;2004-11-28;33.57;;;;
;;2004-11-28;34.06;;;;
;;2005-06-05;55.23;;;;
;;2005-11-27;40.57;;;;
;;2007-09-23;22.35;;;;
;;2007-09-23;22.36;;;;
;;2013-03-03;43.91;;;;
;;2013-03-03;0.00;;;;
;;2006-09-24;48.31;;;;
;;2006-09-24;44.57;;;;
;;2010-03-07;40.22;;;;
;;2008-02-24;0.00;;;;
;;2008-03-16;35.12;;;;
;;2008-06-01;36.04;;;;
;;2008-06-01;35.87;;;;
;;2008-09-28;35.31;;;;
;;2008-11-30;33.49;;;;
;;2008-11-30;0.00;;;;
;;2021-06-13;59.78;;;;
;;2021-06-13;52.06;;;;
;;2021-09-26;50.65;;;;
;;2022-09-25;51.50;;;;
;;2022-09-25;51.32;;;;
;;2022-09-25;45.48;;;;
;;2002-06-02;27.59;;;;
;;2002-09-22;38.27;;;;
;;2002-11-24;48.97;;;;
;;2021-03-07;40.82;;;;
;;2021-06-13;59.59;;;;
;;2021-06-13;59.45;;;;
;;2021-09-26;49.14;;;;
;;2021-09-26;0.00;;;;
;;2021-11-28;68.27;;;;
;;2003-02-09;28.47;;;;
;;2003-02-09;28.05;;;;
;;2003-02-09;0.00;;;;
;;2003-05-18;48.08;;;;
;;2003-05-18;48.55;;;;
;;2003-10-19;42.57;;;;
;;2010-06-13;0.00;;;;
;;2010-09-26;38.90;;;;
;;2010-09-26;0.00;;;;
;;2010-11-28;52.63;;;;
;;2004-02-08;42.10;;;;
;;2004-09-26;54.46;;;;
;;2004-09-26;54.44;;;;
;;2004-11-28;32.83;;;;
;;2015-03-08;42.05;;;;
;;2015-10-18;49.37;;;;
;;2015-11-15;35.33;;;;
;;2015-11-15;0.00;;;;
;;2007-03-11;39.72;;;;
;;2007-03-11;0.00;;;;
;;2007-09-23;22.22;;;;
;;2006-05-21;25.99;;;;
;;2006-05-21;26.03;;;;
;;2006-11-26;0.00;;;;
;;2013-06-09;33.35;;;;
;;2013-09-22;45.88;;;;
;;2013-11-24;51.96;;;;
;;2011-10-23;51.72;;;;
;;2011-10-23;0.00;;;;
;;2002-09-22;42.29;;;;
;;2022-02-13;42.74;;;;
;;2022-02-13;42.62;;;;
;;2022-02-13;42.76;;;;
;;2022-02-13;37.00;;;;
;;2022-05-15;35.53;;;;
;;2022-05-15;0.00;;;;
;;2022-09-25;51.31;;;;
;;2008-02-24;34.71;;;;
;;2008-05-04;37.90;;;;
;;2008-06-01;39.39;;;;
;;2008-11-30;45.20;;;;
;;2008-11-30;0.00;;;;
;;2008-11-30;0.00;;;;
;;2008-11-30;0.00;;;;
;;2008-11-30;37.98;;;;
