h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
;;2020-08-22;8814.00;2020-08;6040.00;2020;5363.00
;;2020-08-23;2754.00;2020-09;6799.00;2021;7075.00
;;2020-08-24;5988.00;2020-10;8203.00;2022;1604.00
;;2020-08-25;6554.00;2020-11;5259.00;;
;;2020-08-26;6723.00;2020-12;5363.00;;
;;2020-08-27;7345.00;2021-01;1089.00;;
;;2020-08-28;5641.00;2021-02;1421.00;;
;;2020-08-29;3344.00;2021-03;6636.00;;
;;2020-08-30;558.00;2021-04;5165.00;;
;;2020-08-31;6040.00;2021-05;5438.00;;
;;2020-09-01;4859.00;2021-06;6663.00;;
;;2020-09-02;7062.00;2021-07;7030.00;;
;;2020-09-03;7455.00;2021-08;5502.00;;
;;2020-09-04;7316.00;2021-09;6765.00;;
;;2020-09-05;9445.00;2021-10;2801.00;;
;;2020-09-06;1386.00;2021-11;4880.00;;
;;2020-09-07;6134.00;2021-12;7075.00;;
;;2020-09-08;6233.00;2022-01;3469.00;;
;;2020-09-09;6729.00;2022-02;4848.00;;
;;2020-09-10;7245.00;2022-03;4214.00;;
;;2020-09-11;7099.00;2022-04;8100.00;;
;;2020-09-12;9433.00;2022-05;4868.00;;
;;2020-09-13;1927.00;2022-06;7087.00;;
;;2020-09-14;5474.00;2022-07;1604.00;;
;;2020-09-15;5571.00;;;;
;;2020-09-16;6141.00;;;;
;;2020-09-17;7182.00;;;;
;;2020-09-18;6590.00;;;;
;;2020-09-19;9943.00;;;;
;;2020-09-20;2111.00;;;;
;;2020-09-21;5398.00;;;;
;;2020-09-22;5443.00;;;;
;;2020-09-23;6250.00;;;;
;;2020-09-24;6801.00;;;;
;;2020-09-25;4060.00;;;;
;;2020-09-26;6825.00;;;;
;;2020-09-27;1816.00;;;;
;;2020-09-28;6594.00;;;;
;;2020-09-29;5987.00;;;;
;;2020-09-30;6799.00;;;;
;;2020-10-01;7434.00;;;;
;;2020-10-02;6981.00;;;;
;;2020-10-03;7467.00;;;;
;;2020-10-04;1895.00;;;;
;;2020-10-05;6318.00;;;;
;;2020-10-06;6097.00;;;;
;;2020-10-07;6109.00;;;;
;;2020-10-08;8096.00;;;;
;;2020-10-09;7240.00;;;;
;;2020-10-10;4235.00;;;;
;;2020-10-11;1752.00;;;;
;;2020-10-12;5385.00;;;;
;;2020-10-13;6509.00;;;;
;;2020-10-14;6101.00;;;;
;;2020-10-15;6226.00;;;;
;;2020-10-16;5023.00;;;;
;;2020-10-17;8777.00;;;;
;;2020-10-18;1864.00;;;;
;;2020-10-19;4922.00;;;;
;;2020-10-20;5300.00;;;;
;;2020-10-21;5540.00;;;;
;;2020-10-22;6011.00;;;;
;;2020-10-23;4925.00;;;;
;;2020-10-24;8683.00;;;;
;;2020-10-25;1774.00;;;;
;;2020-10-26;1347.00;;;;
;;2020-10-27;5049.00;;;;
;;2020-10-28;5058.00;;;;
;;2020-10-29;3452.00;;;;
;;2020-10-30;5742.00;;;;
;;2020-10-31;8203.00;;;;
;;2020-11-01;1530.00;;;;
;;2020-11-02;4874.00;;;;
;;2020-11-03;3869.00;;;;
;;2020-11-04;4229.00;;;;
;;2020-11-05;5678.00;;;;
;;2020-11-06;5579.00;;;;
;;2020-11-07;9058.00;;;;
;;2020-11-08;1784.00;;;;
;;2020-11-09;4926.00;;;;
;;2020-11-10;4863.00;;;;
;;2020-11-11;5452.00;;;;
;;2020-11-12;6121.00;;;;
;;2020-11-13;6183.00;;;;
;;2020-11-14;9893.00;;;;
;;2020-11-15;1832.00;;;;
;;2020-11-16;4640.00;;;;
;;2020-11-17;4913.00;;;;
;;2020-11-18;5816.00;;;;
;;2020-11-19;4131.00;;;;
;;2020-11-20;5343.00;;;;
;;2020-11-21;10100.00;;;;
;;2020-11-22;1707.00;;;;
;;2020-11-23;4992.00;;;;
;;2020-11-24;5277.00;;;;
;;2020-11-25;6299.00;;;;
;;2020-11-26;7190.00;;;;
;;2020-11-27;9467.00;;;;
;;2020-11-28;10793.00;;;;
;;2020-11-29;1660.00;;;;
;;2020-11-30;5259.00;;;;
;;2020-12-01;4403.00;;;;
;;2020-12-02;5848.00;;;;
;;2020-12-03;6696.00;;;;
;;2020-12-04;6594.00;;;;
;;2020-12-05;9971.00;;;;
;;2020-12-06;895.00;;;;
;;2020-12-07;5548.00;;;;
;;2020-12-08;6081.00;;;;
;;2020-12-09;4460.00;;;;
;;2020-12-10;6655.00;;;;
;;2020-12-11;6677.00;;;;
;;2020-12-12;10004.00;;;;
;;2020-12-13;1461.00;;;;
;;2020-12-14;6003.00;;;;
;;2020-12-15;6410.00;;;;
;;2020-12-16;7479.00;;;;
;;2020-12-17;7588.00;;;;
;;2020-12-18;8393.00;;;;
;;2020-12-19;10934.00;;;;
;;2020-12-20;1696.00;;;;
;;2020-12-21;9873.00;;;;
;;2020-12-22;8749.00;;;;
;;2020-12-23;9125.00;;;;
;;2020-12-24;5399.00;;;;
;;2020-12-25;660.00;;;;
;;2020-12-26;1176.00;;;;
;;2020-12-27;1062.00;;;;
;;2020-12-28;7658.00;;;;
;;2020-12-29;8244.00;;;;
;;2020-12-30;7481.00;;;;
;;2020-12-31;5363.00;;;;
;;2021-01-01;938.00;;;;
;;2021-01-02;7827.00;;;;
;;2021-01-03;1076.00;;;;
;;2021-01-04;4480.00;;;;
;;2021-01-05;4468.00;;;;
;;2021-01-06;4415.00;;;;
;;2021-01-07;4582.00;;;;
;;2021-01-08;4739.00;;;;
;;2021-01-09;7269.00;;;;
;;2021-01-10;724.00;;;;
;;2021-01-11;3768.00;;;;
;;2021-01-12;3292.00;;;;
;;2021-01-13;4616.00;;;;
;;2021-01-14;3325.00;;;;
;;2021-01-15;5393.00;;;;
;;2021-01-16;7986.00;;;;
;;2021-01-17;748.00;;;;
;;2021-01-18;2237.00;;;;
;;2021-01-19;2503.00;;;;
;;2021-01-20;2660.00;;;;
;;2021-01-21;2839.00;;;;
;;2021-01-22;2827.00;;;;
;;2021-01-23;3160.00;;;;
;;2021-01-24;1091.00;;;;
;;2021-01-25;2051.00;;;;
;;2021-01-26;2396.00;;;;
;;2021-01-27;2111.00;;;;
;;2021-01-28;1729.00;;;;
;;2021-01-29;2212.00;;;;
;;2021-01-30;1922.00;;;;
;;2021-01-31;1089.00;;;;
;;2021-02-01;1958.00;;;;
;;2021-02-02;2693.00;;;;
;;2021-02-03;1401.00;;;;
;;2021-02-04;2927.00;;;;
;;2021-02-05;3215.00;;;;
;;2021-02-06;3546.00;;;;
;;2021-02-07;509.00;;;;
;;2021-02-08;2741.00;;;;
;;2021-02-09;2237.00;;;;
;;2021-02-10;1667.00;;;;
;;2021-02-11;2129.00;;;;
;;2021-02-12;2380.00;;;;
;;2021-02-13;2801.00;;;;
;;2021-02-14;955.00;;;;
;;2021-02-15;2219.00;;;;
;;2021-02-16;2986.00;;;;
;;2021-02-17;3125.00;;;;
;;2021-02-18;2916.00;;;;
;;2021-02-19;3302.00;;;;
;;2021-02-20;3939.00;;;;
;;2021-02-21;1465.00;;;;
;;2021-02-22;2918.00;;;;
