h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
;;2020-08-22;318.00;2020-08;205.00;2020;221.00
;;2020-08-23;68.00;2020-09;261.00;2021;310.00
;;2020-08-24;217.00;2020-10;386.00;2022;51.00
;;2020-08-25;225.00;2020-11;162.00;;
;;2020-08-26;184.00;2020-12;221.00;;
;;2020-08-27;238.00;2021-01;33.00;;
;;2020-08-28;169.00;2021-02;49.00;;
;;2020-08-29;161.00;2021-03;280.00;;
;;2020-08-30;7.00;2021-04;187.00;;
;;2020-08-31;205.00;2021-05;234.00;;
;;2020-09-01;156.00;2021-06;284.00;;
;;2020-09-02;266.00;2021-07;242.00;;
;;2020-09-03;288.00;2021-08;209.00;;
;;2020-09-04;277.00;2021-09;265.00;;
;;2020-09-05;323.00;2021-10;91.00;;
;;2020-09-06;38.00;2021-11;151.00;;
;;2020-09-07;217.00;2021-12;310.00;;
;;2020-09-08;248.00;2022-01;138.00;;
;;2020-09-09;224.00;2022-02;182.00;;
;;2020-09-10;198.00;2022-03;126.00;;
;;2020-09-11;244.00;2022-04;315.00;;
;;2020-09-12;356.00;2022-05;199.00;;
;;2020-09-13;47.00;2022-06;238.00;;
;;2020-09-14;165.00;2022-07;51.00;;
;;2020-09-15;182.00;;;;
;;2020-09-16;210.00;;;;
;;2020-09-17;217.00;;;;
;;2020-09-18;187.00;;;;
;;2020-09-19;353.00;;;;
;;2020-09-20;56.00;;;;
;;2020-09-21;191.00;;;;
;;2020-09-22;175.00;;;;
;;2020-09-23;226.00;;;;
;;2020-09-24;181.00;;;;
;;2020-09-25;117.00;;;;
;;2020-09-26;243.00;;;;
;;2020-09-27;66.00;;;;
;;2020-09-28;311.00;;;;
;;2020-09-29;252.00;;;;
;;2020-09-30;261.00;;;;
;;2020-10-01;267.00;;;;
;;2020-10-02;263.00;;;;
;;2020-10-03;248.00;;;;
;;2020-10-04;62.00;;;;
;;2020-10-05;274.00;;;;
;;2020-10-06;269.00;;;;
;;2020-10-07;239.00;;;;
;;2020-10-08;337.00;;;;
;;2020-10-09;307.00;;;;
;;2020-10-10;173.00;;;;
;;2020-10-11;67.00;;;;
;;2020-10-12;267.00;;;;
;;2020-10-13;278.00;;;;
;;2020-10-14;306.00;;;;
;;2020-10-15;234.00;;;;
;;2020-10-16;198.00;;;;
;;2020-10-17;355.00;;;;
;;2020-10-18;57.00;;;;
