h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
;;2020-08-22;7720.00;2020-08;5512.00;2020;5269.00
;;2020-08-23;1608.00;2020-09;6361.00;2021;6286.00
;;2020-08-24;5299.00;2020-10;7742.00;2022;1268.00
;;2020-08-25;5983.00;2020-11;5095.00;;
;;2020-08-26;6338.00;2020-12;5269.00;;
;;2020-08-27;6824.00;2021-01;1123.00;;
;;2020-08-28;5270.00;2021-02;1167.00;;
;;2020-08-29;3308.00;2021-03;6580.00;;
;;2020-08-30;427.00;2021-04;5161.00;;
;;2020-08-31;5512.00;2021-05;5013.00;;
;;2020-09-01;4675.00;2021-06;6293.00;;
;;2020-09-02;6807.00;2021-07;6085.00;;
;;2020-09-03;7201.00;2021-08;5135.00;;
;;2020-09-04;6549.00;2021-09;6344.00;;
;;2020-09-05;8819.00;2021-10;2067.00;;
;;2020-09-06;1083.00;2021-11;4675.00;;
;;2020-09-07;5581.00;2021-12;6286.00;;
;;2020-09-08;5832.00;2022-01;3398.00;;
;;2020-09-09;6321.00;2022-02;4452.00;;
;;2020-09-10;6668.00;2022-03;4031.00;;
;;2020-09-11;6393.00;2022-04;7217.00;;
;;2020-09-12;8445.00;2022-05;5034.00;;
;;2020-09-13;1632.00;2022-06;6737.00;;
;;2020-09-14;5001.00;2022-07;1268.00;;
;;2020-09-15;5247.00;;;;
;;2020-09-16;5694.00;;;;
;;2020-09-17;6312.00;;;;
;;2020-09-18;6014.00;;;;
;;2020-09-19;8890.00;;;;
;;2020-09-20;1775.00;;;;
;;2020-09-21;4972.00;;;;
;;2020-09-22;5175.00;;;;
;;2020-09-23;5640.00;;;;
;;2020-09-24;6203.00;;;;
;;2020-09-25;3828.00;;;;
;;2020-09-26;6358.00;;;;
;;2020-09-27;1533.00;;;;
;;2020-09-28;6166.00;;;;
;;2020-09-29;5813.00;;;;
;;2020-09-30;6361.00;;;;
;;2020-10-01;6849.00;;;;
;;2020-10-02;6351.00;;;;
;;2020-10-03;6357.00;;;;
;;2020-10-04;1570.00;;;;
;;2020-10-05;5884.00;;;;
;;2020-10-06;5669.00;;;;
;;2020-10-07;5642.00;;;;
;;2020-10-08;7169.00;;;;
;;2020-10-09;6632.00;;;;
;;2020-10-10;3988.00;;;;
;;2020-10-11;1577.00;;;;
;;2020-10-12;5300.00;;;;
;;2020-10-13;6153.00;;;;
;;2020-10-14;5830.00;;;;
;;2020-10-15;6000.00;;;;
;;2020-10-16;4871.00;;;;
;;2020-10-17;7987.00;;;;
;;2020-10-18;1594.00;;;;
;;2020-10-19;4666.00;;;;
;;2020-10-20;5034.00;;;;
;;2020-10-21;5192.00;;;;
;;2020-10-22;5664.00;;;;
;;2020-10-23;4769.00;;;;
;;2020-10-24;8057.00;;;;
;;2020-10-25;1527.00;;;;
;;2020-10-26;1359.00;;;;
;;2020-10-27;4802.00;;;;
;;2020-10-28;5030.00;;;;
;;2020-10-29;3479.00;;;;
;;2020-10-30;5715.00;;;;
;;2020-10-31;7742.00;;;;
;;2020-11-01;1296.00;;;;
;;2020-11-02;4625.00;;;;
;;2020-11-03;3838.00;;;;
;;2020-11-04;4498.00;;;;
;;2020-11-05;5589.00;;;;
;;2020-11-06;5495.00;;;;
;;2020-11-07;8630.00;;;;
;;2020-11-08;1495.00;;;;
;;2020-11-09;4660.00;;;;
;;2020-11-10;4819.00;;;;
;;2020-11-11;5280.00;;;;
;;2020-11-12;5996.00;;;;
;;2020-11-13;6023.00;;;;
;;2020-11-14;9301.00;;;;
;;2020-11-15;1628.00;;;;
;;2020-11-16;4465.00;;;;
;;2020-11-17;4824.00;;;;
;;2020-11-18;5635.00;;;;
;;2020-11-19;4084.00;;;;
;;2020-11-20;5381.00;;;;
;;2020-11-21;9299.00;;;;
;;2020-11-22;1505.00;;;;
;;2020-11-23;4936.00;;;;
;;2020-11-24;5151.00;;;;
;;2020-11-25;5943.00;;;;
;;2020-11-26;6894.00;;;;
;;2020-11-27;9435.00;;;;
;;2020-11-28;10345.00;;;;
;;2020-11-29;1543.00;;;;
;;2020-11-30;5095.00;;;;
;;2020-12-01;4243.00;;;;
;;2020-12-02;5751.00;;;;
;;2020-12-03;6405.00;;;;
;;2020-12-04;6658.00;;;;
;;2020-12-05;9464.00;;;;
;;2020-12-06;768.00;;;;
;;2020-12-07;5356.00;;;;
;;2020-12-08;5871.00;;;;
;;2020-12-09;4449.00;;;;
;;2020-12-10;6492.00;;;;
;;2020-12-11;6578.00;;;;
;;2020-12-12;9546.00;;;;
;;2020-12-13;1380.00;;;;
;;2020-12-14;5805.00;;;;
;;2020-12-15;6171.00;;;;
;;2020-12-16;7544.00;;;;
;;2020-12-17;7429.00;;;;
;;2020-12-18;8272.00;;;;
;;2020-12-19;10397.00;;;;
;;2020-12-20;1397.00;;;;
;;2020-12-21;9506.00;;;;
;;2020-12-22;8434.00;;;;
;;2020-12-23;8977.00;;;;
;;2020-12-24;5256.00;;;;
;;2020-12-25;631.00;;;;
;;2020-12-26;876.00;;;;
;;2020-12-27;883.00;;;;
;;2020-12-28;7368.00;;;;
;;2020-12-29;7835.00;;;;
;;2020-12-30;7042.00;;;;
;;2020-12-31;5269.00;;;;
;;2021-01-01;811.00;;;;
;;2021-01-02;7241.00;;;;
;;2021-01-03;860.00;;;;
