h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
;;2020-08-22;16227.00;2020-08;11387.00;2020;10453.00
;;2020-08-23;4321.00;2020-09;12924.00;2021;13079.00
;;2020-08-24;11114.00;2020-10;15658.00;2022;2844.00
;;2020-08-25;12334.00;2020-11;10219.00;;
;;2020-08-26;12860.00;2020-12;10453.00;;
;;2020-08-27;13967.00;2021-01;2181.00;;
;;2020-08-28;10740.00;2021-02;2556.00;;
;;2020-08-29;6529.00;2021-03;12923.00;;
;;2020-08-30;963.00;2021-04;10123.00;;
;;2020-08-31;11387.00;2021-05;10277.00;;
;;2020-09-01;9397.00;2021-06;12708.00;;
;;2020-09-02;13627.00;2021-07;12909.00;;
;;2020-09-03;14377.00;2021-08;10462.00;;
;;2020-09-04;13619.00;2021-09;12916.00;;
;;2020-09-05;17922.00;2021-10;4779.00;;
;;2020-09-06;2436.00;2021-11;9403.00;;
;;2020-09-07;11536.00;2021-12;13079.00;;
;;2020-09-08;11865.00;2022-01;6744.00;;
;;2020-09-09;12837.00;2022-02;9125.00;;
;;2020-09-10;13719.00;2022-03;8141.00;;
;;2020-09-11;13280.00;2022-04;15029.00;;
;;2020-09-12;17535.00;2022-05;9700.00;;
;;2020-09-13;3517.00;2022-06;13634.00;;
;;2020-09-14;10338.00;2022-07;2844.00;;
;;2020-09-15;10663.00;;;;
;;2020-09-16;11673.00;;;;
;;2020-09-17;13307.00;;;;
;;2020-09-18;12416.00;;;;
;;2020-09-19;18518.00;;;;
;;2020-09-20;3827.00;;;;
;;2020-09-21;10197.00;;;;
;;2020-09-22;10468.00;;;;
;;2020-09-23;11705.00;;;;
;;2020-09-24;12835.00;;;;
;;2020-09-25;7761.00;;;;
;;2020-09-26;12959.00;;;;
;;2020-09-27;3309.00;;;;
;;2020-09-28;12503.00;;;;
;;2020-09-29;11577.00;;;;
;;2020-09-30;12924.00;;;;
;;2020-10-01;14043.00;;;;
;;2020-10-02;13113.00;;;;
;;2020-10-03;13668.00;;;;
;;2020-10-04;3426.00;;;;
;;2020-10-05;11947.00;;;;
;;2020-10-06;11551.00;;;;
;;2020-10-07;11549.00;;;;
;;2020-10-08;15003.00;;;;
;;2020-10-09;13598.00;;;;
;;2020-10-10;8081.00;;;;
;;2020-10-11;3293.00;;;;
;;2020-10-12;10440.00;;;;
;;2020-10-13;12409.00;;;;
;;2020-10-14;11669.00;;;;
;;2020-10-15;11999.00;;;;
;;2020-10-16;9700.00;;;;
;;2020-10-17;16457.00;;;;
;;2020-10-18;3401.00;;;;
;;2020-10-19;9448.00;;;;
;;2020-10-20;10153.00;;;;
;;2020-10-21;10557.00;;;;
;;2020-10-22;11508.00;;;;
;;2020-10-23;9535.00;;;;
;;2020-10-24;16442.00;;;;
;;2020-10-25;3244.00;;;;
;;2020-10-26;2669.00;;;;
;;2020-10-27;9683.00;;;;
;;2020-10-28;9875.00;;;;
;;2020-10-29;6819.00;;;;
;;2020-10-30;11239.00;;;;
;;2020-10-31;15658.00;;;;
;;2020-11-01;2791.00;;;;
;;2020-11-02;9338.00;;;;
;;2020-11-03;7597.00;;;;
;;2020-11-04;8563.00;;;;
;;2020-11-05;11070.00;;;;
;;2020-11-06;10868.00;;;;
;;2020-11-07;17358.00;;;;
;;2020-11-08;3225.00;;;;
;;2020-11-09;9429.00;;;;
;;2020-11-10;9551.00;;;;
;;2020-11-11;10526.00;;;;
;;2020-11-12;11932.00;;;;
;;2020-11-13;12023.00;;;;
;;2020-11-14;18823.00;;;;
;;2020-11-15;3401.00;;;;
;;2020-11-16;8943.00;;;;
;;2020-11-17;9588.00;;;;
;;2020-11-18;11247.00;;;;
;;2020-11-19;8095.00;;;;
;;2020-11-20;10550.00;;;;
;;2020-11-21;19088.00;;;;
;;2020-11-22;3146.00;;;;
;;2020-11-23;9730.00;;;;
;;2020-11-24;10229.00;;;;
;;2020-11-25;12021.00;;;;
;;2020-11-26;13889.00;;;;
;;2020-11-27;18586.00;;;;
;;2020-11-28;20777.00;;;;
;;2020-11-29;3132.00;;;;
;;2020-11-30;10219.00;;;;
;;2020-12-01;8491.00;;;;
;;2020-12-02;11367.00;;;;
;;2020-12-03;12896.00;;;;
;;2020-12-04;13016.00;;;;
;;2020-12-05;19102.00;;;;
;;2020-12-06;1631.00;;;;
