h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
;;2020-08-22;21.63;2020-08;17.25;2020;2.73
;;2020-08-23;21.77;2020-09;16.70;2021;10.89
;;2020-08-24;20.97;2020-10;13.46;2022;26.50
;;2020-08-25;23.46;2020-11;1.74;;
;;2020-08-26;25.60;2020-12;2.73;;
;;2020-08-27;23.22;2021-01;4.51;;
;;2020-08-28;22.94;2021-02;7.41;;
;;2020-08-29;15.08;2021-03;18.70;;
;;2020-08-30;12.63;2021-04;14.53;;
;;2020-08-31;17.25;2021-05;19.50;;
;;2020-09-01;17.07;2021-06;18.49;;
;;2020-09-02;18.13;2021-07;20.47;;
;;2020-09-03;21.07;2021-08;17.26;;
;;2020-09-04;24.71;2021-09;14.20;;
;;2020-09-05;24.85;2021-10;15.71;;
;;2020-09-06;15.60;2021-11;3.41;;
;;2020-09-07;18.42;2021-12;10.89;;
;;2020-09-08;21.27;2022-01;3.33;;
;;2020-09-09;23.53;2022-02;6.45;;
;;2020-09-10;22.46;2022-03;9.95;;
;;2020-09-11;22.90;2022-04;12.04;;
;;2020-09-12;24.02;2022-05;19.55;;
;;2020-09-13;24.67;2022-06;25.97;;
;;2020-09-14;24.75;2022-07;26.50;;
;;2020-09-15;25.97;;;;
;;2020-09-16;25.38;;;;
;;2020-09-17;23.58;;;;
;;2020-09-18;22.28;;;;
;;2020-09-19;20.48;;;;
;;2020-09-20;21.37;;;;
;;2020-09-21;21.61;;;;
;;2020-09-22;21.02;;;;
;;2020-09-23;19.76;;;;
;;2020-09-24;19.80;;;;
;;2020-09-25;13.19;;;;
;;2020-09-26;8.22;;;;
;;2020-09-27;12.33;;;;
;;2020-09-28;13.91;;;;
;;2020-09-29;12.90;;;;
;;2020-09-30;16.70;;;;
;;2020-10-01;16.66;;;;
;;2020-10-02;18.91;;;;
;;2020-10-03;14.21;;;;
;;2020-10-04;15.39;;;;
;;2020-10-05;12.62;;;;
;;2020-10-06;14.66;;;;
;;2020-10-07;11.75;;;;
;;2020-10-08;17.05;;;;
;;2020-10-09;17.89;;;;
;;2020-10-10;11.29;;;;
;;2020-10-11;9.06;;;;
;;2020-10-12;8.30;;;;
;;2020-10-13;10.57;;;;
;;2020-10-14;10.00;;;;
;;2020-10-15;7.32;;;;
;;2020-10-16;9.08;;;;
;;2020-10-17;9.13;;;;
;;2020-10-18;10.62;;;;
;;2020-10-19;12.10;;;;
;;2020-10-20;14.06;;;;
;;2020-10-21;17.72;;;;
;;2020-10-22;18.52;;;;
;;2020-10-23;15.97;;;;
;;2020-10-24;14.59;;;;
;;2020-10-25;14.29;;;;
;;2020-10-26;9.28;;;;
;;2020-10-27;10.38;;;;
;;2020-10-28;12.22;;;;
;;2020-10-29;10.95;;;;
;;2020-10-30;15.15;;;;
;;2020-10-31;13.46;;;;
;;2020-11-01;13.58;;;;
;;2020-11-02;18.90;;;;
;;2020-11-03;14.19;;;;
;;2020-11-04;8.10;;;;
;;2020-11-05;10.17;;;;
;;2020-11-06;10.24;;;;
;;2020-11-07;12.82;;;;
;;2020-11-08;11.20;;;;
;;2020-11-09;11.48;;;;
;;2020-11-10;9.59;;;;
;;2020-11-11;10.04;;;;
;;2020-11-12;12.54;;;;
;;2020-11-13;12.60;;;;
;;2020-11-14;12.86;;;;
;;2020-11-15;11.83;;;;
;;2020-11-16;10.00;;;;
;;2020-11-17;10.06;;;;
;;2020-11-18;10.86;;;;
;;2020-11-19;12.38;;;;
;;2020-11-20;4.56;;;;
;;2020-11-21;4.52;;;;
;;2020-11-22;5.92;;;;
;;2020-11-23;6.49;;;;
;;2020-11-24;5.72;;;;
;;2020-11-25;6.93;;;;
;;2020-11-26;6.94;;;;
;;2020-11-27;6.31;;;;
;;2020-11-28;4.85;;;;
;;2020-11-29;1.19;;;;
;;2020-11-30;1.74;;;;
;;2020-12-01;1.82;;;;
;;2020-12-02;1.04;;;;
;;2020-12-03;2.27;;;;
;;2020-12-04;5.58;;;;
;;2020-12-05;3.05;;;;
;;2020-12-06;1.60;;;;
;;2020-12-07;2.47;;;;
;;2020-12-08;2.29;;;;
;;2020-12-09;1.27;;;;
;;2020-12-10;1.25;;;;
;;2020-12-11;2.79;;;;
;;2020-12-12;4.05;;;;
;;2020-12-13;3.80;;;;
;;2020-12-14;6.27;;;;
;;2020-12-15;6.22;;;;
;;2020-12-16;7.66;;;;
;;2020-12-17;7.54;;;;
;;2020-12-18;6.24;;;;
;;2020-12-19;5.91;;;;
;;2020-12-20;5.07;;;;
;;2020-12-21;6.67;;;;
;;2020-12-22;11.43;;;;
;;2020-12-23;11.17;;;;
;;2020-12-24;8.25;;;;
;;2020-12-25;3.47;;;;
;;2020-12-26;-0.33;;;;
;;2020-12-27;1.69;;;;
;;2020-12-28;1.96;;;;
;;2020-12-29;3.76;;;;
;;2020-12-30;2.05;;;;
;;2020-12-31;2.73;;;;
;;2021-01-01;1.67;;;;
;;2021-01-02;1.26;;;;
;;2021-01-03;0.40;;;;
;;2021-01-04;0.51;;;;
;;2021-01-05;-0.88;;;;
;;2021-01-06;-0.81;;;;
;;2021-01-07;0.53;;;;
;;2021-01-08;0.54;;;;
;;2021-01-09;-1.09;;;;
;;2021-01-10;-1.34;;;;
;;2021-01-11;-2.32;;;;
;;2021-01-12;2.13;;;;
;;2021-01-13;2.92;;;;
;;2021-01-14;4.61;;;;
;;2021-01-15;1.52;;;;
