h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
;;2020-08-22;16.89;2020-08;7.17;2020;-3.29
;;2020-08-23;14.84;2020-09;7.14;2021;3.63
;;2020-08-24;12.35;2020-10;5.25;2022;15.95
;;2020-08-25;10.87;2020-11;-2.90;;
;;2020-08-26;16.31;2020-12;-3.29;;
;;2020-08-27;12.62;2021-01;1.24;;
;;2020-08-28;12.96;2021-02;-0.41;;
;;2020-08-29;11.69;2021-03;5.61;;
;;2020-08-30;10.27;2021-04;6.58;;
;;2020-08-31;7.17;2021-05;5.76;;
;;2020-09-01;9.97;2021-06;11.72;;
;;2020-09-02;9.10;2021-07;14.85;;
;;2020-09-03;8.51;2021-08;10.62;;
;;2020-09-04;11.28;2021-09;7.21;;
;;2020-09-05;14.18;2021-10;7.13;;
;;2020-09-06;12.08;2021-11;-2.73;;
;;2020-09-07;10.64;2021-12;3.63;;
;;2020-09-08;8.79;2022-01;-0.55;;
;;2020-09-09;11.12;2022-02;-5.13;;
;;2020-09-10;11.87;2022-03;4.75;;
;;2020-09-11;13.19;2022-04;7.61;;
;;2020-09-12;13.32;2022-05;8.82;;
;;2020-09-13;13.54;2022-06;14.69;;
;;2020-09-14;13.68;2022-07;15.95;;
;;2020-09-15;15.01;;;;
;;2020-09-16;15.23;;;;
;;2020-09-17;13.83;;;;
;;2020-09-18;12.87;;;;
;;2020-09-19;12.77;;;;
;;2020-09-20;12.84;;;;
;;2020-09-21;12.30;;;;
;;2020-09-22;12.28;;;;
;;2020-09-23;13.11;;;;
;;2020-09-24;12.69;;;;
;;2020-09-25;5.99;;;;
;;2020-09-26;4.75;;;;
;;2020-09-27;3.89;;;;
;;2020-09-28;4.24;;;;
;;2020-09-29;8.03;;;;
;;2020-09-30;7.14;;;;
;;2020-10-01;8.09;;;;
;;2020-10-02;8.92;;;;
;;2020-10-03;6.69;;;;
;;2020-10-04;6.21;;;;
;;2020-10-05;6.51;;;;
;;2020-10-06;7.62;;;;
;;2020-10-07;7.45;;;;
;;2020-10-08;6.56;;;;
;;2020-10-09;8.41;;;;
;;2020-10-10;7.02;;;;
;;2020-10-11;5.03;;;;
;;2020-10-12;2.76;;;;
;;2020-10-13;1.89;;;;
;;2020-10-14;1.84;;;;
;;2020-10-15;3.52;;;;
;;2020-10-16;4.66;;;;
;;2020-10-17;4.74;;;;
;;2020-10-18;4.50;;;;
;;2020-10-19;2.98;;;;
;;2020-10-20;2.71;;;;
;;2020-10-21;8.29;;;;
;;2020-10-22;8.99;;;;
;;2020-10-23;10.45;;;;
;;2020-10-24;7.95;;;;
;;2020-10-25;5.38;;;;
;;2020-10-26;3.66;;;;
;;2020-10-27;3.70;;;;
;;2020-10-28;5.78;;;;
;;2020-10-29;7.91;;;;
;;2020-10-30;8.29;;;;
;;2020-10-31;5.25;;;;
;;2020-11-01;7.89;;;;
;;2020-11-02;12.27;;;;
;;2020-11-03;6.29;;;;
;;2020-11-04;5.83;;;;
;;2020-11-05;5.91;;;;
;;2020-11-06;4.55;;;;
;;2020-11-07;4.37;;;;
;;2020-11-08;4.85;;;;
;;2020-11-09;4.50;;;;
;;2020-11-10;4.49;;;;
;;2020-11-11;4.93;;;;
;;2020-11-12;4.03;;;;
;;2020-11-13;3.99;;;;
;;2020-11-14;5.35;;;;
;;2020-11-15;4.70;;;;
;;2020-11-16;5.47;;;;
;;2020-11-17;4.29;;;;
;;2020-11-18;3.86;;;;
;;2020-11-19;3.26;;;;
;;2020-11-20;-1.05;;;;
;;2020-11-21;-1.86;;;;
;;2020-11-22;0.01;;;;
;;2020-11-23;1.26;;;;
;;2020-11-24;-1.14;;;;
;;2020-11-25;-0.27;;;;
;;2020-11-26;-0.11;;;;
;;2020-11-27;0.12;;;;
;;2020-11-28;-0.65;;;;
;;2020-11-29;-1.60;;;;
;;2020-11-30;-2.90;;;;
;;2020-12-01;-2.08;;;;
;;2020-12-02;-2.71;;;;
;;2020-12-03;-2.76;;;;
;;2020-12-04;0.09;;;;
;;2020-12-05;-0.10;;;;
;;2020-12-06;-0.79;;;;
;;2020-12-07;-0.81;;;;
;;2020-12-08;-1.50;;;;
;;2020-12-09;-1.32;;;;
;;2020-12-10;-2.71;;;;
;;2020-12-11;-3.27;;;;
;;2020-12-12;0.19;;;;
;;2020-12-13;1.03;;;;
;;2020-12-14;-0.09;;;;
;;2020-12-15;2.06;;;;
;;2020-12-16;3.10;;;;
;;2020-12-17;1.82;;;;
;;2020-12-18;1.83;;;;
;;2020-12-19;0.65;;;;
;;2020-12-20;1.40;;;;
;;2020-12-21;2.34;;;;
;;2020-12-22;6.18;;;;
;;2020-12-23;6.43;;;;
;;2020-12-24;3.11;;;;
;;2020-12-25;-2.09;;;;
;;2020-12-26;-3.66;;;;
;;2020-12-27;-4.17;;;;
;;2020-12-28;-0.07;;;;
;;2020-12-29;-0.48;;;;
;;2020-12-30;-1.20;;;;
;;2020-12-31;-3.29;;;;
;;2021-01-01;-1.76;;;;
;;2021-01-02;-1.65;;;;
;;2021-01-03;-2.24;;;;
;;2021-01-04;-2.88;;;;
;;2021-01-05;-3.65;;;;
;;2021-01-06;-3.27;;;;
;;2021-01-07;-4.00;;;;
;;2021-01-08;-5.30;;;;
;;2021-01-09;-7.06;;;;
;;2021-01-10;-6.64;;;;
;;2021-01-11;-7.60;;;;
;;2021-01-12;-5.35;;;;
;;2021-01-13;-1.23;;;;
;;2021-01-14;-1.06;;;;
;;2021-01-15;-5.47;;;;
;;2021-01-16;-7.86;;;;
;;2021-01-17;-5.49;;;;
;;2021-01-18;-3.47;;;;
;;2021-01-19;-5.93;;;;
;;2021-01-20;-1.82;;;;
;;2021-01-21;0.81;;;;
;;2021-01-22;1.84;;;;
;;2021-01-23;-0.30;;;;
;;2021-01-24;-4.18;;;;
;;2021-01-25;-4.07;;;;
;;2021-01-26;-3.61;;;;
;;2021-01-27;-4.56;;;;
;;2021-01-28;1.48;;;;
;;2021-01-29;3.70;;;;
;;2021-01-30;2.83;;;;
;;2021-01-31;1.24;;;;
;;2021-02-01;1.84;;;;
;;2021-02-02;4.73;;;;
;;2021-02-03;5.69;;;;
;;2021-02-04;4.04;;;;
;;2021-02-05;2.78;;;;
;;2021-02-06;3.41;;;;
;;2021-02-07;1.30;;;;
;;2021-02-08;-0.16;;;;
;;2021-02-09;-1.31;;;;
;;2021-02-10;-3.87;;;;
;;2021-02-11;-9.29;;;;
;;2021-02-12;-10.10;;;;
;;2021-02-13;-10.37;;;;
;;2021-02-14;-12.62;;;;
;;2021-02-15;-6.44;;;;
;;2021-02-16;1.00;;;;
;;2021-02-17;1.95;;;;
;;2021-02-18;-0.17;;;;
;;2021-02-19;3.85;;;;
;;2021-02-20;1.70;;;;
;;2021-02-21;1.52;;;;
;;2021-02-22;2.00;;;;
;;2021-02-23;3.55;;;;
;;2021-02-24;4.06;;;;
;;2021-02-25;3.38;;;;
;;2021-02-26;4.01;;;;
;;2021-02-27;1.69;;;;
;;2021-02-28;-0.41;;;;
;;2021-03-01;-0.65;;;;
;;2021-03-02;0.11;;;;
;;2021-03-03;1.36;;;;
;;2021-03-04;3.83;;;;
;;2021-03-05;0.22;;;;
;;2021-03-06;-2.36;;;;
;;2021-03-07;-0.99;;;;
;;2021-03-08;0.28;;;;
;;2021-03-09;-2.19;;;;
;;2021-03-10;0.46;;;;
;;2021-03-11;3.78;;;;
;;2021-03-12;2.91;;;;
;;2021-03-13;2.75;;;;
;;2021-03-14;0.81;;;;
;;2021-03-15;0.31;;;;
;;2021-03-16;-0.73;;;;
;;2021-03-17;-1.16;;;;
;;2021-03-18;-2.57;;;;
;;2021-03-19;-4.34;;;;
;;2021-03-20;-4.38;;;;
;;2021-03-21;-4.54;;;;
;;2021-03-22;-1.17;;;;
;;2021-03-23;-3.34;;;;
;;2021-03-24;-1.73;;;;
;;2021-03-25;0.88;;;;
;;2021-03-26;2.06;;;;
;;2021-03-27;2.87;;;;
;;2021-03-28;0.50;;;;
;;2021-03-29;2.58;;;;
;;2021-03-30;3.91;;;;
;;2021-03-31;5.61;;;;
;;2021-04-01;6.99;;;;
;;2021-04-02;6.78;;;;
;;2021-04-03;1.75;;;;
;;2021-04-04;-0.65;;;;
;;2021-04-05;-0.53;;;;
;;2021-04-06;-3.79;;;;
;;2021-04-07;-3.93;;;;
;;2021-04-08;-1.87;;;;
;;2021-04-09;0.14;;;;
;;2021-04-10;4.38;;;;
;;2021-04-11;6.03;;;;
;;2021-04-12;-0.25;;;;
;;2021-04-13;-1.85;;;;
;;2021-04-14;-3.63;;;;
;;2021-04-15;-1.87;;;;
;;2021-04-16;-2.81;;;;
;;2021-04-17;-1.91;;;;
;;2021-04-18;1.15;;;;
;;2021-04-19;2.01;;;;
;;2021-04-20;1.46;;;;
;;2021-04-21;2.47;;;;
;;2021-04-22;4.35;;;;
;;2021-04-23;2.11;;;;
;;2021-04-24;2.02;;;;
;;2021-04-25;5.36;;;;
;;2021-04-26;3.51;;;;
;;2021-04-27;3.98;;;;
;;2021-04-28;5.79;;;;
;;2021-04-29;7.86;;;;
;;2021-04-30;6.58;;;;
;;2021-05-01;5.19;;;;
;;2021-05-02;3.51;;;;
;;2021-05-03;1.93;;;;
;;2021-05-04;4.10;;;;
;;2021-05-05;4.22;;;;
;;2021-05-06;3.66;;;;
;;2021-05-07;4.64;;;;
;;2021-05-08;2.16;;;;
;;2021-05-09;7.57;;;;
;;2021-05-10;13.09;;;;
;;2021-05-11;8.39;;;;
;;2021-05-12;6.93;;;;
;;2021-05-13;5.81;;;;
;;2021-05-14;4.96;;;;
;;2021-05-15;5.87;;;;
;;2021-05-16;6.57;;;;
;;2021-05-17;6.94;;;;
;;2021-05-18;6.90;;;;
;;2021-05-19;6.04;;;;
;;2021-05-20;5.36;;;;
;;2021-05-21;7.10;;;;
;;2021-05-22;6.70;;;;
;;2021-05-23;6.37;;;;
;;2021-05-24;5.76;;;;
;;2021-05-25;6.80;;;;
;;2021-05-26;6.54;;;;
;;2021-05-27;7.44;;;;
;;2021-05-28;4.54;;;;
;;2021-05-29;8.05;;;;
;;2021-05-30;5.81;;;;
;;2021-05-31;5.76;;;;
;;2021-06-01;7.01;;;;
;;2021-06-02;8.66;;;;
;;2021-06-03;12.28;;;;
;;2021-06-04;13.04;;;;
;;2021-06-05;12.63;;;;
;;2021-06-06;11.50;;;;
;;2021-06-07;12.63;;;;
;;2021-06-08;12.90;;;;
;;2021-06-09;12.47;;;;
;;2021-06-10;12.00;;;;
;;2021-06-11;12.08;;;;
;;2021-06-12;12.94;;;;
;;2021-06-13;15.23;;;;
;;2021-06-14;11.02;;;;
;;2021-06-15;13.12;;;;
;;2021-06-16;14.11;;;;
;;2021-06-17;15.80;;;;
;;2021-06-18;16.77;;;;
;;2021-06-19;17.42;;;;
;;2021-06-20;18.07;;;;
;;2021-06-21;15.65;;;;
;;2021-06-22;15.19;;;;
;;2021-06-23;14.02;;;;
;;2021-06-24;13.00;;;;
;;2021-06-25;12.71;;;;
;;2021-06-26;11.34;;;;
;;2021-06-27;13.55;;;;
;;2021-06-28;15.37;;;;
;;2021-06-29;14.11;;;;
;;2021-06-30;11.72;;;;
;;2021-07-01;11.22;;;;
;;2021-07-02;12.33;;;;
;;2021-07-03;11.56;;;;
;;2021-07-04;13.69;;;;
;;2021-07-05;13.01;;;;
;;2021-07-06;13.80;;;;
;;2021-07-07;14.49;;;;
;;2021-07-08;13.63;;;;
