h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
;;2020-03-14;0;2020-03;1.00;2020;336.00
;;2020-03-17;0;2020-04;31.00;2021;805.00
;;2020-03-20;0;2020-05;36.00;2022;0
;;2020-04-02;8.00;2020-06;0;;
;;2020-04-08;15.00;2020-07;40.00;;
;;2020-04-20;27.00;2020-08;0;;
;;2020-04-28;33.00;2020-09;41.00;;
;;2020-04-30;33.00;2020-10;48.00;;
;;2020-05-03;0;2020-11;228.00;;
;;2020-05-09;0;2020-12;336.00;;
;;2020-05-16;0;2021-01;0;;
;;2020-05-31;0;2021-02;675.00;;
;;2020-06-01;0;2021-03;691.00;;
;;2020-06-03;37.00;2021-04;0;;
;;2020-06-08;0;2021-05;0;;
;;2020-06-15;0;2021-06;715.00;;
;;2020-06-18;0;2021-07;717.00;;
;;2020-06-20;0;2021-08;0;;
;;2020-06-22;38.00;2021-09;740.00;;
;;2020-06-28;0;2021-10;747.00;;
;;2020-06-30;38.00;2021-11;765.00;;
;;2020-07-03;38.00;2021-12;805.00;;
;;2020-07-08;39.00;2022-01;822.00;;
;;2020-07-13;39.00;2022-02;0;;
;;2020-07-21;39.00;2022-03;854.00;;
;;2020-07-24;40.00;2022-04;859.00;;
;;2020-07-26;0;2022-05;860.00;;
;;2020-07-28;40.00;2022-06;0;;
;;2020-08-05;40.00;2022-07;0;;
;;2020-08-11;40.00;2022-08;0;;
;;2020-08-12;40.00;2022-09;0;;
;;2020-08-18;41.00;2022-10;0;;
;;2020-08-21;0;2022-11;0;;
;;2020-08-24;41.00;;;;
;;2020-08-29;0;;;;
;;2020-09-02;0;;;;
;;2020-09-07;41.00;;;;
;;2020-09-09;0;;;;
;;2020-09-10;41.00;;;;
;;2020-09-29;41.00;;;;
;;2020-10-02;0;;;;
;;2020-10-04;41.00;;;;
;;2020-10-14;43.00;;;;
;;2020-10-16;0;;;;
;;2020-10-26;50.00;;;;
;;2020-11-05;98.00;;;;
;;2020-11-08;117.00;;;;
;;2020-11-21;0;;;;
;;2020-11-29;250.00;;;;
;;2020-12-14;384.00;;;;
;;2020-12-23;467.00;;;;
;;2020-12-24;0;;;;
;;2020-12-25;0;;;;
;;2020-12-30;508.00;;;;
;;2020-12-31;0;;;;
;;2021-01-04;542.00;;;;
;;2021-01-11;579.00;;;;
;;2021-01-12;585.00;;;;
;;2021-01-22;0;;;;
;;2021-02-08;657.00;;;;
;;2021-02-11;661.00;;;;
;;2021-02-15;664.00;;;;
;;2021-02-16;666.00;;;;
;;2021-02-28;677.00;;;;
;;2021-03-09;682.00;;;;
;;2021-03-11;684.00;;;;
;;2021-03-12;0;;;;
;;2021-03-18;685.00;;;;
;;2021-03-22;687.00;;;;
;;2021-03-27;0;;;;
;;2021-03-28;688.00;;;;
;;2021-04-04;0;;;;
;;2021-04-17;0;;;;
;;2021-04-24;0;;;;
;;2021-04-26;703.00;;;;
;;2021-04-29;706.00;;;;
;;2021-05-03;707.00;;;;
;;2021-05-06;707.00;;;;
;;2021-05-07;0;;;;
;;2021-05-08;0;;;;
;;2021-05-13;709.00;;;;
;;2021-05-17;709.00;;;;
;;2021-05-21;0;;;;
;;2021-05-26;709.00;;;;
;;2021-05-30;709.00;;;;
;;2021-05-31;709.00;;;;
;;2021-06-01;709.00;;;;
;;2021-06-15;712.00;;;;
;;2021-06-16;713.00;;;;
;;2021-06-21;714.00;;;;
;;2021-06-29;715.00;;;;
;;2021-06-30;715.00;;;;
;;2021-07-01;715.00;;;;
;;2021-07-04;716.00;;;;
;;2021-07-06;716.00;;;;
;;2021-07-09;0;;;;
;;2021-07-10;0;;;;
;;2021-07-13;717.00;;;;
;;2021-07-14;717.00;;;;
;;2021-07-22;717.00;;;;
;;2021-07-24;0;;;;
;;2021-07-26;718.00;;;;
;;2021-07-30;0;;;;
;;2021-08-03;718.00;;;;
;;2021-08-07;0;;;;
;;2021-08-08;718.00;;;;
;;2021-08-11;718.00;;;;
;;2021-08-18;720.00;;;;
;;2021-08-28;0;;;;
;;2021-09-19;733.00;;;;
;;2021-09-20;734.00;;;;
;;2021-09-21;735.00;;;;
;;2021-09-28;740.00;;;;
;;2021-10-04;739.00;;;;
;;2021-10-23;0;;;;
;;2021-11-04;753.00;;;;
;;2021-11-05;0;;;;
;;2021-11-08;753.00;;;;
;;2021-11-13;0;;;;
;;2021-11-15;756.00;;;;
;;2021-11-22;759.00;;;;
;;2021-11-23;760.00;;;;
;;2021-11-29;765.00;;;;
;;2021-12-03;0;;;;
;;2021-12-04;0;;;;
;;2021-12-07;775.00;;;;
;;2021-12-28;804.00;;;;
;;2022-01-04;808.00;;;;
;;2022-01-05;809.00;;;;
;;2022-01-08;0;;;;
;;2022-01-09;811.00;;;;
;;2022-01-10;811.00;;;;
;;2022-01-12;814.00;;;;
;;2022-01-16;815.00;;;;
;;2022-01-17;816.00;;;;
;;2022-01-20;820.00;;;;
;;2022-01-23;821.00;;;;
;;2022-01-28;0;;;;
