h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
;;2019-06-08;2215.00;2019-06;2447.00;2019;2015.00
;;2019-06-13;2743.00;2019-07;2076.00;2020;1826.00
;;2019-06-16;664.00;2019-08;2273.00;2021;397.00
;;2019-06-18;2481.00;2019-09;932.00;2022;1481.00
;;2019-06-21;2580.00;2019-10;2008.00;;
;;2019-06-24;2406.00;2019-11;2269.00;;
;;2019-06-30;581.00;2019-12;2015.00;;
;;2019-07-01;2145.00;2020-01;2008.00;;
;;2019-07-03;2428.00;2020-02;1913.00;;
;;2019-07-08;2125.00;2020-03;959.00;;
;;2019-07-09;2196.00;2020-04;1056.00;;
;;2019-07-13;1948.00;2020-05;761.00;;
;;2019-07-14;616.00;2020-06;2235.00;;
;;2019-07-18;2366.00;2020-07;2021.00;;
;;2019-07-21;623.00;2020-08;2151.00;;
;;2019-07-26;1839.00;2020-09;1851.00;;
;;2019-07-30;2046.00;2020-10;1288.00;;
;;2019-08-01;643.00;2020-11;1911.00;;
;;2019-08-06;1638.00;2020-12;1826.00;;
;;2019-08-17;2484.00;2021-01;1004.00;;
;;2019-08-19;1821.00;2021-02;1014.00;;
;;2019-08-23;2366.00;2021-03;2034.00;;
;;2019-09-12;2493.00;2021-04;759.00;;
;;2019-09-13;2358.00;2021-05;1977.00;;
;;2019-10-16;2427.00;2021-06;2082.00;;
;;2019-10-20;1069.00;2021-07;1696.00;;
;;2019-10-29;1950.00;2021-08;1794.00;;
;;2019-10-31;2259.00;2021-09;1824.00;;
;;2019-11-05;2041.00;2021-10;2031.00;;
;;2019-11-11;2112.00;2021-11;1670.00;;
;;2019-11-14;2545.00;2021-12;397.00;;
;;2019-11-19;2099.00;2022-01;1813.00;;
;;2019-11-20;2316.00;2022-02;1741.00;;
;;2019-11-21;2452.00;2022-03;2014.00;;
;;2019-11-25;2302.00;2022-04;2148.00;;
;;2019-11-26;2468.00;2022-05;1728.00;;
;;2019-12-04;2272.00;2022-06;1882.00;;
;;2019-12-08;909.00;2022-07;1488.00;;
;;2019-12-22;1429.00;2022-08;539.00;;
;;2019-12-30;2066.00;2022-09;1413.00;;
;;2020-01-02;1843.00;2022-10;1478.00;;
