h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
;;2019-06-08;1571.00;2019-06;1698.00;2019;1445.00
;;2019-06-13;1815.00;2019-07;1439.00;2020;1228.00
;;2019-06-16;537.00;2019-08;1579.00;2021;276.00
;;2019-06-18;1672.00;2019-09;1456.00;2022;881.00
;;2019-06-21;1717.00;2019-10;1381.00;;
;;2019-06-24;1673.00;2019-11;1603.00;;
;;2019-06-30;499.00;2019-12;1445.00;;
;;2019-07-01;1462.00;2020-01;1404.00;;
;;2019-07-03;1707.00;2020-02;1409.00;;
;;2019-07-08;1402.00;2020-03;671.00;;
;;2019-07-09;1443.00;2020-04;753.00;;
;;2019-07-13;1410.00;2020-05;605.00;;
;;2019-07-14;459.00;2020-06;1486.00;;
;;2019-07-18;1641.00;2020-07;1391.00;;
;;2019-07-21;501.00;2020-08;1599.00;;
;;2019-07-26;1337.00;2020-09;1385.00;;
;;2019-07-30;1450.00;2020-10;853.00;;
;;2019-08-01;511.00;2020-11;1205.00;;
;;2019-08-06;1241.00;2020-12;1228.00;;
;;2019-08-17;2395.00;2021-01;705.00;;
;;2019-08-19;1291.00;2021-02;747.00;;
;;2019-08-23;1686.00;2021-03;1456.00;;
;;2019-09-12;1836.00;2021-04;602.00;;
;;2019-09-13;1613.00;2021-05;1367.00;;
;;2019-10-16;1522.00;2021-06;1445.00;;
;;2019-10-20;700.00;2021-07;1133.00;;
;;2019-10-29;1403.00;2021-08;1099.00;;
;;2019-10-31;1549.00;2021-09;1000.00;;
;;2019-11-05;1430.00;2021-10;1229.00;;
;;2019-11-11;1330.00;2021-11;986.00;;
;;2019-11-14;1661.00;2021-12;276.00;;
;;2019-11-19;1450.00;2022-01;1024.00;;
;;2019-11-20;1543.00;2022-02;1098.00;;
;;2019-11-21;1613.00;2022-03;1153.00;;
;;2019-11-25;1543.00;2022-04;1227.00;;
;;2019-11-26;1603.00;2022-05;1006.00;;
;;2019-12-04;1459.00;2022-06;1118.00;;
;;2019-12-08;723.00;2022-07;852.00;;
;;2019-12-22;1031.00;2022-08;388.00;;
;;2019-12-30;1309.00;2022-09;861.00;;
;;2020-01-02;1187.00;2022-10;776.00;;
;;2020-01-03;1464.00;2022-11;881.00;;
;;2020-01-16;1581.00;;;;
;;2020-01-22;1216.00;;;;
;;2020-01-27;1260.00;;;;
;;2020-01-30;1353.00;;;;
;;2020-02-12;1221.00;;;;
;;2020-02-26;1240.00;;;;
;;2020-02-27;1295.00;;;;
;;2020-03-01;644.00;;;;
;;2020-03-05;1450.00;;;;
;;2020-03-15;579.00;;;;
;;2020-03-19;860.00;;;;
;;2020-03-26;588.00;;;;
;;2020-04-10;501.00;;;;
;;2020-04-19;465.00;;;;
;;2020-04-26;551.00;;;;
;;2020-05-08;1049.00;;;;
;;2020-05-15;1285.00;;;;
;;2020-05-30;1517.00;;;;
;;2020-06-07;343.00;;;;
;;2020-06-10;1305.00;;;;
;;2020-06-11;1573.00;;;;
;;2020-06-19;1561.00;;;;
;;2020-06-20;1485.00;;;;
;;2020-06-23;1509.00;;;;
;;2020-06-28;570.00;;;;
;;2020-07-02;1130.00;;;;
;;2020-07-04;1340.00;;;;
;;2020-07-05;551.00;;;;
;;2020-07-06;1470.00;;;;
;;2020-07-09;1554.00;;;;
;;2020-07-12;541.00;;;;
;;2020-07-14;1516.00;;;;
;;2020-07-15;1337.00;;;;
;;2020-07-18;1369.00;;;;
;;2020-07-24;1378.00;;;;
;;2020-07-27;1325.00;;;;
;;2020-08-05;1609.00;;;;
;;2020-08-06;1771.00;;;;
;;2020-08-09;609.00;;;;
;;2020-08-12;1640.00;;;;
;;2020-08-18;1545.00;;;;
;;2020-08-19;1514.00;;;;
;;2020-08-20;1697.00;;;;
;;2020-08-28;1396.00;;;;
;;2020-09-03;1645.00;;;;
;;2020-09-10;1674.00;;;;
;;2020-09-18;1629.00;;;;
;;2020-09-20;593.00;;;;
;;2020-09-24;1545.00;;;;
;;2020-10-06;752.00;;;;
;;2020-10-16;868.00;;;;
;;2020-10-19;694.00;;;;
;;2020-11-14;1079.00;;;;
;;2020-11-16;655.00;;;;
;;2020-11-18;892.00;;;;
;;2020-11-22;285.00;;;;
;;2020-11-27;1608.00;;;;
;;2020-11-28;1410.00;;;;
;;2020-12-08;1107.00;;;;
;;2020-12-11;1263.00;;;;
;;2020-12-15;1238.00;;;;
;;2020-12-17;1415.00;;;;
;;2020-12-27;239.00;;;;
;;2021-01-15;890.00;;;;
;;2021-01-29;769.00;;;;
;;2021-01-30;619.00;;;;
;;2021-02-01;693.00;;;;
;;2021-02-08;851.00;;;;
;;2021-02-12;636.00;;;;
;;2021-02-14;234.00;;;;
;;2021-02-22;1104.00;;;;
;;2021-03-05;1112.00;;;;
;;2021-03-07;401.00;;;;
;;2021-03-12;1193.00;;;;
;;2021-04-09;1449.00;;;;
;;2021-04-14;1010.00;;;;
;;2021-04-19;1112.00;;;;
;;2021-04-26;1168.00;;;;
;;2021-04-28;1253.00;;;;
;;2021-04-30;1298.00;;;;
;;2021-05-06;1166.00;;;;
;;2021-05-09;503.00;;;;
;;2021-05-10;1253.00;;;;
;;2021-05-13;487.00;;;;
;;2021-05-24;486.00;;;;
;;2021-06-02;1378.00;;;;
;;2021-06-05;1169.00;;;;
;;2021-06-06;371.00;;;;
;;2021-06-08;1138.00;;;;
;;2021-06-11;1633.00;;;;
;;2021-06-15;1383.00;;;;
;;2021-06-20;454.00;;;;
;;2021-06-23;1234.00;;;;
;;2021-06-25;1561.00;;;;
;;2021-06-27;587.00;;;;
;;2021-06-28;1207.00;;;;
;;2021-07-04;421.00;;;;
;;2021-07-09;1491.00;;;;
;;2021-07-10;1385.00;;;;
;;2021-07-19;1114.00;;;;
;;2021-07-20;1207.00;;;;
;;2021-07-21;1273.00;;;;
;;2021-07-22;1330.00;;;;
;;2021-07-26;1034.00;;;;
;;2021-08-09;1231.00;;;;
;;2021-08-17;1305.00;;;;
;;2021-08-18;1297.00;;;;
;;2021-08-29;317.00;;;;
;;2021-09-06;1214.00;;;;
;;2021-09-20;1041.00;;;;
;;2021-09-23;1285.00;;;;
;;2021-09-26;391.00;;;;
;;2021-09-28;1106.00;;;;
;;2021-10-03;450.00;;;;
;;2021-10-12;882.00;;;;
;;2021-10-13;966.00;;;;
;;2021-10-16;1213.00;;;;
;;2021-10-23;1210.00;;;;
;;2021-11-16;992.00;;;;
;;2021-11-17;1056.00;;;;
;;2021-11-19;1241.00;;;;
;;2021-11-27;1385.00;;;;
;;2021-11-28;444.00;;;;
;;2021-11-29;882.00;;;;
;;2021-11-30;953.00;;;;
;;2021-12-04;1319.00;;;;
;;2021-12-27;1098.00;;;;
;;2021-12-30;1132.00;;;;
;;2021-12-31;930.00;;;;
;;2022-01-10;696.00;;;;
;;2022-01-11;775.00;;;;
;;2022-01-23;266.00;;;;
;;2022-02-01;703.00;;;;
;;2022-02-02;785.00;;;;
;;2022-02-04;887.00;;;;
;;2022-02-08;890.00;;;;
;;2022-02-11;874.00;;;;
;;2022-02-22;858.00;;;;
;;2022-02-24;981.00;;;;
;;2022-03-08;910.00;;;;
;;2022-03-10;1090.00;;;;
;;2022-03-14;963.00;;;;
;;2022-03-19;1177.00;;;;
;;2022-04-10;330.00;;;;
;;2022-04-15;425.00;;;;
;;2022-04-21;1032.00;;;;
;;2022-04-23;1051.00;;;;
;;2022-04-24;336.00;;;;
;;2022-05-02;991.00;;;;
;;2022-05-04;1032.00;;;;
;;2022-05-05;935.00;;;;
;;2022-05-07;1098.00;;;;
;;2022-05-12;1078.00;;;;
;;2022-05-15;552.00;;;;
;;2022-05-28;955.00;;;;
