h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
;;;;2022-02;0.48;2022;0.07
;;;;2022-02;0.02;2019;0.32
;;;;2022-02;0.02;2020;10.63
;;;;2022-02;0.01;2021;0.38
;;;;2022-01;91.64;2015;0.42
;;;;2022-01;4.52;2016;0.29
;;;;2022-01;2.20;2017;0.41
;;;;2022-01;11.69;2018;0.41
;;;;2022-01;8.24;;
;;;;2022-01;2.98;;
;;;;2022-01;4.55;;
;;;;2022-01;7.33;;
;;;;2022-01;4.63;;
;;;;2022-01;4.64;;
;;;;2022-01;4.14;;
;;;;2022-01;3.19;;
;;;;2022-01;1.47;;
;;;;2022-01;0.93;;
;;;;2022-01;1.55;;
;;;;2022-01;1.11;;
;;;;2022-01;0.19;;
;;;;2022-02;0.25;;
;;;;2022-02;0.34;;
;;;;2022-02;3.60;;
;;;;2022-02;2.39;;
;;;;2022-02;4.58;;
;;;;2022-02;4.15;;
;;;;2022-02;2.73;;
;;;;2022-02;3.35;;
;;;;2022-02;3.29;;
;;;;2022-02;2.88;;
;;;;2022-02;1.52;;
;;;;2022-02;3.35;;
;;;;2022-03;0.19;;
;;;;2022-03;19.23;;
;;;;2022-03;0.38;;
;;;;2022-03;6.56;;
;;;;2022-03;2.97;;
;;;;2022-03;11.76;;
;;;;2022-03;9.71;;
;;;;2022-03;7.85;;
;;;;2022-03;8.37;;
;;;;2022-03;5.50;;
;;;;2022-03;5.12;;
;;;;2022-03;12.10;;
;;;;2022-03;3.79;;
;;;;2022-03;2.88;;
;;;;2022-03;10.56;;
;;;;2022-03;4.19;;
;;;;2022-03;2.82;;
;;;;2022-03;11.91;;
;;;;2022-03;3.10;;
;;;;2022-03;1.29;;
;;;;2022-03;3.91;;
;;;;2022-03;1.17;;
;;;;2022-03;4.54;;
;;;;2022-03;1.21;;
;;;;2022-04;33.81;;
;;;;2022-04;0.25;;
;;;;2022-04;4.37;;
;;;;2022-04;3.67;;
;;;;2022-04;3.55;;
;;;;2022-04;2.05;;
;;;;2022-04;3.56;;
;;;;2022-04;4.28;;
;;;;2022-04;2.05;;
;;;;2022-04;4.55;;
;;;;2022-04;4.50;;
;;;;2022-04;1.42;;
;;;;2022-04;1.78;;
;;;;2022-04;1.23;;
;;;;2022-04;0.88;;
;;;;2022-04;1.15;;
;;;;2022-04;0.75;;
;;;;2022-04;0.84;;
;;;;2022-04;1.17;;
;;;;2022-04;1.40;;
;;;;2022-04;0.01;;
;;;;2022-04;0.01;;
;;;;2022-05;226.19;;
;;;;2022-05;2.47;;
;;;;2022-05;9.38;;
;;;;2022-05;7.94;;
;;;;2022-05;1.93;;
;;;;2022-05;9.58;;
;;;;2022-05;3.12;;
;;;;2022-05;6.69;;
;;;;2022-05;2.88;;
;;;;2022-05;3.74;;
;;;;2022-05;4.49;;
;;;;2022-05;6.03;;
;;;;2022-05;3.58;;
;;;;2022-05;5.45;;
;;;;2022-05;10.38;;
;;;;2022-05;4.68;;
;;;;2022-05;3.32;;
;;;;2022-05;1.83;;
;;;;2022-05;1.73;;
;;;;2022-05;2.13;;
;;;;2022-05;2.11;;
;;;;2022-05;0.03;;
;;;;2022-06;0.50;;
;;;;2022-06;228.17;;
;;;;2022-06;0.38;;
;;;;2022-06;3.16;;
;;;;2022-06;2.89;;
;;;;2022-06;1.20;;
;;;;2022-06;2.30;;
;;;;2022-06;3.61;;
;;;;2022-06;7.50;;
;;;;2022-06;2.81;;
;;;;2022-06;4.31;;
;;;;2022-06;2.88;;
;;;;2022-06;3.89;;
;;;;2022-06;4.28;;
;;;;2022-06;13.38;;
;;;;2022-06;3.46;;
;;;;2022-06;1.53;;
;;;;2022-06;1.19;;
;;;;2022-06;1.78;;
;;;;2022-06;4.05;;
;;;;2022-06;1.34;;
;;;;2022-06;0.01;;
;;;;2022-06;0.00;;
;;;;2022-05;0.97;;
;;;;2022-07;0.38;;
;;;;2022-07;78.03;;
;;;;2022-07;37.79;;
;;;;2022-07;3.76;;
;;;;2022-07;6.40;;
