h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
;;2019-06-01;1.00;2019-06;3.00;2019;5.00
;;2019-06-01;7.00;2019-06;6.00;2019;7.00
;;2019-06-01;6.00;2019-06;18.00;2019;32.00
;;2019-06-01;8.00;2019-06;63.00;2019;33.00
;;2019-06-01;41.00;2019-06;75.00;2019;61.00
;;2019-06-01;65.00;2019-06;70.00;2019;83.00
;;2019-06-01;79.00;2019-06;12.00;2019;63.00
;;2019-06-01;57.00;2019-06;15.00;2019;63.00
;;2019-06-01;36.00;2019-06;12.00;2019;58.00
;;2019-06-01;57.00;2019-06;16.00;2019;23.00
;;2019-06-01;58.00;2019-06;12.00;2019;13.00
;;2019-06-01;67.00;2019-06;1.00;2019;8.00
;;2019-06-01;73.00;2019-06;2.00;2019;11.00
;;2019-06-01;27.00;2019-06;5.00;2019;4.00
;;2019-06-01;27.00;2019-06;1.00;2019;2.00
;;2019-06-01;25.00;2019-06;18.00;2019;52.00
;;2019-06-01;8.00;2019-06;70.00;2019;76.00
;;2019-06-01;23.00;2019-06;17.00;2019;53.00
;;2019-06-01;10.00;2019-06;13.00;2019;20.00
;;2019-06-01;10.00;2019-06;3.00;2019;17.00
;;2019-06-01;9.00;2019-06;7.00;2019;24.00
;;2019-06-02;5.00;2019-06;5.00;2019;2.00
;;2019-06-02;5.00;2019-06;1.00;2019;2.00
;;2019-06-02;1.00;2019-06;1.00;2019;2.00
;;2019-06-02;4.00;2019-07;1.00;2019;4.00
;;2019-06-02;7.00;2019-07;12.00;2019;3.00
;;2019-06-02;4.00;2019-07;15.00;2019;5.00
;;2019-06-02;7.00;2019-07;25.00;2019;5.00
;;2019-06-02;9.00;2019-07;21.00;2019;30.00
;;2019-06-02;15.00;2019-07;34.00;2019;48.00
;;2019-06-02;18.00;2019-07;62.00;2019;80.00
;;2019-06-02;16.00;2019-07;53.00;2019;40.00
;;2019-06-02;24.00;2019-07;18.00;2019;35.00
;;2019-06-02;21.00;2019-07;55.00;2019;25.00
;;2019-06-02;32.00;2019-07;31.00;2019;54.00
;;2019-06-02;24.00;2019-07;15.00;2019;11.00
;;2019-06-02;18.00;2019-07;6.00;2019;3.00
;;2019-06-02;25.00;2019-07;12.00;2019;11.00
;;2019-06-02;25.00;2019-07;11.00;2019;2.00
;;2019-06-02;14.00;2019-07;3.00;2019;66.00
;;2019-06-02;24.00;2019-07;2.00;2019;35.00
;;2019-06-02;16.00;2019-07;2.00;2019;5.00
;;2019-06-02;13.00;2019-07;67.00;2019;19.00
;;2019-06-02;13.00;2019-07;7.00;2019;2.00
;;2019-06-02;8.00;2019-07;1.00;2019;46.00
;;2019-06-02;2.00;2019-07;46.00;2019;59.00
;;2019-06-02;7.00;2019-07;49.00;2019;1.00
;;2019-06-02;3.00;2019-07;2.00;2019;3.00
;;2019-06-02;7.00;2019-08;11.00;2020;1.00
;;2019-06-02;0.00;2019-08;9.00;2020;1.00
;;2019-06-02;3.00;2019-08;43.00;2020;1.00
;;2019-06-02;1.00;2019-08;63.00;2020;13.00
;;2019-06-03;2.00;2019-08;54.00;2020;28.00
;;2019-06-03;12.00;2019-08;77.00;2020;57.00
;;2019-06-03;18.00;2019-08;54.00;2020;43.00
;;2019-06-03;44.00;2019-08;66.00;2020;65.00
;;2019-06-03;40.00;2019-08;31.00;2020;53.00
;;2019-06-03;49.00;2019-08;13.00;2020;78.00
;;2019-06-03;39.00;2019-08;9.00;2020;87.00
;;2019-06-03;42.00;2019-08;29.00;2020;54.00
;;2019-06-03;80.00;2019-08;23.00;2020;54.00
;;2019-06-03;73.00;2019-08;18.00;2020;21.00
;;2019-06-03;31.00;2019-08;1.00;2020;10.00
;;2019-06-03;55.00;2019-08;1.00;2020;18.00
;;2019-06-03;47.00;2019-08;2.00;2020;10.00
;;2019-06-03;48.00;2019-08;40.00;2020;1.00
;;2019-06-03;68.00;2019-08;69.00;2020;5.00
;;2019-06-03;64.00;2019-08;11.00;2020;8.00
;;2019-06-03;77.00;2019-08;4.00;2020;13.00
;;2019-06-03;61.00;2019-08;18.00;2020;5.00
;;2019-06-03;50.00;2019-08;4.00;2020;10.00
;;2019-06-03;10.00;2019-08;35.00;2020;66.00
;;2019-06-03;21.00;2019-09;1.00;;
;;2019-06-03;6.00;2019-09;1.00;;
;;2019-06-03;1.00;2019-09;2.00;;
;;2019-06-04;6.00;2019-09;3.00;;
;;2019-06-04;9.00;2019-09;37.00;;
;;2019-06-04;49.00;2019-09;43.00;;
;;2019-06-04;53.00;2019-09;50.00;;
;;2019-06-04;56.00;2019-09;77.00;;
;;2019-06-04;56.00;2019-09;26.00;;
;;2019-06-04;47.00;2019-09;82.00;;
;;2019-06-04;46.00;2019-09;64.00;;
;;2019-06-04;53.00;2019-09;57.00;;
;;2019-06-04;69.00;2019-09;21.00;;
;;2019-06-04;35.00;2019-09;9.00;;
;;2019-06-04;23.00;2019-09;7.00;;
;;2019-06-04;14.00;2019-09;11.00;;
;;2019-06-04;13.00;2019-09;4.00;;
;;2019-06-04;15.00;2019-09;1.00;;
;;2019-06-04;6.00;2019-09;13.00;;
;;2019-06-04;12.00;2019-09;7.00;;
;;2019-06-04;8.00;2019-09;2.00;;
;;2019-06-04;6.00;2019-09;29.00;;
;;2019-06-04;2.00;2019-09;37.00;;
;;2019-06-05;1.00;2019-09;29.00;;
;;2019-06-05;0.00;2019-10;2.00;;
;;2019-06-05;25.00;2019-10;7.00;;
;;2019-06-05;36.00;2019-10;32.00;;
;;2019-06-05;33.00;2019-10;52.00;;
;;2019-06-05;33.00;2019-10;61.00;;
;;2019-06-05;52.00;2019-10;76.00;;
;;2019-06-05;60.00;2019-10;83.00;;
;;2019-06-05;71.00;2019-10;63.00;;
;;2019-06-05;51.00;2019-10;58.00;;
;;2019-06-05;49.00;2019-10;23.00;;
;;2019-06-05;64.00;2019-10;13.00;;
;;2019-06-05;71.00;2019-10;20.00;;
;;2019-06-05;46.00;2019-10;17.00;;
;;2019-06-05;58.00;2019-10;24.00;;
;;2019-06-05;18.00;2019-10;8.00;;
;;2019-06-05;29.00;2019-10;5.00;;
;;2019-06-05;21.00;2019-10;53.00;;
;;2019-06-05;11.00;2019-10;2.00;;
;;2019-06-05;8.00;2019-10;63.00;;
;;2019-06-05;3.00;2019-10;33.00;;
;;2019-06-06;1.00;2019-10;11.00;;
;;2019-06-06;2.00;2019-10;2.00;;
;;2019-06-06;2.00;2019-10;4.00;;
;;2019-06-06;18.00;2019-10;2.00;;
;;2019-06-06;29.00;2019-10;1.00;;
;;2019-06-06;23.00;2019-10;6.00;;
;;2019-06-06;42.00;2019-10;2.00;;
;;2019-06-06;41.00;2019-10;23.00;;
;;2019-06-06;43.00;2019-10;20.00;;
;;2019-06-06;22.00;2019-10;36.00;;
;;2019-06-06;49.00;2019-10;57.00;;
;;2019-06-06;73.00;2019-10;67.00;;
;;2019-06-06;73.00;2019-10;60.00;;
;;2019-06-06;61.00;2019-10;61.00;;
;;2019-06-06;79.00;2019-10;37.00;;
;;2019-06-06;62.00;2019-10;19.00;;
;;2019-06-06;54.00;2019-10;15.00;;
