h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
;;2019-06-01;1.00;2019-06;2.00;2019;3.00
;;2019-06-01;4.00;2019-06;3.00;2019;4.00
;;2019-06-01;5.00;2019-06;13.00;2019;14.00
;;2019-06-01;5.00;2019-06;24.00;2019;16.00
;;2019-06-01;17.00;2019-06;27.00;2019;30.00
;;2019-06-01;25.00;2019-06;31.00;2019;39.00
;;2019-06-01;30.00;2019-06;5.00;2019;21.00
;;2019-06-01;27.00;2019-06;6.00;2019;20.00
;;2019-06-01;16.00;2019-06;3.00;2019;19.00
;;2019-06-01;19.00;2019-06;8.00;2019;12.00
;;2019-06-01;21.00;2019-06;5.00;2019;9.00
;;2019-06-01;24.00;2019-06;0.00;2019;3.00
;;2019-06-01;22.00;2019-06;2.00;2019;5.00
;;2019-06-01;14.00;2019-06;4.00;2019;2.00
;;2019-06-01;14.00;2019-06;0.00;2019;1.00
;;2019-06-01;18.00;2019-06;10.00;2019;26.00
;;2019-06-01;4.00;2019-06;26.00;2019;28.00
;;2019-06-01;4.00;2019-06;5.00;2019;19.00
;;2019-06-01;4.00;2019-06;6.00;2019;8.00
;;2019-06-01;6.00;2019-06;2.00;2019;10.00
;;2019-06-01;5.00;2019-06;3.00;2019;11.00
;;2019-06-02;4.00;2019-06;3.00;2019;0.00
;;2019-06-02;2.00;2019-06;0.00;2019;2.00
;;2019-06-02;1.00;2019-06;0.00;2019;0.00
;;2019-06-02;1.00;2019-07;0.00;2019;2.00
;;2019-06-02;1.00;2019-07;10.00;2019;3.00
;;2019-06-02;2.00;2019-07;8.00;2019;4.00
;;2019-06-02;6.00;2019-07;15.00;2019;1.00
;;2019-06-02;4.00;2019-07;8.00;2019;13.00
;;2019-06-02;10.00;2019-07;17.00;2019;18.00
;;2019-06-02;11.00;2019-07;10.00;2019;31.00
;;2019-06-02;6.00;2019-07;19.00;2019;14.00
;;2019-06-02;11.00;2019-07;4.00;2019;16.00
;;2019-06-02;15.00;2019-07;27.00;2019;8.00
;;2019-06-02;12.00;2019-07;10.00;2019;23.00
;;2019-06-02;10.00;2019-07;7.00;2019;8.00
;;2019-06-02;11.00;2019-07;4.00;2019;1.00
;;2019-06-02;12.00;2019-07;4.00;2019;2.00
;;2019-06-02;12.00;2019-07;7.00;2019;0.00
;;2019-06-02;7.00;2019-07;1.00;2019;22.00
;;2019-06-02;8.00;2019-07;2.00;2019;8.00
;;2019-06-02;9.00;2019-07;1.00;2019;0.00
;;2019-06-02;1.00;2019-07;31.00;2019;8.00
;;2019-06-02;9.00;2019-07;3.00;2019;1.00
;;2019-06-02;6.00;2019-07;1.00;2019;18.00
;;2019-06-02;1.00;2019-07;25.00;2019;21.00
;;2019-06-02;3.00;2019-07;20.00;2019;0.00
;;2019-06-02;2.00;2019-07;2.00;2019;2.00
;;2019-06-02;1.00;2019-08;3.00;2020;1.00
;;2019-06-02;0.00;2019-08;7.00;2020;1.00
;;2019-06-02;2.00;2019-08;23.00;2020;0.00
;;2019-06-02;0.00;2019-08;22.00;2020;6.00
;;2019-06-03;1.00;2019-08;20.00;2020;12.00
;;2019-06-03;5.00;2019-08;32.00;2020;27.00
;;2019-06-03;6.00;2019-08;25.00;2020;21.00
;;2019-06-03;15.00;2019-08;14.00;2020;28.00
;;2019-06-03;19.00;2019-08;9.00;2020;22.00
;;2019-06-03;22.00;2019-08;6.00;2020;29.00
;;2019-06-03;16.00;2019-08;4.00;2020;45.00
;;2019-06-03;15.00;2019-08;16.00;2020;24.00
;;2019-06-03;30.00;2019-08;7.00;2020;24.00
;;2019-06-03;23.00;2019-08;8.00;2020;9.00
;;2019-06-03;9.00;2019-08;0.00;2020;6.00
;;2019-06-03;26.00;2019-08;0.00;2020;8.00
;;2019-06-03;22.00;2019-08;1.00;2020;3.00
;;2019-06-03;17.00;2019-08;23.00;2020;0.00
;;2019-06-03;25.00;2019-08;41.00;2020;2.00
;;2019-06-03;31.00;2019-08;4.00;2020;4.00
;;2019-06-03;32.00;2019-08;0.00;2020;3.00
