h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
2021-04-26T17;21.78;2021-04-26;41.30;2021-04;0;2021;43.20
2021-04-26T18;21.78;2021-04-27;41.30;2021-05;54.76;;
2021-04-26T18;21.78;2021-04-28;41.30;2021-06;54.76;;
2021-04-26T18;21.78;2021-04-29;41.30;2021-07;54.76;;
2021-04-26T20;21.78;2021-04-30;41.30;2021-08;43.20;;
2021-04-26T22;21.78;2021-05-01;41.30;;;;
2021-04-26T23;21.78;2021-05-02;41.30;;;;
2021-04-27T01;21.78;2021-05-03;41.30;;;;
2021-04-27T01;21.78;2021-05-04;41.30;;;;
2021-04-27T03;21.78;2021-05-05;41.30;;;;
2021-04-27T03;21.78;2021-05-06;41.30;;;;
2021-04-27T03;21.78;2021-05-07;41.30;;;;
2021-04-27T03;21.78;2021-05-08;41.30;;;;
2021-04-27T05;21.78;2021-05-09;41.30;;;;
2021-04-27T07;21.78;2021-05-10;41.30;;;;
2021-04-27T07;21.78;2021-05-11;41.30;;;;
2021-04-27T09;21.78;2021-05-12;41.30;;;;
2021-04-27T09;21.78;2021-05-13;41.30;;;;
2021-04-27T10;21.78;2021-05-14;41.30;;;;
2021-04-27T10;21.78;2021-05-15;41.30;;;;
2021-04-27T11;21.78;2021-05-16;41.30;;;;
2021-04-27T11;21.78;2021-05-17;41.30;;;;
2021-04-27T12;21.78;2021-05-18;41.30;;;;
2021-04-27T13;21.78;2021-05-19;41.30;;;;
2021-04-27T14;21.78;2021-05-20;41.30;;;;
2021-04-27T15;21.78;2021-05-21;41.30;;;;
2021-04-27T16;21.78;2021-05-22;41.30;;;;
2021-04-27T16;21.78;2021-05-23;41.30;;;;
2021-04-27T17;21.78;2021-05-24;41.30;;;;
2021-04-27T17;21.78;2021-05-25;41.30;;;;
2021-04-27T21;21.78;2021-05-26;54.76;;;;
2021-04-28T00;21.78;2021-05-27;54.76;;;;
2021-04-28T02;21.78;2021-05-28;54.76;;;;
2021-04-28T03;21.78;2021-05-29;54.76;;;;
2021-04-28T05;21.78;2021-05-30;54.76;;;;
2021-04-28T05;21.78;2021-05-31;54.76;;;;
2021-04-28T06;21.78;2021-06-01;54.76;;;;
2021-04-28T07;21.78;2021-06-02;54.76;;;;
2021-04-28T07;21.78;2021-06-03;54.76;;;;
2021-04-28T07;21.78;2021-06-04;54.76;;;;
2021-04-28T10;21.78;2021-06-05;54.76;;;;
2021-04-28T12;21.78;2021-06-06;54.76;;;;
2021-04-28T14;21.78;2021-06-07;54.76;;;;
2021-04-28T16;21.78;2021-06-08;54.76;;;;
2021-04-26T16;21.78;2021-06-09;54.76;;;;
2021-04-28T16;21.78;2021-06-10;54.76;;;;
2021-04-26T19;21.78;2021-06-11;54.76;;;;
2021-04-28T17;21.78;2021-06-12;54.76;;;;
2021-04-26T19;21.78;2021-06-13;54.76;;;;
2021-04-28T17;21.78;2021-06-14;54.76;;;;
2021-04-26T20;21.78;2021-06-15;54.76;;;;
2021-04-28T18;21.78;2021-06-16;54.76;;;;
