h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
2021-04-26T17;110.00;2021-04-26;0;2021-04;0;2021;275.00
2021-04-26T18;110.00;2021-04-27;0;2021-05;370.00;;
2021-04-26T18;110.00;2021-04-28;0;2021-06;370.00;;
2021-04-26T18;110.00;2021-04-29;0;2021-07;370.00;;
2021-04-26T20;110.00;2021-04-30;0;2021-08;275.00;;
2021-04-26T22;110.00;2021-05-01;0;;;;
2021-04-26T23;110.00;2021-05-02;0;;;;
2021-04-27T01;110.00;2021-05-03;0;;;;
2021-04-27T01;110.00;2021-05-04;0;;;;
2021-04-27T03;110.00;2021-05-05;0;;;;
2021-04-27T03;110.00;2021-05-06;0;;;;
2021-04-27T03;110.00;2021-05-07;0;;;;
2021-04-27T03;110.00;2021-05-08;0;;;;
2021-04-27T05;110.00;2021-05-09;0;;;;
2021-04-27T07;110.00;2021-05-10;0;;;;
2021-04-27T07;110.00;2021-05-11;0;;;;
2021-04-27T09;110.00;2021-05-12;0;;;;
2021-04-27T09;110.00;2021-05-13;0;;;;
2021-04-27T10;110.00;2021-05-14;0;;;;
2021-04-27T10;110.00;2021-05-15;0;;;;
2021-04-27T11;110.00;2021-05-16;0;;;;
2021-04-27T11;110.00;2021-05-17;0;;;;
2021-04-27T12;110.00;2021-05-18;0;;;;
2021-04-27T13;110.00;2021-05-19;0;;;;
2021-04-27T14;110.00;2021-05-20;0;;;;
2021-04-27T15;110.00;2021-05-21;0;;;;
2021-04-27T16;110.00;2021-05-22;0;;;;
2021-04-27T16;110.00;2021-05-23;0;;;;
2021-04-27T17;110.00;2021-05-24;0;;;;
2021-04-27T17;110.00;2021-05-25;0;;;;
2021-04-27T21;110.00;2021-05-26;370.00;;;;
2021-04-28T00;110.00;2021-05-27;370.00;;;;
2021-04-28T02;110.00;2021-05-28;370.00;;;;
2021-04-28T03;110.00;2021-05-29;370.00;;;;
2021-04-28T05;110.00;2021-05-30;370.00;;;;
2021-04-28T05;110.00;2021-05-31;370.00;;;;
2021-04-28T06;110.00;2021-06-01;370.00;;;;
2021-04-28T07;110.00;2021-06-02;370.00;;;;
2021-04-28T07;110.00;2021-06-03;370.00;;;;
2021-04-28T07;110.00;2021-06-04;370.00;;;;
2021-04-28T10;110.00;2021-06-05;370.00;;;;
2021-04-28T12;110.00;2021-06-06;370.00;;;;
2021-04-28T14;110.00;2021-06-07;370.00;;;;
2021-04-28T16;110.00;2021-06-08;370.00;;;;
2021-04-26T16;110.00;2021-06-09;370.00;;;;
2021-04-28T16;110.00;2021-06-10;370.00;;;;
2021-04-26T19;110.00;2021-06-11;370.00;;;;
2021-04-28T17;110.00;2021-06-12;370.00;;;;
2021-04-26T19;110.00;2021-06-13;370.00;;;;
2021-04-28T17;110.00;2021-06-14;370.00;;;;
2021-04-26T20;110.00;2021-06-15;370.00;;;;
2021-04-28T18;110.00;2021-06-16;370.00;;;;
2021-04-26T22;110.00;2021-06-17;370.00;;;;
2021-04-28T19;110.00;2021-07-11;370.00;;;;
2021-04-26T23;110.00;2021-07-12;370.00;;;;
2021-04-28T21;110.00;2021-07-13;370.00;;;;
2021-04-27T00;110.00;2021-07-14;370.00;;;;
2021-04-28T21;110.00;2021-07-15;370.00;;;;
2021-04-27T00;110.00;2021-07-16;370.00;;;;
2021-04-28T22;110.00;2021-07-17;370.00;;;;
2021-04-27T02;110.00;2021-07-18;370.00;;;;
2021-04-28T23;110.00;2021-07-19;370.00;;;;
2021-04-27T04;110.00;2021-07-20;370.00;;;;
2021-04-28T23;110.00;2021-07-21;370.00;;;;
2021-04-27T04;110.00;2021-07-22;370.00;;;;
2021-04-29T00;110.00;2021-07-23;0;;;;
2021-04-27T08;110.00;2021-07-24;0;;;;
2021-04-29T01;110.00;2021-07-25;0;;;;
2021-04-27T11;110.00;2021-07-26;0;;;;
2021-04-29T01;110.00;2021-07-27;0;;;;
2021-04-27T12;110.00;2021-07-28;0;;;;
2021-04-29T03;110.00;2021-07-29;0;;;;
2021-04-27T12;110.00;2021-07-30;0;;;;
2021-04-29T08;110.00;2021-07-31;0;;;;
2021-04-27T14;110.00;2021-08-01;0;;;;
2021-04-29T08;110.00;2021-08-02;0;;;;
2021-04-27T14;110.00;2021-08-03;0;;;;
2021-04-29T09;110.00;2021-08-04;0;;;;
2021-04-27T15;110.00;2021-08-05;0;;;;
2021-04-29T09;110.00;2021-08-06;0;;;;
2021-04-27T15;110.00;2021-08-07;0;;;;
2021-04-29T12;110.00;2021-08-08;0;;;;
2021-04-27T16;110.00;2021-08-09;0;;;;
2021-04-29T12;110.00;2021-08-10;0;;;;
2021-04-27T16;110.00;2021-08-11;0;;;;
2021-04-29T13;110.00;2021-08-12;0;;;;
2021-04-27T19;110.00;2021-08-13;0;;;;
2021-04-29T13;110.00;2021-08-14;0;;;;
2021-04-27T19;110.00;2021-08-15;0;;;;
2021-04-29T13;110.00;2021-08-16;0;;;;
2021-04-27T20;110.00;2021-08-17;0;;;;
2021-04-29T14;110.00;2021-08-18;0;;;;
2021-04-27T22;110.00;2021-08-19;0;;;;
2021-04-29T15;110.00;2021-08-20;0;;;;
2021-04-27T23;110.00;2021-08-21;0;;;;
2021-04-29T16;110.00;2021-08-22;0;;;;
2021-04-28T01;110.00;2021-08-23;275.00;;;;
2021-04-29T16;110.00;2021-08-24;275.00;;;;
2021-04-28T02;110.00;2021-08-25;275.00;;;;
2021-04-29T17;110.00;2021-08-26;275.00;;;;
2021-04-28T03;110.00;2021-08-27;275.00;;;;
2021-04-29T18;110.00;2021-08-28;275.00;;;;
2021-04-28T04;110.00;2021-08-29;275.00;;;;
2021-04-29T19;110.00;2021-08-30;275.00;;;;
2021-04-28T06;110.00;2021-08-31;275.00;;;;
2021-04-29T21;110.00;2021-06-25;370.00;;;;
2021-04-28T07;110.00;2021-06-26;370.00;;;;
2021-04-30T01;110.00;2021-06-27;370.00;;;;
2021-04-28T08;110.00;2021-06-28;370.00;;;;
2021-04-30T02;110.00;2021-06-29;370.00;;;;
2021-04-28T08;110.00;2021-06-30;370.00;;;;
2021-04-30T03;110.00;2021-07-01;370.00;;;;
2021-04-28T10;110.00;2021-07-02;370.00;;;;
2021-04-30T04;110.00;2021-07-03;370.00;;;;
2021-04-28T11;110.00;2021-07-04;370.00;;;;
2021-04-30T06;110.00;2021-07-05;370.00;;;;
2021-04-28T12;110.00;2021-07-06;370.00;;;;
2021-04-30T07;110.00;2021-07-07;370.00;;;;
2021-04-28T13;110.00;2021-07-08;370.00;;;;
2021-04-30T07;110.00;2021-07-09;370.00;;;;
2021-04-28T15;110.00;2021-07-10;370.00;;;;
2021-04-30T08;110.00;2021-06-18;370.00;;;;
2021-04-28T19;110.00;2021-06-19;0;;;;
2021-04-30T09;110.00;2021-06-20;0;;;;
2021-04-28T20;110.00;2021-06-21;0;;;;
2021-04-30T10;110.00;2021-06-22;0;;;;
2021-04-28T20;110.00;2021-06-23;0;;;;
2021-04-30T13;110.00;2021-06-24;370.00;;;;
2021-04-29T00;110.00;2021-04-23;0;;;;
2021-04-30T16;110.00;2021-04-24;0;;;;
2021-04-29T01;110.00;2021-04-25;0;;;;
2021-04-30T18;110.00;2021-04-21;0;;;;
2021-04-29T05;110.00;2021-04-22;0;;;;
2021-04-30T20;110.00;2021-04-19;370.00;;;;
2021-04-29T06;110.00;2021-04-20;0;;;;
2021-04-30T20;110.00;;;;;;
2021-04-29T07;110.00;;;;;;
2021-04-30T20;110.00;;;;;;
2021-04-29T07;110.00;;;;;;
2021-04-30T23;110.00;;;;;;
2021-04-29T09;110.00;;;;;;
2021-05-01T00;110.00;;;;;;
2021-04-29T14;110.00;;;;;;
2021-05-01T03;110.00;;;;;;
2021-04-29T15;110.00;;;;;;
2021-05-01T07;110.00;;;;;;
2021-04-29T15;110.00;;;;;;
2021-05-01T07;110.00;;;;;;
2021-04-29T18;110.00;;;;;;
2021-05-01T08;110.00;;;;;;
2021-04-29T20;110.00;;;;;;
2021-05-01T09;110.00;;;;;;
2021-04-29T21;110.00;;;;;;
2021-05-01T09;110.00;;;;;;
2021-04-29T23;110.00;;;;;;
2021-05-01T10;110.00;;;;;;
2021-04-29T23;110.00;;;;;;
2021-05-01T10;110.00;;;;;;
2021-04-30T00;110.00;;;;;;
2021-05-01T11;110.00;;;;;;
2021-04-30T02;110.00;;;;;;
2021-05-01T12;110.00;;;;;;
2021-04-30T03;110.00;;;;;;
2021-05-01T15;110.00;;;;;;
2021-04-30T05;110.00;;;;;;
2021-05-01T16;110.00;;;;;;
2021-04-30T09;110.00;;;;;;
2021-05-01T18;110.00;;;;;;
2021-04-30T09;110.00;;;;;;
2021-05-01T19;110.00;;;;;;
2021-04-30T12;110.00;;;;;;
2021-05-01T19;110.00;;;;;;
2021-04-30T12;110.00;;;;;;
2021-05-01T20;110.00;;;;;;
2021-04-30T13;110.00;;;;;;
2021-05-01T22;110.00;;;;;;
2021-04-30T13;110.00;;;;;;
2021-05-01T23;110.00;;;;;;
2021-04-30T15;110.00;;;;;;
2021-05-02T02;110.00;;;;;;
2021-04-30T16;110.00;;;;;;
2021-05-02T04;110.00;;;;;;
2021-04-30T22;110.00;;;;;;
2021-05-02T05;110.00;;;;;;
2021-04-30T23;110.00;;;;;;
2021-05-02T05;110.00;;;;;;
2021-04-30T23;110.00;;;;;;
2021-05-02T06;110.00;;;;;;
2021-05-01T01;110.00;;;;;;
2021-05-02T07;110.00;;;;;;
2021-05-01T03;110.00;;;;;;
2021-05-02T09;110.00;;;;;;
2021-05-01T04;110.00;;;;;;
2021-05-02T09;110.00;;;;;;
2021-05-01T08;110.00;;;;;;
2021-05-02T09;110.00;;;;;;
2021-05-01T09;110.00;;;;;;
2021-05-02T10;110.00;;;;;;
2021-05-01T11;110.00;;;;;;
2021-05-02T12;110.00;;;;;;
2021-05-01T12;110.00;;;;;;
2021-05-02T14;110.00;;;;;;
2021-05-01T12;110.00;;;;;;
2021-05-02T16;110.00;;;;;;
2021-05-01T12;110.00;;;;;;
2021-05-02T16;110.00;;;;;;
2021-05-01T13;110.00;;;;;;
2021-05-02T20;110.00;;;;;;
2021-05-01T19;110.00;;;;;;
2021-05-02T21;110.00;;;;;;
2021-05-01T21;110.00;;;;;;
2021-05-02T23;110.00;;;;;;
2021-05-01T23;110.00;;;;;;
2021-05-02T23;110.00;;;;;;
2021-05-01T23;110.00;;;;;;
2021-05-03T01;110.00;;;;;;
2021-05-02T02;110.00;;;;;;
2021-05-03T03;110.00;;;;;;
2021-05-02T02;110.00;;;;;;
2021-05-03T04;110.00;;;;;;
2021-05-02T03;110.00;;;;;;
2021-05-03T04;110.00;;;;;;
2021-05-02T04;110.00;;;;;;
2021-05-03T04;110.00;;;;;;
2021-05-02T05;110.00;;;;;;
2021-05-03T05;110.00;;;;;;
2021-05-02T07;110.00;;;;;;
2021-05-03T06;110.00;;;;;;
2021-05-02T08;110.00;;;;;;
2021-05-03T08;110.00;;;;;;
2021-05-02T10;110.00;;;;;;
2021-05-03T10;110.00;;;;;;
2021-05-02T10;110.00;;;;;;
2021-05-03T10;110.00;;;;;;
2021-05-02T11;110.00;;;;;;
2021-05-03T11;110.00;;;;;;
